,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Date,Entry Time,Entry Price,Initial SL,Target,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Max Price,Min Price,Trade Year,Trade Month,Variation,Cumulative PnL,Cumulative ROI%,Running Max ROI%,Drawdown
20,BANKNIFTY,20600,P,2017-03-09,2017-03-06 13:15:00,SELL,2017-03-06,13:30:00,100.65,221.0,2,2017-03-09 14:15:00,2.0,98.65,1.0265,97.6235,11714.820000000002,Target Hit,120.0,1.1714820000000001,227.5,1.85,2017,3,"35, 4, 15m, N Candles High SL",115367.09625000003,11.536709625,13.071653625000001,-1.5349440000000012
21,BANKNIFTY,20600,C,2017-03-09,2017-03-07 12:30:00,SELL,2017-03-07,12:45:00,130.45,199.75,2,2017-03-09 15:15:00,117.0,13.449999999999989,2.4745,10.97549999999999,1317.0599999999988,Expiry Exit,120.0,0.13170599999999985,219.05,63.0,2017,3,"35, 4, 15m, N Candles High SL",116684.15625000003,11.668415625,13.071653625000001,-1.4032380000000018
22,BANKNIFTY,20800,P,2017-03-16,2017-03-14 12:45:00,SELL,2017-03-14,13:00:00,25.05,287.0,2,2017-03-16 09:15:00,2.0,23.05,0.2705,22.7795,2733.5400000000004,Target Hit,120.0,0.27335400000000004,287.0,0.5,2017,3,"35, 4, 15m, N Candles High SL",119417.69625000002,11.941769625,13.071653625000001,-1.1298840000000023
23,BANKNIFTY,21300,C,2017-03-23,2017-03-20 12:30:00,SELL,2017-03-20,12:45:00,43.5,104.35,2,2017-03-22 09:30:00,2.0,41.5,0.455,41.045,4925.4,Target Hit,120.0,0.4925400000000001,149.95,1.8,2017,3,"35, 4, 15m, N Candles High SL",124343.09625000002,12.434309625,13.071653625000001,-0.6373440000000024
24,BANKNIFTY,21000,C,2017-03-30,2017-03-27 13:00:00,SELL,2017-03-27,13:15:00,135.25,257.5,2,2017-03-28 09:15:00,257.5,-122.25,3.9275,-126.1775,-15141.3,Initial SL Hit,120.0,-1.51413,275.5,107.3,2017,3,"35, 4, 15m, N Candles High SL",109201.79625000001,10.920179625,13.071653625000001,-2.151474000000002
25,BANKNIFTY,21000,P,2017-03-30,2017-03-28 10:00:00,SELL,2017-03-28,10:15:00,37.3,122.65,2,2017-03-30 09:15:00,2.0,35.3,0.3929999999999999,34.907,4188.839999999999,Target Hit,120.0,0.4188839999999999,143.85,0.55,2017,3,"35, 4, 15m, N Candles High SL",113390.63625000001,11.339063625,13.071653625000001,-1.7325900000000019
1002,NIFTY,9100,P,2017-03-30,2017-03-28 12:00:00,SELL,2017-03-28,12:30:00,28.55,57.1,1,2017-03-30 14:00:00,1.0,27.55,0.2955,27.2545,10424.84625,Target Hit,382.5,1.0424846250000002,81.9,0.75,2017,3,"20, 4, 30m, 2% SL",123815.48250000001,12.38154825,13.071653625000001,-0.6901053750000017
26,BANKNIFTY,21600,C,2017-04-06,2017-04-03 12:30:00,SELL,2017-04-03,12:45:00,65.3,120.0,2,2017-04-05 14:45:00,120.0,-54.7,1.853,-56.553,-6362.2125,Initial SL Hit,112.5,-0.63622125,129.35,47.25,2017,4,"35, 4, 15m, N Candles High SL",117453.27000000002,11.745327,13.071653625000001,-1.3263266250000019
27,BANKNIFTY,21600,P,2017-04-06,2017-04-03 13:30:00,SELL,2017-04-03,13:45:00,171.0,235.7,2,2017-04-06 15:00:00,2.0,169.0,1.73,167.27,18817.875,Target Hit,112.5,1.8817875,235.7,0.65,2017,4,"35, 4, 15m, N Candles High SL",136271.14500000002,13.6271145,13.6271145,0.0
28,BANKNIFTY,21600,C,2017-04-06,2017-04-06 10:15:00,SELL,2017-04-06,10:30:00,62.7,127.0,2,2017-04-06 15:15:00,12.0,50.7,0.747,49.953,5619.7125,Expiry Exit,112.5,0.56197125,129.35,6.2,2017,4,"35, 4, 15m, N Candles High SL",141890.8575,14.18908575,14.18908575,0.0
