date,day,expiry,DTE,strike,type,Entry Price,Entry Time,initial sl,Exit Price,Exit date,Exit Time,RSI on Entry,Remark,Points Captured,Slippage,Qty,PnL,ROI%,Trade Year,Trade Month,Highest High,Lowest Low,Max ROI%,Margin,DATETIME
2019-01-25,Friday,2019-01-31,6,10900,C,85.25,11:20:00,108.95,0.05,2019-01-31,15:20:00,0,EOD exit,85.2,0.853,843.8818565400843,71178.9029535865,7.1178902953586505,2019,1,89.55,0.05,7.189873417721518,114.9789029535865,2019-01-25 11:20:00
2019-01-25,Friday,2019-01-31,6,10850,P,46.7,13:25:00,58.85,58.85,2019-01-25,13:35:00,0,SL hit,-12.149999999999999,1.0555,1474.6543778801843,-19473.548387096773,-1.947354838709677,2019,1,61.0,46.7,0.0,200.0,2019-01-25 13:25:00
2019-01-28,Monday,2019-01-31,3,10750,P,103.15,14:30:00,142.0,142.0,2019-01-29,12:50:00,0,SL hit,-38.849999999999994,2.4515000000000002,514.8005148005149,-21262.03346203346,-2.1262033462033463,2019,1,145.0,94.9,0.42471042471042475,69.17631917631918,2019-01-28 14:30:00
2019-01-29,Tuesday,2019-01-31,2,10600,P,47.0,15:00:00,71.65,0.05,2019-01-31,15:20:00,0,EOD exit,46.95,0.4705,811.3590263691682,37711.561866125754,3.771156186612575,2019,1,47.2,0.05,3.809330628803245,107.50507099391477,2019-01-29 15:00:00
2019-02-11,Monday,2019-02-14,3,10900,C,59.15,09:20:00,96.1,0.05,2019-02-14,15:20:00,0,EOD exit,59.1,0.592,541.2719891745603,31668.741542625175,3.1668741542625174,2019,2,72.4,0.05,3.1989174560216513,73.74830852503385,2019-02-11 09:20:00
2019-02-11,Monday,2019-02-14,3,10850,P,45.3,11:25:00,59.5,59.5,2019-02-13,15:10:00,0,SL hit,-14.200000000000003,1.048,1408.4507042253517,-21476.056338028167,-2.147605633802817,2019,2,60.75,20.35,3.5140845070422517,191.02112676056333,2019-02-11 11:25:00
2019-02-15,Friday,2019-02-21,6,10800,C,53.55,09:15:00,73.0,0.05,2019-02-21,15:20:00,0,EOD exit,53.5,0.5359999999999999,1028.2776349614394,54461.69665809767,5.446169665809767,2019,2,55.85,0.05,5.501285347043701,138.8174807197943,2019-02-15 09:15:00
2019-02-15,Friday,2019-02-21,6,10750,P,120.9,13:40:00,157.2,157.2,2019-02-19,15:10:00,0,SL hit,-36.29999999999998,2.781,550.964187327824,-21532.23140495868,-2.153223140495868,2019,2,158.85,55.95,3.578512396694217,74.03581267217635,2019-02-15 13:40:00
2019-02-20,Wednesday,2019-02-21,1,10650,P,38.3,09:15:00,59.35,0.05,2019-02-21,15:20:00,0,EOD exit,38.25,0.38349999999999995,950.1187648456055,35977.672209026125,3.5977672209026124,2019,2,41.75,0.05,3.634204275534441,126.48456057007122,2019-02-20 09:15:00
2019-02-22,Friday,2019-02-28,6,10750,P,58.55,09:30:00,64.35,64.35,2019-02-22,09:40:00,0,SL hit,-5.799999999999997,1.2289999999999999,1488.3720930232557,-10461.76744186046,-1.046176744186046,2019,2,64.9,58.25,0.044651162790697245,200.0,2019-02-22 09:30:00
