date,day,expiry,DTE,strike,type,Entry Price,Entry Time,initial sl,Exit Price,Exit date,Exit Time,RSI on Entry,Remark,Points Captured,Slippage,Qty,PnL,ROI%,Trade Year,Trade Month,Highest High,Lowest Low,Max ROI%,Margin,DATETIME
2019-01-25,Friday,2019-01-31,6,10900,C,87.2,11:45:00,108.95,0.05,2019-01-31,15:25:00,32.86802030456852,EOD exit,87.15,0.8725,919.5402298850574,79335.63218390805,7.9335632183908045,2019,1,89.55,0.05,8.013793103448277,125.28735632183907,2019-01-25 11:45:00
2019-01-28,Monday,2019-01-31,3,10750,P,103.15,14:25:00,142.0,142.0,2019-01-29,12:45:00,49.254843517138596,SL hit,-38.849999999999994,2.4515000000000002,514.8005148005149,-21262.03346203346,-2.1262033462033463,2019,1,145.0,94.9,0.42471042471042475,69.17631917631918,2019-01-28 14:25:00
2019-01-30,Wednesday,2019-01-31,1,10700,P,65.4,13:35:00,103.5,103.5,2019-01-30,14:45:00,33.180076628352495,SL hit,-38.099999999999994,1.689,524.9343832020999,-20886.61417322835,-2.088661417322835,2019,1,107.45,40.6,1.301837270341208,70.20997375328085,2019-01-30 13:35:00
2019-01-30,Wednesday,2019-01-31,1,10600,P,20.65,15:05:00,45.1,0.05,2019-01-31,15:25:00,48.433242506811986,EOD exit,20.599999999999998,0.207,817.9959100204499,16681.390593047032,1.6681390593047032,2019,1,27.95,0.05,1.6850715746421263,108.3844580777096,2019-01-30 15:05:00
2019-02-11,Monday,2019-02-14,3,10850,P,44.0,12:05:00,59.5,59.5,2019-02-13,15:05:00,48.848484848484844,SL hit,-15.5,1.035,1290.3225806451612,-21335.483870967742,-2.133548387096774,2019,2,60.75,20.35,3.051612903225806,175.0,2019-02-11 12:05:00
2019-02-11,Monday,2019-02-14,3,10900,C,57.0,14:45:00,96.1,0.05,2019-02-14,15:25:00,48.80838894184938,EOD exit,56.95,0.5705,511.5089514066497,28838.618925831208,2.8838618925831208,2019,2,62.1,0.05,2.9130434782608705,69.69309462915602,2019-02-11 14:45:00
2019-02-15,Friday,2019-02-21,6,10800,C,54.55,09:15:00,73.0,0.05,2019-02-21,15:25:00,42.43346007604562,EOD exit,54.5,0.5459999999999999,1084.010840108401,58486.72086720867,5.8486720867208675,2019,2,55.85,0.05,5.907859078590786,146.34146341463415,2019-02-15 09:15:00
2019-02-15,Friday,2019-02-21,6,10750,P,120.9,13:35:00,157.2,157.2,2019-02-19,15:05:00,37.351086194814314,SL hit,-36.29999999999998,2.781,550.964187327824,-21532.23140495868,-2.153223140495868,2019,2,158.85,55.95,3.578512396694217,74.03581267217635,2019-02-15 13:35:00
2019-02-20,Wednesday,2019-02-21,1,10650,P,29.8,14:25:00,59.35,0.05,2019-02-21,15:25:00,47.140522875817,EOD exit,29.75,0.29850000000000004,676.818950930626,19933.333333333332,1.9933333333333332,2019,2,31.2,0.05,2.0135363790186123,90.10152284263958,2019-02-20 14:25:00
2019-02-22,Friday,2019-02-28,6,10800,C,73.35,10:15:00,77.65,77.65,2019-02-22,14:15:00,40.404797601199405,SL hit,-4.300000000000011,1.51,1851.851851851852,-10759.259259259281,-1.0759259259259282,2019,2,79.5,63.8,1.7685185185185182,250.0,2019-02-22 10:15:00
2019-02-22,Friday,2019-02-28,6,10750,P,52.45,11:55:00,64.9,64.9,2019-02-26,09:55:00,38.8235294117647,SL hit,-12.450000000000003,1.1735000000000002,1606.4257028112447,-21885.140562249,-2.1885140562249,2019,2,90.0,14.35,6.120481927710843,215.86345381526098,2019-02-22 11:55:00
2019-02-22,Friday,2019-02-28,6,10800,C,67.5,14:25:00,79.5,79.5,2019-02-25,09:15:00,45.39722572509457,SL hit,-12.0,1.47,1666.6666666666667,-22450.000000000004,-2.2450000000000006,2019,2,82.15,64.2,0.5499999999999995,225.0,2019-02-22 14:25:00
2019-02-25,Monday,2019-02-28,3,10850,C,43.9,09:25:00,54.95,54.95,2019-02-25,14:05:00,47.814569536423846,SL hit,-11.050000000000004,0.9884999999999999,1809.954751131221,-21789.140271493212,-2.1789140271493213,2019,2,56.95,38.35,1.0045248868778272,245.47511312217188,2019-02-25 09:25:00
2019-02-26,Tuesday,2019-02-28,2,10800,C,68.45,10:45:00,86.25,86.25,2019-02-26,11:45:00,38.75054608999563,SL hit,-17.799999999999997,1.547,1123.5955056179778,-21738.202247191013,-2.173820224719101,2019,2,89.15,64.25,0.47191011235955105,151.68539325842698,2019-02-26 10:45:00
2019-02-26,Tuesday,2019-02-28,2,10750,P,34.95,13:35:00,90.0,0.05,2019-02-28,15:25:00,33.475479744136464,EOD exit,34.900000000000006,0.35000000000000003,363.30608537693007,12552.225249772935,1.2552225249772935,2019,2,85.45,0.05,1.2679382379654862,48.81925522252498,2019-02-26 13:35:00
2019-02-27,Wednesday,2019-02-28,1,10900,C,26.25,13:55:00,68.6,0.05,2019-02-28,15:25:00,40.067720090293456,EOD exit,26.2,0.263,472.2550177095632,12248.87839433294,1.2248878394332938,2019,2,31.7,0.05,1.2373081463990556,64.34474616292799,2019-02-27 13:55:00
2019-03-01,Friday,2019-03-07,6,10850,C,85.7,09:55:00,98.5,98.5,2019-03-05,13:15:00,46.742780389523176,SL hit,-12.799999999999997,1.8419999999999999,1562.5000000000005,-22878.125000000004,-2.2878125000000002,2019,3,99.5,40.0,7.1406250000000036,211.91406250000006,2019-03-01 09:55:00
2019-03-05,Tuesday,2019-03-07,2,10850,P,62.15,09:15:00,78.4,0.05,2019-03-07,15:25:00,36.717827626918556,EOD exit,62.1,0.622,1230.7692307692303,75665.23076923074,7.566523076923073,2019,3,63.8,0.05,7.64307692307692,166.92307692307685,2019-03-05 09:15:00
2019-03-06,Wednesday,2019-03-07,1,11050,C,21.75,13:15:00,34.5,16.1,2019-03-07,09:15:00,36.17021276595744,Gap SL hit,5.649999999999999,0.3785,1568.6274509803923,8269.019607843136,0.8269019607843135,2019,3,38.0,14.0,1.215686274509804,216.66666666666669,2019-03-06 13:15:00
2019-03-08,Friday,2019-03-14,6,11050,C,55.2,11:35:00,62.25,78.0,2019-03-11,09:15:00,34.87084870848709,Gap SL hit,-22.799999999999997,1.3319999999999999,1809.9547511312219,-43677.82805429864,-4.367782805429863,2019,3,82.0,41.55,2.4705882352941186,250.0,2019-03-08 11:35:00
