,date,day,expiry,DTE,strike,type,Entry Price,Entry Time,initial sl,Exit Price,Exit date,Exit Time,RSI on Entry,Remark,Points Captured,Slippage,Qty,PnL,ROI%,Trade Year,Trade Month,Highest High,Lowest Low,Max ROI%,Margin,DATETIME
308,2019-03-15,Friday,2019-03-20,5,11350,P,45.9,09:15:00,58.05,0.1,2019-03-20,15:25:00,0,EOD exit,45.8,0.46,1762.1145374449338,79894.27312775329,7.989427312775328,2019,3,46.5,0.05,8.079295154185022,250.0,2019-03-15 09:15:00
5,2019-03-20,Wednesday,2019-03-20,0,11600,C,2.8,09:15:00,11.25,0.05,2019-03-20,15:25:00,0,EOD exit,2.75,0.028499999999999998,1724.1379310344828,4692.241379310344,0.4692241379310344,2019,3,4.0,0.05,0.47413793103448276,250.0,2019-03-20 09:15:00
6,2019-03-25,Monday,2019-03-28,3,11400,C,47.85,11:05:00,81.0,81.0,2019-03-26,14:25:00,0,SL hit,-33.15,1.2885,904.9773755656109,-31166.06334841629,-3.116606334841629,2019,3,82.0,33.55,1.2941176470588238,128.95927601809956,2019-03-25 11:05:00
309,2019-03-26,Tuesday,2019-03-28,2,11350,P,16.55,13:15:00,42.85,0.05,2019-03-28,15:25:00,0,EOD exit,16.5,0.166,1140.6844106463877,18631.939163498097,1.8631939163498097,2019,3,20.5,0.05,1.88212927756654,161.83460076045625,2019-03-26 13:15:00
310,2019-04-01,Monday,2019-04-04,3,11650,P,53.3,09:15:00,74.85,74.85,2019-04-04,14:25:00,0,SL hit,-21.549999999999997,1.2814999999999999,1392.111368909513,-31783.990719257545,-3.178399071925755,2019,4,75.55,7.45,6.382830626450116,202.72621809744783,2019-04-01 09:15:00
7,2019-04-02,Tuesday,2019-04-04,2,11750,C,27.3,09:15:00,39.85,39.85,2019-04-02,12:15:00,0,SL hit,-12.55,0.6715000000000001,1702.127659574468,-22504.68085106383,-2.250468085106383,2019,4,41.85,25.4,0.3234042553191493,250.0,2019-04-02 09:15:00
8,2019-04-03,Wednesday,2019-04-04,1,11750,C,20.6,14:25:00,53.4,0.05,2019-04-04,15:25:00,0,EOD exit,20.55,0.20650000000000002,914.6341463414635,18606.859756097565,1.8606859756097567,2019,4,23.5,0.05,1.8795731707317076,134.33689024390245,2019-04-03 14:25:00
311,2019-04-05,Friday,2019-04-11,6,11600,P,33.85,15:05:00,57.0,57.0,2019-04-08,13:25:00,0,SL hit,-23.15,0.9085,1295.8963282937366,-31177.32181425486,-3.1177321814254864,2019,4,62.0,12.55,2.760259179265659,187.9049676025918,2019-04-05 15:05:00
312,2019-04-09,Tuesday,2019-04-11,2,11600,P,31.55,13:55:00,63.9,0.7,2019-04-11,15:25:00,0,EOD exit,30.85,0.3225,927.3570324574963,28309.89180834622,2.830989180834622,2019,4,45.95,0.5,2.879443585780526,134.46676970633698,2019-04-09 13:55:00
313,2019-04-12,Friday,2019-04-18,6,11600,P,43.1,13:25:00,64.0,0.05,2019-04-18,15:25:00,0,EOD exit,43.050000000000004,0.4315,1435.4066985645934,61174.88038277513,6.117488038277513,2019,4,46.0,0.05,6.179425837320576,208.13397129186603,2019-04-12 13:25:00
9,2019-04-23,Tuesday,2019-04-25,2,11650,C,32.15,09:55:00,56.0,56.0,2019-04-24,14:35:00,0,SL hit,-23.85,0.8815000000000001,1257.8616352201257,-31108.80503144654,-3.110880503144654,2019,4,59.25,12.5,2.471698113207547,183.17610062893078,2019-04-23 09:55:00
314,2019-04-24,Wednesday,2019-04-25,1,11600,P,15.7,13:55:00,48.75,0.05,2019-04-25,15:25:00,0,EOD exit,15.649999999999999,0.1575,907.7155824508321,14062.783661119514,1.4062783661119513,2019,4,18.0,0.05,1.420574886535552,131.61875945537068,2019-04-24 13:55:00
10,2019-04-30,Tuesday,2019-05-02,2,11750,C,17.95,09:45:00,37.75,37.75,2019-05-02,10:05:00,0,SL hit,-19.8,0.557,1515.151515151515,-30843.93939393939,-3.084393939393939,2019,5,39.5,7.6,1.568181818181818,222.53787878787875,2019-04-30 09:45:00
315,2019-04-30,Tuesday,2019-05-02,2,11700,P,18.4,14:55:00,65.7,0.05,2019-05-02,15:25:00,0,EOD exit,18.349999999999998,0.1845,634.2494714587738,11521.458773784354,1.1521458773784354,2019,5,24.45,0.05,1.1638477801268496,92.75898520084566,2019-04-30 14:55:00
11,2019-05-06,Monday,2019-05-09,3,11650,C,42.1,14:25:00,60.4,0.05,2019-05-09,15:25:00,0,EOD exit,42.050000000000004,0.4215,1639.3442622950822,68243.44262295084,6.824344262295084,2019,5,58.15,0.05,6.893442622950821,238.72950819672138,2019-05-06 14:25:00
12,2019-05-13,Monday,2019-05-16,3,11300,C,73.25,09:15:00,90.1,0.05,2019-05-16,15:25:00,0,EOD exit,73.2,0.733,1769.9115044247787,128260.17699115044,12.826017699115045,2019,5,85.8,0.05,12.955752212389381,250.0,2019-05-13 09:15:00
316,2019-05-17,Friday,2019-05-23,6,11250,P,186.2,14:55:00,258.6,0.05,2019-05-23,15:25:00,0,EOD exit,186.14999999999998,1.8625,414.3646408839777,76362.22375690602,7.636222375690601,2019,5,197.3,0.05,7.713397790055243,58.270027624309364,2019-05-17 14:55:00
13,2019-05-23,Thursday,2019-05-23,0,11950,C,91.35,09:35:00,165.0,0.05,2019-05-23,15:25:00,0,EOD exit,91.3,0.9139999999999999,407.33197556008145,36817.10794297352,3.681710794297352,2019,5,138.85,0.05,3.7189409368635435,60.84521384928716,2019-05-23 09:35:00
317,2019-05-27,Monday,2019-05-30,3,11850,P,49.6,11:15:00,85.8,0.05,2019-05-30,15:25:00,0,EOD exit,49.550000000000004,0.4965,828.7292817679559,40652.07182320443,4.065207182320443,2019,5,56.9,0.05,4.106353591160222,122.75552486187846,2019-05-27 11:15:00
14,2019-05-28,Tuesday,2019-05-30,2,12000,C,26.0,12:35:00,47.35,0.05,2019-05-30,15:25:00,0,EOD exit,25.95,0.2605,1405.152224824356,36097.65807962529,3.609765807962529,2019,5,43.65,0.05,3.6463700234192036,210.7728337236534,2019-05-28 12:35:00
15,2019-05-31,Friday,2019-06-06,6,12000,C,42.6,11:55:00,91.0,91.0,2019-06-03,14:15:00,0,SL hit,-48.4,1.336,619.8347107438017,-30828.099173553717,-3.082809917355372,2019,6,99.0,25.3,1.072314049586777,92.97520661157024,2019-05-31 11:55:00
318,2019-06-04,Tuesday,2019-06-06,2,12050,P,35.5,12:55:00,64.9,64.9,2019-06-06,09:25:00,0,SL hit,-29.400000000000006,1.004,1020.4081632653059,-31024.48979591837,-3.102448979591837,2019,6,71.05,32.1,0.34693877551020386,153.69897959183672,2019-06-04 12:55:00
319,2019-06-11,Tuesday,2019-06-13,2,11950,P,46.3,11:35:00,80.6,80.6,2019-06-12,10:35:00,0,SL hit,-34.3,1.269,874.6355685131196,-31109.912536443146,-3.1109912536443147,2019,6,83.3,25.45,1.8236151603498538,130.64868804664724,2019-06-11 11:35:00
16,2019-06-12,Wednesday,2019-06-13,1,12000,C,11.2,09:25:00,21.0,0.05,2019-06-13,15:25:00,0,EOD exit,11.149999999999999,0.1125,1666.6666666666665,18395.83333333333,1.839583333333333,2019,6,12.35,0.05,1.858333333333333,250.0,2019-06-12 09:25:00
17,2019-06-14,Friday,2019-06-20,6,11950,C,19.1,15:05:00,50.0,0.05,2019-06-20,15:25:00,0,EOD exit,19.05,0.19150000000000003,970.873786407767,18309.223300970876,1.8309223300970876,2019,6,20.95,0.05,1.8495145631067962,145.0242718446602,2019-06-14 15:05:00
18,2019-06-21,Friday,2019-06-27,6,11850,C,31.45,13:55:00,73.0,0.05,2019-06-27,15:25:00,0,EOD exit,31.4,0.315,722.0216606498195,22444.04332129964,2.244404332129964,2019,6,64.0,0.05,2.2671480144404335,106.94945848375453,2019-06-21 13:55:00
320,2019-06-25,Tuesday,2019-06-27,2,11650,P,22.6,12:05:00,52.95,0.05,2019-06-27,15:25:00,0,EOD exit,22.55,0.22650000000000003,988.4678747940692,22066.0626029654,2.20660626029654,2019,6,27.35,0.05,2.2289950576606263,143.94563426688634,2019-06-25 12:05:00
19,2019-06-28,Friday,2019-07-04,6,11900,C,43.3,14:15:00,88.55,46.9,2019-07-04,15:25:00,0,EOD exit,-3.6000000000000014,0.9019999999999999,662.9834254143647,-2984.7513812154707,-0.2984751381215471,2019,7,64.0,21.85,1.4220994475138118,98.61878453038675,2019-06-28 14:15:00
321,2019-07-01,Monday,2019-07-04,3,11800,P,29.3,11:05:00,50.65,0.05,2019-07-04,15:25:00,0,EOD exit,29.25,0.29350000000000004,1405.1522248243562,40688.29039812647,4.068829039812647,2019,7,45.5,0.05,4.110070257611242,207.25995316159253,2019-07-01 11:05:00
20,2019-07-05,Friday,2019-07-11,6,12000,C,56.25,11:35:00,93.85,0.05,2019-07-11,15:25:00,0,EOD exit,56.2,0.563,797.872340425532,44391.223404255325,4.439122340425532,2019,7,72.0,0.05,4.4840425531914905,119.68085106382979,2019-07-05 11:35:00
322,2019-07-11,Thursday,2019-07-11,0,11550,P,16.8,09:55:00,31.4,0.05,2019-07-11,15:25:00,0,EOD exit,16.75,0.1685,1731.6017316017317,28712.55411255411,2.871255411255411,2019,7,21.0,0.05,2.900432900432901,250.0,2019-07-11 09:55:00
323,2019-07-12,Friday,2019-07-18,6,11600,P,62.85,12:55:00,94.4,94.4,2019-07-12,15:05:00,0,SL hit,-31.550000000000004,1.5725,950.8716323296354,-31495.24564183835,-3.149524564183835,2019,7,98.25,38.0,2.362916006339144,137.87638668779715,2019-07-12 12:55:00
324,2019-07-16,Tuesday,2019-07-18,2,11550,P,22.75,09:35:00,39.45,0.05,2019-07-18,15:25:00,0,EOD exit,22.7,0.228,1731.6017316017317,38912.55411255411,3.891255411255411,2019,7,23.95,0.05,3.9307359307359304,250.0,2019-07-16 09:35:00
21,2019-07-22,Monday,2019-07-25,3,11400,C,32.05,09:25:00,64.8,0.05,2019-07-25,15:25:00,0,EOD exit,31.999999999999996,0.32099999999999995,916.0305343511451,29018.93129770992,2.901893129770992,2019,7,48.9,0.05,2.931297709923664,130.5343511450382,2019-07-22 09:25:00
325,2019-07-23,Tuesday,2019-07-25,2,11350,P,39.75,12:35:00,67.95,67.95,2019-07-24,09:25:00,0,SL hit,-28.200000000000003,1.077,1063.8297872340424,-31145.74468085106,-3.1145744680851064,2019,7,79.25,21.8,1.9095744680851061,150.93085106382978,2019-07-23 12:35:00
