date,day,expiry,DTE,strike,type,Entry Price,Entry Time,initial sl,TSL,Exit Price,Exit date,Exit Time,Remark,Points Captured,Slippage,Qty,PnL,ROI%,Trade Year,Trade Month,Highest High,Lowest Low,Max ROI%,Margin
2019-01-25,Friday,2019-01-31,6,10900,C,85.0,12:45:00,108.95,0.0,0.05,2019-01-31,15:20:00,EOD exit,84.95,0.8505,4200,353217.9,7.064358000000001,2019,1,88.25,0.05,7.135800000000001,114.45
2019-01-29,Tuesday,2019-01-31,2,10650,P,61.5,10:25:00,78.1,62.032500000000006,78.1,2019-01-29,12:50:00,SL hit,-16.599999999999994,1.396,6000,-107975.99999999997,-2.1595199999999997,2019,1,79.8,50.25,1.35,159.75
2019-01-30,Wednesday,2019-01-31,1,10650,P,57.4,10:45:00,69.4,36.495,69.4,2019-01-30,14:50:00,SL hit,-12.000000000000007,1.2680000000000002,7500,-99510.00000000006,-1.990200000000001,2019,1,69.5,20.45,5.5425,199.6875
2019-01-30,Wednesday,2019-01-31,1,10700,P,55.75,09:50:00,63.7,59.879999999999995,63.7,2019-01-30,10:25:00,SL hit,-7.950000000000003,1.1945000000000001,7500,-68583.75000000001,-1.3716750000000004,2019,1,69.6,49.55,0.9300000000000005,200.625
2019-02-11,Monday,2019-02-14,3,11000,P,129.85,12:40:00,151.8,114.50750000000001,151.8,2019-02-12,14:45:00,SL hit,-21.950000000000017,2.8165,4575,-113306.73750000009,-2.2661347500000018,2019,2,155.0,91.0,3.554775,125.8125
2019-02-12,Tuesday,2019-02-14,2,10900,C,44.85,10:05:00,62.1,0.0,0.05,2019-02-14,15:25:00,EOD exit,44.800000000000004,0.449,5775,256127.02500000002,5.1225405,2019,2,55.5,0.05,5.1744,157.36874999999998
2019-02-13,Wednesday,2019-02-14,1,10850,P,28.3,11:50:00,39.15,29.067500000000003,39.15,2019-02-13,13:30:00,SL hit,-10.849999999999998,0.6745,7350,-84705.07499999998,-1.6941014999999997,2019,2,39.6,22.6,0.8379,199.36875
2019-02-15,Friday,2019-02-21,6,10800,C,31.65,12:30:00,73.0,0.0,0.05,2019-02-21,15:25:00,EOD exit,31.599999999999998,0.317,2400,75079.2,1.5015839999999998,2019,2,54.7,0.05,1.5168,64.8
2019-02-15,Friday,2019-02-21,6,10750,P,90.75,14:20:00,157.2,96.45,157.2,2019-02-19,15:10:00,SL hit,-66.44999999999999,2.4795,1500,-103394.24999999999,-2.067885,2019,2,158.85,55.95,1.0439999999999998,40.3125
2019-02-20,Wednesday,2019-02-21,1,10650,P,27.3,11:05:00,59.35,0.15750000000000003,0.05,2019-02-21,15:25:00,EOD exit,27.25,0.2735,3150,84975.975,1.6995195,2019,2,41.75,0.05,1.7167499999999998,83.86875
2019-02-22,Friday,2019-02-28,6,10800,C,68.1,13:40:00,77.65,0.0,77.65,2019-02-22,14:15:00,SL hit,-9.550000000000011,1.4575,7350,-80905.12500000009,-1.618102500000002,2019,2,79.5,63.8,0.6320999999999996,198.45
2019-02-22,Friday,2019-02-28,6,10750,P,51.5,12:40:00,64.9,35.120000000000005,64.9,2019-02-26,09:55:00,SL hit,-13.400000000000006,1.1640000000000001,7500,-109230.00000000004,-2.184600000000001,2019,2,68.75,14.35,5.5725,201.5625
2019-02-25,Monday,2019-02-28,3,10850,C,40.0,10:15:00,54.95,0.0,54.95,2019-02-25,14:10:00,SL hit,-14.950000000000003,0.9495,6675,-106129.16250000002,-2.1225832500000004,2019,2,56.95,39.75,0.033375,181.059375
2019-02-26,Tuesday,2019-02-28,2,10750,P,35.45,12:30:00,90.0,0.8125,0.05,2019-02-28,15:25:00,EOD exit,35.400000000000006,0.355,1800,63081.000000000015,1.2616200000000002,2019,2,85.45,0.05,1.2744000000000002,48.375
2019-02-26,Tuesday,2019-02-28,2,10800,C,54.6,09:55:00,86.25,0.0,86.25,2019-02-26,11:50:00,SL hit,-31.65,1.4084999999999999,3150,-104134.27499999998,-2.0826854999999993,2019,2,89.15,42.2,0.7811999999999999,85.05
2019-02-26,Tuesday,2019-02-28,2,10850,C,52.0,11:55:00,58.6,0.0,58.6,2019-02-26,12:35:00,SL hit,-6.600000000000001,1.1059999999999999,7350,-56639.10000000001,-1.1327820000000002,2019,2,63.9,46.05,0.8746500000000004,199.36875
2019-02-27,Wednesday,2019-02-28,1,10900,C,22.65,12:30:00,68.6,0.0,0.05,2019-02-28,15:25:00,EOD exit,22.599999999999998,0.227,2175,48661.274999999994,0.9732254999999999,2019,2,31.7,0.05,0.9830999999999998,59.268750000000004
2019-03-01,Friday,2019-03-07,6,10800,P,44.35,15:00:00,68.65,0.07500000000000001,0.05,2019-03-07,15:25:00,EOD exit,44.300000000000004,0.444,4125,180906.0,3.61812,2019,3,55.0,0.05,3.6547500000000004,111.375
2019-03-01,Friday,2019-03-07,6,10850,C,76.95,12:30:00,98.5,0.0,98.5,2019-03-05,13:20:00,SL hit,-21.549999999999997,1.7545,4650,-108365.92499999999,-2.1673185,2019,3,99.5,40.0,3.43635,126.13125000000001
2019-03-06,Wednesday,2019-03-07,1,11050,C,19.05,14:05:00,34.5,0.0,18.6,2019-03-07,09:15:00,Gap SL hit,0.4499999999999993,0.37650000000000006,6450,474.07499999999504,0.0094814999999999,2019,3,38.0,17.35,0.21929999999999988,178.18125
2019-03-08,Friday,2019-03-14,6,11050,C,46.8,13:20:00,62.25,0.0,74.4,2019-03-11,09:15:00,Gap SL hit,-27.60000000000001,1.212,6450,-185837.40000000005,-3.716748000000001,2019,3,74.7,44.85,0.2515499999999995,178.18125
2019-03-08,Friday,2019-03-14,6,11000,P,58.4,12:50:00,65.65,0.052500000000000005,0.05,2019-03-14,15:25:00,EOD exit,58.35,0.5845,7200,415911.60000000003,8.318232,2019,3,62.4,0.05,8.4024,198.0
2019-03-12,Tuesday,2019-03-14,2,11250,C,48.5,13:50:00,83.15,0.0,83.15,2019-03-13,09:45:00,SL hit,-34.650000000000006,1.3165,2850,-102504.52500000001,-2.0500905000000005,2019,3,86.0,44.6,0.22229999999999994,80.15625
2019-03-13,Wednesday,2019-03-14,1,11350,C,19.5,11:45:00,29.65,0.0,29.65,2019-03-13,13:50:00,SL hit,-10.149999999999999,0.4915,7050,-75022.575,-1.5004515,2019,3,30.15,16.15,0.4723500000000002,200.04375
2019-03-15,Friday,2019-03-20,5,11350,P,44.8,09:20:00,58.05,0.075,0.1,2019-03-20,15:25:00,EOD exit,44.699999999999996,0.449,7050,311969.55,6.2393909999999995,2019,3,49.15,0.05,6.30975,200.04375
