date,day,expiry,DTE,strike,type,Entry Price,Entry Time,initial sl,Exit Price,Exit date,Exit Time,RSI on Entry,Remark,Points Captured,Slippage,Qty,PnL,ROI%,Trade Year,Trade Month,Highest High,Lowest Low,Max ROI%,Margin,DATETIME,Strategy,Unnamed: 0,TSL
2019-01-25,Friday,2019-01-31,6,10900,C,87.2,11:45:00,108.95,0.05,2019-01-31,15:25:00,32.86802030456852,EOD exit,87.15,0.8725,919.5402298850574,79335.63218390805,2.6498101149425284,2019,1,89.55,0.05,8.013793103448277,125.28735632183908,2019-01-25 11:45:00,HAMMER,,
2019-01-25,Friday,2019-01-31,6,10900,C,85.0,12:45:00,108.95,0.05,2019-01-31,15:20:00,,EOD exit,84.95,0.8505,4200.0,353217.9,2.3524312140000005,2019,1,88.25,0.05,7.135800000000001,114.45,2019-01-25 12:45:00,MOLOTOV,,0.0
2019-01-25,Friday,2019-01-31,6,10900,C,49.85,14:05:00,108.95,0.05,2019-01-31,15:25:00,0.0,EOD exit,49.8,0.499,507.6142131979696,25025.888324873096,0.8333620812182742,2019,1,52.9,0.05,2.527918781725889,69.16243654822335,2019-01-25 14:05:00,NLC,0.0,
2019-01-28,Monday,2019-01-31,3,10750,P,103.15,14:25:00,142.0,142.0,2019-01-29,12:45:00,49.2548435171386,SL hit,-38.85,2.4515,514.8005148005149,-21262.03346203346,-0.7101519176319177,2019,1,145.0,94.9,0.4247104247104247,69.17631917631918,2019-01-28 14:25:00,HAMMER,,
2019-01-29,Tuesday,2019-01-31,2,10650,P,61.5,10:25:00,78.1,78.1,2019-01-29,12:50:00,,SL hit,-16.599999999999994,1.396,6000.0,-107975.99999999996,-0.7191201600000001,2019,1,79.8,50.25,1.35,159.75,2019-01-29 10:25:00,MOLOTOV,,62.032500000000006
2019-01-30,Wednesday,2019-01-31,1,10700,P,55.75,09:50:00,63.7,63.7,2019-01-30,10:25:00,,SL hit,-7.950000000000003,1.1945,7500.0,-68583.75000000001,-0.45676777500000015,2019,1,69.6,49.55,0.9300000000000004,200.625,2019-01-30 09:50:00,MOLOTOV,,59.88
2019-01-30,Wednesday,2019-01-31,1,10650,P,57.4,10:45:00,69.4,69.4,2019-01-30,14:50:00,,SL hit,-12.000000000000009,1.2680000000000002,7500.0,-99510.00000000006,-0.6627366000000003,2019,1,69.5,20.45,5.5425,199.6875,2019-01-30 10:45:00,MOLOTOV,,36.495
2019-01-30,Wednesday,2019-01-31,1,10700,P,65.4,13:35:00,103.5,103.5,2019-01-30,14:45:00,33.180076628352495,SL hit,-38.1,1.689,524.9343832020999,-20886.61417322835,-0.697612913385827,2019,1,107.45,40.6,1.301837270341208,70.20997375328085,2019-01-30 13:35:00,HAMMER,,
2019-01-30,Wednesday,2019-01-31,1,10600,P,20.65,15:05:00,45.1,0.05,2019-01-31,15:25:00,48.43324250681199,EOD exit,20.6,0.207,817.9959100204499,16681.390593047032,0.5571584458077709,2019,1,27.95,0.05,1.6850715746421263,108.3844580777096,2019-01-30 15:05:00,HAMMER,,
2019-02-11,Monday,2019-02-14,3,10850,P,44.0,12:05:00,59.5,59.5,2019-02-13,15:05:00,48.84848484848485,SL hit,-15.5,1.035,1290.3225806451612,-21335.483870967742,-0.7126051612903226,2019,2,60.75,20.35,3.051612903225806,175.0,2019-02-11 12:05:00,HAMMER,,
2019-02-11,Monday,2019-02-14,3,11000,P,129.85,12:40:00,151.8,151.8,2019-02-12,14:45:00,,SL hit,-21.950000000000017,2.8165,4575.0,-113306.73750000008,-0.7546228717500006,2019,2,155.0,91.0,3.554775,125.8125,2019-02-11 12:40:00,MOLOTOV,,114.5075
2019-02-11,Monday,2019-02-14,3,10900,C,57.0,14:45:00,96.1,0.05,2019-02-14,15:25:00,48.80838894184938,EOD exit,56.95,0.5705,511.5089514066497,28838.618925831208,0.9632098721227624,2019,2,62.1,0.05,2.9130434782608705,69.69309462915602,2019-02-11 14:45:00,HAMMER,,
