Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Date,Entry Time,Entry Price,Initial SL,Target,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Max Price,Min Price,Trade Year,Trade Month,Variation,Portfolio,Allocation,Leverage,ROI% PF
BANKNIFTY,18200,P,2017-01-05,2017-01-03 12:45:00,SELL,2017-01-03,13:00:00,189.1,390.0,1,2017-01-05 15:15:00,80.1,109.0,2.692,106.308,292054.94505494507,Expiry Exit,2747.252747252747,2.9205494505494505,390.0,41.05,2017,1,"35, 4, 15m, 0% SL",20000000,10000000.0,5.0,1.4602747252747252
BANKNIFTY,18200,C,2017-01-05,2017-01-04 10:00:00,SELL,2017-01-04,10:15:00,30.1,74.9,1,2017-01-05 15:00:00,1.0,29.1,0.311,28.789,79090.65934065935,Target Hit,2747.252747252747,0.7909065934065934,125.6,0.05,2017,1,"35, 4, 15m, 0% SL",20000000,10000000.0,5.0,0.3954532967032967
BANKNIFTY,18200,P,2017-01-12,2017-01-09 12:30:00,SELL,2017-01-09,12:45:00,71.7,123.85,1,2017-01-12 09:15:00,1.0,70.7,0.7270000000000001,69.973,192233.5164835165,Target Hit,2747.252747252747,1.922335164835165,190.0,0.15,2017,1,"35, 4, 15m, 0% SL",20000000,10000000.0,5.0,0.9611675824175825
BANKNIFTY,18200,C,2017-01-12,2017-01-09 15:00:00,SELL,2017-01-09,15:15:00,160.05,206.0,1,2017-01-10 09:15:00,206.0,-45.94999999999999,3.6605,-49.61049999999999,-136292.5824175824,Initial SL Hit,2747.252747252747,-1.3629258241758238,220.0,109.75,2017,1,"35, 4, 15m, 0% SL",20000000,10000000.0,5.0,-0.6814629120879119
BANKNIFTY,18200,C,2017-01-12,2017-01-10 12:30:00,SELL,2017-01-10,12:45:00,164.65,220.0,1,2017-01-10 15:15:00,220.0,-55.35,3.8465,-59.19649999999999,-162627.74725274724,Initial SL Hit,2747.252747252747,-1.6262774725274725,228.0,109.75,2017,1,"35, 4, 15m, 0% SL",20000000,10000000.0,5.0,-0.8131387362637362
BANKNIFTY,18900,P,2017-01-19,2017-01-16 12:30:00,SELL,2017-01-16,12:45:00,70.2,206.7,1,2017-01-19 11:45:00,1.0,69.2,0.7120000000000001,68.488,181185.18518518517,Target Hit,2645.5026455026455,1.8118518518518516,206.7,1.0,2017,1,"35, 4, 15m, 0% SL",20000000,10000000.0,5.0,0.9059259259259258
BANKNIFTY,18900,C,2017-01-19,2017-01-19 10:30:00,SELL,2017-01-19,10:45:00,172.8,390.2,1,2017-01-19 15:15:00,213.15,-40.35,3.8595000000000006,-44.20949999999999,-116956.34920634919,Expiry Exit,2645.5026455026455,-1.1695634920634919,390.2,82.6,2017,1,"35, 4, 15m, 0% SL",20000000,10000000.0,5.0,-0.5847817460317459
NIFTY,8400,C,2017-01-25,2017-01-23 12:15:00,SELL,2017-01-23,12:45:00,20.6,30.9,1,2017-01-23 14:45:00,30.9,-10.3,0.515,-10.815,-102999.99999999999,Initial SL Hit,9523.809523809523,-1.0299999999999998,63.0,16.2,2017,1,"15, 5, 30m, 1.5% SL",20000000,10000000.0,8.0,-0.5149999999999999
BANKNIFTY,19000,C,2017-01-25,2017-01-23 12:30:00,SELL,2017-01-23,12:45:00,30.65,158.75,1,2017-01-25 09:15:00,158.75,-128.1,1.894,-129.994,-342089.47368421056,Initial SL Hit,2631.5789473684213,-3.4208947368421057,189.95,24.1,2017,1,"35, 4, 15m, 0% SL",20000000,10000000.0,5.0,-1.7104473684210528
NIFTY,8400,P,2017-01-25,2017-01-24 09:45:00,SELL,2017-01-24,10:15:00,13.85,20.775,1,2017-01-25 09:15:00,1.0,12.85,0.1485,12.7015,120966.66666666664,Target Hit,9523.809523809523,1.2096666666666664,73.35,0.8,2017,1,"15, 5, 30m, 1.5% SL",20000000,10000000.0,8.0,0.6048333333333332
BANKNIFTY,19000,P,2017-01-25,2017-01-24 10:00:00,SELL,2017-01-24,10:15:00,76.3,279.65,1,2017-01-25 13:00:00,1.0,75.3,0.773,74.527,196123.68421052632,Target Hit,2631.5789473684213,1.961236842105263,279.65,0.5,2017,1,"35, 4, 15m, 0% SL",20000000,10000000.0,5.0,0.9806184210526315
BANKNIFTY,19600,C,2017-02-02,2017-01-30 13:45:00,SELL,2017-01-30,14:00:00,268.5,390.4,1,2017-02-01 14:45:00,390.4,-121.89999999999998,6.589,-128.48899999999998,-327778.06122448976,Initial SL Hit,2551.0204081632655,-3.277780612244898,421.8,140.2,2017,1,"35, 4, 15m, 0% SL",20000000,10000000.0,5.0,-1.638890306122449
BANKNIFTY,19600,P,2017-02-02,2017-02-01 12:30:00,SELL,2017-02-01,12:45:00,182.05,331.25,1,2017-02-02 09:15:00,1.0,181.05,1.8305,179.2195,457192.6020408164,Target Hit,2551.0204081632655,4.5719260204081635,331.25,0.7,2017,2,"35, 4, 15m, 0% SL",20000000,10000000.0,5.0,2.2859630102040818
BANKNIFTY,20100,P,2017-02-09,2017-02-06 12:30:00,SELL,2017-02-06,12:45:00,50.35,194.8,1,2017-02-09 15:00:00,1.0,49.35,0.5135000000000001,48.8365,121483.83084577114,Target Hit,2487.5621890547263,1.2148383084577112,237.15,0.3,2017,2,"35, 4, 15m, 0% SL",20000000,10000000.0,5.0,0.6074191542288556
BANKNIFTY,20100,C,2017-02-09,2017-02-07 13:00:00,SELL,2017-02-07,13:15:00,323.4,387.65,1,2017-02-09 15:15:00,33.0,290.4,3.564,286.836,713522.3880597015,Expiry Exit,2487.5621890547263,7.135223880597015,449.35,16.65,2017,2,"35, 4, 15m, 0% SL",20000000,10000000.0,5.0,3.5676119402985074
BANKNIFTY,20200,C,2017-02-16,2017-02-13 12:30:00,SELL,2017-02-13,12:45:00,97.0,218.9,1,2017-02-16 15:15:00,31.0,66.0,1.28,64.72,160198.0198019802,Expiry Exit,2475.2475247524753,1.601980198019802,223.15,20.1,2017,2,"35, 4, 15m, 0% SL",20000000,10000000.0,5.0,0.800990099009901
BANKNIFTY,20200,P,2017-02-16,2017-02-14 11:00:00,SELL,2017-02-14,11:15:00,91.05,177.3,1,2017-02-16 15:00:00,1.0,90.05,0.9205,89.1295,220617.57425742573,Target Hit,2475.2475247524753,2.206175742574257,177.3,0.2,2017,2,"35, 4, 15m, 0% SL",20000000,10000000.0,5.0,1.1030878712871286
NIFTY,8900,P,2017-02-23,2017-02-20 12:15:00,SELL,2017-02-20,12:45:00,68.35,102.525,1,2017-02-23 13:45:00,1.0,67.35,0.6935,66.6565,599159.5505617977,Target Hit,8988.76404494382,5.991595505617977,115.6,0.5,2017,2,"15, 5, 30m, 1.5% SL",20000000,10000000.0,8.0,2.9957977528089885
BANKNIFTY,20900,C,2017-02-23,2017-02-20 12:45:00,SELL,2017-02-20,13:00:00,25.45,89.25,1,2017-02-22 09:15:00,89.25,-63.8,1.147,-64.947,-155375.5980861244,Initial SL Hit,2392.3444976076553,-1.553755980861244,102.7,17.5,2017,2,"35, 4, 15m, 0% SL",20000000,10000000.0,5.0,-0.776877990430622
BANKNIFTY,20900,P,2017-02-23,2017-02-20 13:15:00,SELL,2017-02-20,13:45:00,311.75,489.95,1,2017-02-23 15:15:00,24.75,287.0,3.365,283.635,678552.6315789473,Expiry Exit,2392.3444976076553,6.785526315789473,489.95,5.25,2017,2,"35, 4, 15m, 0% SL",20000000,10000000.0,5.0,3.3927631578947364
BANKNIFTY,20900,C,2017-02-23,2017-02-23 12:00:00,SELL,2017-02-23,12:15:00,48.5,102.0,1,2017-02-23 12:30:00,102.0,-53.5,1.505,-55.005,-131590.9090909091,Initial SL Hit,2392.3444976076553,-1.315909090909091,106.4,17.5,2017,2,"35, 4, 15m, 0% SL",20000000,10000000.0,5.0,-0.6579545454545455
BANKNIFTY,20900,C,2017-03-02,2017-02-28 12:30:00,SELL,2017-02-28,12:45:00,26.8,84.95,1,2017-03-02 13:45:00,1.0,25.8,0.278,25.522,61057.41626794257,Target Hit,2392.3444976076553,0.6105741626794258,102.3,1.0,2017,2,"35, 4, 15m, 0% SL",20000000,10000000.0,5.0,0.3052870813397129
BANKNIFTY,20900,P,2017-03-02,2017-03-01 10:00:00,SELL,2017-03-01,10:15:00,119.25,310.0,1,2017-03-02 15:00:00,310.0,-190.75,4.2925,-195.0425,-466608.8516746411,Initial SL Hit,2392.3444976076553,-4.66608851674641,319.95,35.65,2017,3,"35, 4, 15m, 0% SL",20000000,10000000.0,5.0,-2.333044258373205
BANKNIFTY,20600,P,2017-03-09,2017-03-06 13:15:00,SELL,2017-03-06,13:30:00,100.65,221.0,1,2017-03-09 14:45:00,1.0,99.65,1.0165000000000002,98.6335,239401.6990291262,Target Hit,2427.1844660194174,2.394016990291262,227.5,0.4,2017,3,"35, 4, 15m, 0% SL",20000000,10000000.0,5.0,1.197008495145631
BANKNIFTY,20600,C,2017-03-09,2017-03-07 12:30:00,SELL,2017-03-07,12:45:00,130.45,199.75,1,2017-03-09 15:15:00,117.0,13.449999999999989,2.4745,10.97549999999999,26639.56310679609,Expiry Exit,2427.1844660194174,0.2663956310679609,219.05,63.0,2017,3,"35, 4, 15m, 0% SL",20000000,10000000.0,5.0,0.13319781553398044
BANKNIFTY,20800,P,2017-03-16,2017-03-14 12:45:00,SELL,2017-03-14,13:00:00,25.05,287.0,1,2017-03-16 09:15:00,1.0,24.05,0.2605,23.7895,57186.29807692308,Target Hit,2403.846153846154,0.5718629807692308,287.0,0.5,2017,3,"35, 4, 15m, 0% SL",20000000,10000000.0,5.0,0.2859314903846154
BANKNIFTY,21300,C,2017-03-23,2017-03-20 12:30:00,SELL,2017-03-20,12:45:00,43.5,104.35,1,2017-03-22 15:15:00,1.0,42.5,0.445,42.055,98720.6572769953,Target Hit,2347.417840375587,0.9872065727699532,149.95,0.85,2017,3,"35, 4, 15m, 0% SL",20000000,10000000.0,5.0,0.4936032863849766
NIFTY,9100,C,2017-03-30,2017-03-27 12:45:00,SELL,2017-03-27,13:15:00,19.3,28.950000000000003,1,2017-03-27 13:45:00,28.950000000000003,-9.650000000000002,0.4825,-10.132500000000002,-89076.9230769231,Initial SL Hit,8791.208791208792,-0.890769230769231,73.1,18.25,2017,3,"15, 5, 30m, 1.5% SL",20000000,10000000.0,8.0,-0.4453846153846155
