,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Date,Entry Time,Entry Price,Initial SL,Target,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Trade Year,Trade Month
2,finnifty,18500,P,2023-01-17,2023-01-13 10:00:00,SELL,2023-01-13,10:15:00,107.4,176.75,10,2023-01-16 09:15:00,10.0,97.4,1.1740000000000002,96.226,103924.08,Target Hit,1080,10.392408,2023,1
4,finnifty,18600,P,2023-01-24,2023-01-19 12:45:00,SELL,2023-01-19,13:00:00,59.85,99.6,10,2023-01-23 09:15:00,10.0,49.85,0.6985,49.1515,53083.619999999995,Target Hit,1080,5.308362,2023,1
7,finnifty,18300,P,2023-02-07,2023-02-03 11:00:00,SELL,2023-02-03,11:15:00,180.95,662.85,10,2023-02-07 10:30:00,10.0,170.95,1.9095,169.04049999999998,185099.34749999997,Target Hit,1095,18.50993475,2023,2
8,finnifty,18400,P,2023-02-14,2023-02-09 13:15:00,SELL,2023-02-09,13:30:00,88.5,145.55,10,2023-02-14 11:30:00,10.0,78.5,0.985,77.515,83716.2,Target Hit,1080,8.371619999999998,2023,2
9,finnifty,18600,P,2023-02-21,2023-02-16 12:45:00,SELL,2023-02-16,13:00:00,81.9,167.65,10,2023-02-17 12:15:00,167.65,-85.75,2.4955000000000003,-88.2455,-95305.14000000001,Initial SL Hit,1080,-9.530514,2023,2
13,finnifty,18100,P,2023-03-06,2023-03-03 10:15:00,SELL,2023-03-03,10:30:00,26.05,192.35,10,2023-03-03 13:45:00,10.0,16.05,0.3605,15.6895,17415.345,Target Hit,1110,1.7415345000000002,2023,3
14,finnifty,18300,P,2023-03-14,2023-03-09 12:45:00,SELL,2023-03-09,13:00:00,63.4,129.0,10,2023-03-09 15:15:00,129.0,-65.6,1.9240000000000002,-67.524,-73938.78,Initial SL Hit,1095,-7.393878,2023,3
17,finnifty,17700,P,2023-03-21,2023-03-17 11:30:00,SELL,2023-03-17,11:45:00,262.0,470.0,10,2023-03-21 13:45:00,10.0,252.0,2.72,249.28,280440.0,Target Hit,1125,28.044000000000004,2023,3
18,finnifty,17850,P,2023-03-28,2023-03-23 12:30:00,SELL,2023-03-23,12:45:00,86.1,206.0,10,2023-03-24 09:15:00,206.0,-119.9,2.9210000000000003,-122.82100000000001,-138173.625,Initial SL Hit,1125,-13.8173625,2023,3
20,finnifty,18200,P,2023-04-11,2023-04-06 13:15:00,SELL,2023-04-06,13:30:00,16.35,84.75,10,2023-04-06 15:15:00,10.0,6.350000000000001,0.2635,6.086500000000002,6664.717500000002,Target Hit,1095,0.6664717500000001,2023,4
22,finnifty,18600,P,2023-04-18,2023-04-13 12:30:00,SELL,2023-04-13,12:45:00,41.45,94.0,10,2023-04-17 09:15:00,10.0,31.450000000000003,0.5145000000000001,30.9355,33410.340000000004,Target Hit,1080,3.3410340000000005,2023,4
