Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Trade Month,Index,ROI% PF
2017-01-09 10:15:00,LONG,2017-01-09 11:15:00,8246.55,8227.75,8410.596249999999,2017-01-20 10:15:00,8407.6,161.0500000000011,157.7191700000011,906885.2275000064,TSL Hit,5750,6.333,12.091803033333418,2017,1,NIFTY,4.030601011111139
2017-01-11 10:15:00,LONG,2017-01-11 11:15:00,18670.85,18612.35,19125.236111111117,2017-01-19 09:15:00,19071.85,401.0,397.22573,810340.4892,TSL Hit,2040,5.066,10.804539856,2017,1,BANKNIFTY,3.601513285333333
2017-01-17 12:15:00,LONG,2017-01-17 13:15:00,7622.55,7590.5,7590.5,2017-01-20 09:15:00,7575.95,-46.60000000000037,-49.63970000000037,-309007.1325000023,Gap Open Outside ISL,6225,6.333,-4.120095100000031,2017,1,FINNIFTY,-1.3733650333333438
2017-01-19 10:15:00,LONG,2017-01-19 11:15:00,19108.4,19063.75,19063.75,2017-01-20 09:15:00,18996.65,-111.75,-115.560505,-230543.207475,Gap Open Outside ISL,1995,5.066,-3.0739094330000003,2017,1,BANKNIFTY,-1.0246364776666668
2017-01-20 10:15:00,LONG,2017-01-20 11:15:00,19010.5,18959.0,18959.0,2017-01-20 12:15:00,18959.0,-51.5,-55.29695,-110317.41525,Initial SL Hit,1995,5.066,-1.47089887,2017,1,BANKNIFTY,-0.4902996233333334
2017-01-20 10:15:00,LONG,2017-01-20 11:15:00,7572.1,7553.65,7553.65,2017-01-20 12:15:00,7553.65,-18.450000000000728,-21.475150000000728,-134756.56625000457,Initial SL hit,6275,6.333,-1.7967542166667276,2017,1,FINNIFTY,-0.5989180722222426
2017-01-20 15:15:00,LONG,2017-01-23 09:15:00,7509.9,7494.55,7494.55,2017-01-23 12:15:00,7494.55,-15.349999999999454,-18.350889999999456,-116069.37924999656,Initial SL Hit,6325,6.333,-1.5475917233332874,2017,1,FINNIFTY,-0.5158639077777625
2017-01-23 13:15:00,LONG,2017-01-23 14:15:00,7511.3,7486.0,8146.24375,2017-02-16 09:15:00,8126.9,615.5999999999995,612.4723599999994,3873887.676999997,TSL Hit,6325,6.333,51.65183569333328,2017,1,FINNIFTY,17.217278564444428
2017-01-24 11:15:00,LONG,2017-01-24 12:15:00,18977.75,18944.8,18944.8,2017-01-24 12:15:00,18944.8,-32.95000000000073,-36.742255000000725,-73300.79872500144,Initial SL hit,1995,5.066,-0.9773439830000192,2017,1,BANKNIFTY,-0.32578132766667306
2017-01-24 12:15:00,LONG,2017-01-24 13:15:00,8445.3,8429.25,8429.25,2017-01-24 13:15:00,8429.25,-16.049999999999272,-19.424909999999272,-109265.1187499959,Initial SL hit,5625,6.333,-1.4568682499999457,2017,1,NIFTY,-0.4856227499999819
