,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Trade Month
0,2022-01-21 10:15:00,SHORT,2022-01-21 11:15:00,7616.75,7690.55,7544.052040816327,2022-01-28 10:15:00,7549.45,67.30000000000018,59.71690000000018,176164.85500000053,TSL Hit,2950,3,2.3488647333333406,2022,1
1,2022-01-28 11:15:00,SHORT,2022-01-28 12:15:00,7548.7,7579.8,7494.0081632653055,2022-01-31 10:15:00,7508.95,39.75,32.221175,96663.52500000001,TSL Hit,3000,3,1.288847,2022,1
2,2022-01-31 13:15:00,SHORT,2022-01-31 14:15:00,7514.15,7543.8,7543.8,2022-02-01 09:15:00,7587.25,-73.10000000000036,-80.65070000000037,-241952.1000000011,Gap Open Outside ISL,3000,3,-3.226028000000015,2022,1
3,2022-02-01 10:15:00,SHORT,2022-02-01 11:15:00,7560.35,7589.55,7589.55,2022-02-01 14:15:00,7589.55,-29.199999999999818,-36.77494999999982,-110324.84999999945,Initial SL Hit,3000,3,-1.4709979999999927,2022,2
4,2022-02-09 15:15:00,SHORT,2022-02-10 09:15:00,7505.7,7516.8,7516.8,2022-02-10 10:15:00,7516.8,-11.100000000000364,-18.611250000000364,-55833.75000000109,Initial SL Hit,3000,3,-0.7444500000000145,2022,2
5,2022-02-10 12:15:00,SHORT,2022-02-10 13:15:00,7548.05,7570.25,6993.5081632653055,2022-03-03 09:15:00,7000.45,547.6000000000004,540.3257500000003,1620977.250000001,TSL Hit,3000,3,21.613030000000013,2022,2
6,2022-03-03 11:15:00,SHORT,2022-03-03 12:15:00,6978.05,7006.1,6808.507142857144,2022-03-09 12:15:00,6826.95,151.10000000000036,144.19750000000036,461432.00000000116,TSL Hit,3200,3,6.152426666666682,2022,3
7,2022-03-11 12:15:00,SHORT,2022-03-11 13:15:00,6885.2,6910.75,6910.75,2022-03-11 13:15:00,6910.75,-25.550000000000182,-32.447975000000184,-105455.9187500006,Initial SL Hit,3250,3,-1.4060789166666745,2022,3
8,2022-03-11 15:15:00,SHORT,2022-03-14 09:15:00,6930.35,6942.6,6942.6,2022-03-14 14:15:00,6942.6,-12.25,-19.186475,-62356.043750000004,Initial SL Hit,3250,3,-0.8314139166666666,2022,3
9,2022-04-19 11:15:00,SHORT,2022-04-19 12:15:00,7451.65,7479.45,7311.872448979592,2022-04-29 10:15:00,7325.8,125.84999999999945,118.46127499999946,355383.8249999984,TSL Hit,3000,3,4.738450999999978,2022,4
10,2022-04-29 14:15:00,SHORT,2022-04-29 15:15:00,7225.35,7303.6,6589.279591836735,2022-05-17 10:15:00,6613.35,612.0,605.08065,1875750.015,TSL Hit,3100,3,25.0100002,2022,4
11,2022-05-18 10:15:00,SHORT,2022-05-18 11:15:00,6743.3,6780.55,6545.619387755103,2022-05-20 09:15:00,6628.4,114.90000000000055,108.21415000000054,362517.40250000183,TSL Hit,3350,3,4.833565366666691,2022,5
12,2022-05-27 09:15:00,SHORT,2022-05-27 10:15:00,6617.85,6668.55,6668.55,2022-05-27 13:15:00,6668.55,-50.69999999999982,-57.34319999999982,-194966.8799999994,Initial SL Hit,3400,3,-2.599558399999992,2022,5
13,2022-06-10 10:15:00,SHORT,2022-06-10 11:15:00,6635.7,6656.7,6272.666326530612,2022-06-23 14:15:00,6278.35,357.34999999999945,350.89297499999947,1193036.1149999981,TSL Hit,3400,3,15.907148199999977,2022,6
14,2022-08-29 13:15:00,SHORT,2022-08-29 14:15:00,7257.15,7276.65,7276.65,2022-08-29 15:15:00,7276.65,-19.5,-26.7669,-82977.39,Initial SL hit,3100,3,-1.1063652,2022,8
15,2022-08-30 11:15:00,SHORT,2022-08-30 12:15:00,7371.0,7388.65,7388.65,2022-08-30 13:15:00,7388.65,-17.649999999999636,-25.029824999999637,-76340.96624999889,Initial SL Hit,3050,3,-1.017879549999985,2022,8
16,2022-09-19 10:15:00,SHORT,2022-09-19 11:15:00,7395.0,7435.35,7435.35,2022-09-20 09:15:00,7437.85,-42.850000000000364,-50.26642500000037,-153312.5962500011,Gap Open Outside ISL,3050,3,-2.0441679500000145,2022,9
17,2022-09-20 10:15:00,SHORT,2022-09-20 11:15:00,7537.4,7554.3,7190.254081632652,2022-09-30 13:15:00,7192.8,344.59999999999945,337.23489999999947,1011704.6999999984,TSL Hit,3000,3,13.489395999999978,2022,9
18,2022-09-30 15:15:00,SHORT,2022-10-03 09:15:00,7195.2,7222.95,7131.5142857142855,2022-10-04 09:15:00,7222.95,-27.75,-34.959075,-110121.08625,Initial SL hit,3150,3,-1.46828115,2022,10
19,2022-10-18 10:15:00,SHORT,2022-10-18 11:15:00,7317.2,7342.95,7342.95,2022-10-18 14:15:00,7342.95,-25.75,-33.080075,-100894.22875000001,Initial SL Hit,3050,3,-1.3452563833333335,2022,10
20,2022-11-11 09:15:00,SHORT,2022-11-11 10:15:00,7369.2,7473.7,7239.254081632654,2022-11-23 09:15:00,7252.9,116.30000000000018,108.98895000000019,332416.29750000057,TSL Hit,3050,3,4.432217300000008,2022,11
21,2022-11-23 12:15:00,SHORT,2022-11-23 13:15:00,7254.55,7267.8,7267.8,2022-11-24 09:15:00,7275.45,-20.899999999999636,-28.164999999999637,-87311.49999999888,Gap Open Outside ISL,3100,3,-1.1641533333333185,2022,11
22,2022-11-24 11:15:00,SHORT,2022-11-24 12:15:00,7263.75,7270.3,7270.3,2022-11-24 14:15:00,7270.3,-6.550000000000182,-13.817025000000182,-42832.777500000564,Initial SL Hit,3100,3,-0.5711037000000075,2022,11
