Previous Day,Day High,Day Low,Daily Range,Current Day Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Max High,Min Low,Remark,Points,Slippage,Points w cs,Qty,PnL,PnL w cs,ROI%,ROI% w cs,Trade Year
2017-02-20,8820.8,8814.5,6.299999999999272,8890.75,125%,8898.625,8882.875,high,8900,2017-02-23,2,NIFTY17FEB8900PE,PE,2017-02-21 14:57:00,32.5,2017-02-21 15:30:00,31.2,33.0,24.55,EOD Closing,1.3000000000000007,0.637,0.6630000000000007,9101.123595505618,11831.46067415731,6034.044943820231,0.13146067415730345,0.06704494382022479,2017
2017-02-20,8820.8,8814.5,6.299999999999272,8890.75,125%,8898.625,8882.875,low,8900,2017-02-23,2,NIFTY17FEB8900CE,CE,2017-02-21 09:15:00,27.8,2017-02-21 09:16:00,30.7,48.55,20.05,SL Hit,-2.8999999999999986,0.585,-3.4849999999999985,9101.123595505618,-26393.25842696628,-31717.415730337067,-0.293258426966292,-0.3524157303370785,2017
2017-03-01,8960.8,8900.65,60.149999999999636,8982.85,125%,9058.0375,8907.6625,low,9000,2017-03-02,0,NIFTY173029000CE,CE,2017-03-02 15:11:00,,2017-03-02 15:30:00,,48.55,20.05,EOD Closing,,,,9000.0,,,,,2017
2017-03-07,8977.75,8933.0,44.75,8950.7,125%,9006.6375,8894.7625,low,8950,2017-03-09,1,NIFTY173098950CE,CE,2017-03-08 11:20:00,,2017-03-08 15:30:00,,48.55,20.05,EOD Closing,,,,9050.279329608938,,,,,2017
2017-03-16,9158.1,9129.4,28.700000000000728,9207.8,125%,9243.675,9171.925,low,9200,2017-03-23,6,NIFTY173239200CE,CE,2017-03-17 09:16:00,,2017-03-17 09:17:00,,48.55,20.05,SL Hit,,,,8804.347826086956,,,,,2017
2017-03-24,9133.55,9089.6,43.94999999999891,9093.45,125%,9148.387499999999,9038.512500000003,low,9100,2017-03-30,3,NIFTY17MAR9100CE,CE,2017-03-27 11:48:00,20.35,2017-03-27 15:30:00,27.2,33.35,18.25,EOD Closing,-6.849999999999998,0.4755,-7.325499999999998,8901.098901098901,-60972.52747252746,-65204.999999999985,-0.6774725274725273,-0.7244999999999998,2017
2017-04-12,9242.5,9232.5,10.0,9202.5,125%,9215.0,9190.0,low,9200,2017-04-13,0,NIFTY174139200CE,CE,2017-04-13 09:16:00,,2017-04-13 15:30:00,,33.35,18.25,EOD Closing,,,,8804.347826086956,,,,,2017
2017-04-17,9159.85,9120.35,39.5,9163.0,125%,9212.375,9113.625,high,9150,2017-04-20,2,NIFTY174209150PE,PE,2017-04-18 09:36:00,,2017-04-18 14:45:00,,33.35,18.25,SL Hit,,,,8852.459016393443,,,,,2017
2017-04-17,9159.85,9120.35,39.5,9163.0,125%,9212.375,9113.625,low,9150,2017-04-20,2,NIFTY174209150CE,CE,2017-04-18 14:57:00,,2017-04-18 15:30:00,,33.35,18.25,EOD Closing,,,,8852.459016393443,,,,,2017
2017-04-20,9143.65,9106.3,37.350000000000364,9179.1,125%,9225.7875,9132.4125,low,9200,2017-04-27,6,NIFTY17APR9200CE,CE,2017-04-21 12:51:00,20.0,2017-04-21 15:30:00,19.45,22.0,13.0,EOD Closing,0.5500000000000007,0.3945,0.1555000000000007,8804.347826086956,4842.391304347832,1369.0760869565277,0.05380434782608703,0.015211956521739197,2017
2017-04-27,9367.05,9322.95,44.099999999998545,9340.95,125%,9396.074999999999,9285.825000000003,low,9350,2017-05-04,6,NIFTY175049350CE,CE,2017-04-28 12:02:00,,2017-04-28 15:30:00,,22.0,13.0,EOD Closing,,,,8663.101604278076,,,,,2017
2017-05-04,9365.5,9323.45,42.04999999999927,9374.55,125%,9427.1125,9321.9875,low,9350,2017-05-11,6,NIFTY175119350CE,CE,2017-05-05 09:22:00,,2017-05-05 15:30:00,,22.0,13.0,EOD Closing,,,,8663.101604278076,,,,,2017
2017-05-09,9337.75,9307.75,30.0,9339.65,125%,9377.15,9302.15,high,9350,2017-05-11,1,NIFTY175119350PE,PE,2017-05-10 09:53:00,,2017-05-10 15:30:00,,22.0,13.0,EOD Closing,,,,8663.101604278076,,,,,2017
2017-05-11,9450.3,9411.6,38.69999999999891,9436.65,125%,9485.024999999998,9388.275000000001,low,9450,2017-05-18,6,NIFTY175189450CE,CE,2017-05-12 09:48:00,,2017-05-12 15:30:00,,22.0,13.0,EOD Closing,,,,8571.42857142857,,,,,2017
2017-05-15,9449.05,9423.8,25.25,9461.0,125%,9492.5625,9429.4375,high,9450,2017-05-18,2,NIFTY175189450PE,PE,2017-05-16 13:47:00,,2017-05-16 15:30:00,,22.0,13.0,EOD Closing,,,,8571.42857142857,,,,,2017
2017-05-24,9431.75,9341.9,89.85000000000036,9384.05,125%,9496.3625,9271.7375,high,9400,2017-05-25,0,NIFTY17MAY9400PE,PE,2017-05-25 15:00:00,0.15,2017-05-25 15:30:00,0.05,0.15,0.05,EOD Closing,0.09999999999999999,0.002,0.09799999999999999,8617.021276595744,861.7021276595743,844.4680851063828,0.009574468085106381,0.009382978723404253,2017
2017-06-02,9672.65,9653.35,19.299999999999272,9656.3,125%,9680.425,9632.175,high,9650,2017-06-08,3,NIFTY176089650PE,PE,2017-06-05 11:31:00,,2017-06-05 15:30:00,,0.15,0.05,EOD Closing,,,,8393.78238341969,,,,,2017
2017-06-05,9687.05,9641.25,45.79999999999927,9704.25,125%,9761.5,9647.0,low,9700,2017-06-08,2,NIFTY176089700CE,CE,2017-06-06 12:42:00,,2017-06-06 15:30:00,,0.15,0.05,EOD Closing,,,,8350.515463917525,,,,,2017
2017-06-14,9624.7,9580.65,44.05000000000109,9617.9,125%,9672.962500000001,9562.837499999998,low,9600,2017-06-15,0,NIFTY176159600CE,CE,2017-06-15 14:30:00,,2017-06-15 15:30:00,,0.15,0.05,EOD Closing,,,,8437.5,,,,,2017
2017-06-21,9650.05,9608.7,41.349999999998545,9642.65,125%,9694.337499999998,9590.962500000001,high,9650,2017-06-22,0,NIFTY176229650PE,PE,2017-06-22 11:29:00,,2017-06-22 15:30:00,,0.15,0.05,EOD Closing,,,,8393.78238341969,,,,,2017
2017-06-23,9646.65,9565.35,81.29999999999927,9594.05,125%,9695.675,9492.425,low,9600,2017-06-29,2,NIFTY17JUN9600CE,CE,2017-06-27 13:51:00,8.75,2017-06-27 15:30:00,8.7,10.1,5.6,EOD Closing,0.05000000000000071,0.1745,-0.12449999999999928,8437.5,421.87500000000597,-1050.4687499999939,0.004687500000000067,-0.011671874999999932,2017
2017-07-05,9643.4,9607.4,36.0,9653.6,125%,9698.6,9608.6,high,9650,2017-07-06,0,NIFTY177069650PE,PE,2017-07-06 14:16:00,,2017-07-06 15:30:00,,10.1,5.6,EOD Closing,,,,8393.78238341969,,,,,2017
2017-07-07,9684.0,9642.9,41.100000000000364,9698.25,125%,9749.625,9646.875,high,9700,2017-07-13,3,NIFTY177139700PE,PE,2017-07-10 09:20:00,,2017-07-10 15:30:00,,10.1,5.6,EOD Closing,,,,8350.515463917525,,,,,2017
2017-07-13,9897.25,9855.5,41.75,9913.3,125%,9965.4875,9861.1125,low,9900,2017-07-20,6,NIFTY177209900CE,CE,2017-07-14 10:25:00,,2017-07-14 15:30:00,,10.1,5.6,EOD Closing,,,,8181.818181818182,,,,,2017
2017-07-17,9928.2,9894.85,33.350000000000364,9832.7,125%,9874.3875,9791.0125,high,9850,2017-07-20,2,NIFTY177209850PE,PE,2017-07-18 09:35:00,,2017-07-18 09:36:00,,10.1,5.6,SL Hit,,,,8223.350253807106,,,,,2017
2017-08-01,10128.35,10066.0,62.350000000000364,10136.3,125%,10214.2375,10058.3625,low,10150,2017-08-03,1,NIFTY1780310150CE,CE,2017-08-02 15:29:00,,2017-08-02 15:30:00,,10.1,5.6,EOD Closing,,,,7980.295566502463,,,,,2017
2017-08-07,10087.8,10046.4,41.399999999999636,10068.35,125%,10120.1,10016.6,low,10050,2017-08-10,2,NIFTY1781010050CE,CE,2017-08-08 09:56:00,,2017-08-08 15:30:00,,10.1,5.6,EOD Closing,,,,8059.701492537313,,,,,2017
2017-08-09,9969.2,9893.55,75.65000000000146,9872.85,125%,9967.412500000002,9778.287499999999,low,9850,2017-08-10,0,NIFTY178109850CE,CE,2017-08-10 14:58:00,,2017-08-10 15:30:00,,10.1,5.6,EOD Closing,,,,8223.350253807106,,,,,2017
2017-08-17,9947.6,9883.85,63.75,9865.95,125%,9945.6375,9786.2625,low,9850,2017-08-24,6,NIFTY178249850CE,CE,2017-08-18 13:29:00,,2017-08-18 15:30:00,,10.1,5.6,EOD Closing,,,,8223.350253807106,,,,,2017
2017-08-18,9865.95,9783.9,82.05000000000109,9864.25,125%,9966.812500000002,9761.687499999998,low,9850,2017-08-24,3,NIFTY178249850CE,CE,2017-08-21 15:06:00,,2017-08-21 15:30:00,,10.1,5.6,EOD Closing,,,,8223.350253807106,,,,,2017
2017-08-28,9925.6,9882.0,43.600000000000364,9886.4,125%,9940.9,9831.9,low,9900,2017-08-31,2,NIFTY17AUG9900CE,CE,2017-08-29 10:17:00,17.0,2017-08-29 15:30:00,10.1,23.15,7.5,EOD Closing,6.9,0.271,6.6290000000000004,8181.818181818182,56454.545454545456,54237.272727272735,0.6272727272727273,0.6026363636363637,2017
2017-09-01,9983.25,9910.3,72.95000000000073,9984.15,125%,10075.337500000001,9892.962499999998,low,10000,2017-09-07,3,NIFTY1790710000CE,CE,2017-09-04 11:53:00,,2017-09-04 15:30:00,,23.15,7.5,EOD Closing,,,,8100.0,,,,,2017
2017-09-12,10056.85,10035.45,21.399999999999636,10099.25,125%,10126.0,10072.5,high,10100,2017-09-14,1,NIFTY1791410100PE,PE,2017-09-13 13:12:00,,2017-09-13 15:30:00,,23.15,7.5,EOD Closing,,,,8019.80198019802,,,,,2017
2017-09-12,10056.85,10035.45,21.399999999999636,10099.25,125%,10126.0,10072.5,low,10100,2017-09-14,1,NIFTY1791410100CE,CE,2017-09-13 15:14:00,,2017-09-13 15:15:00,,23.15,7.5,SL Hit,,,,8019.80198019802,,,,,2017
2017-09-20,10170.05,10134.55,35.5,10139.6,125%,10183.975,10095.225,low,10150,2017-09-21,0,NIFTY1792110150CE,CE,2017-09-21 10:06:00,,2017-09-21 15:30:00,,23.15,7.5,EOD Closing,,,,7980.295566502463,,,,,2017
2017-09-21,10158.9,10058.6,100.29999999999927,10094.35,125%,10219.724999999999,9968.975000000002,low,10100,2017-09-28,6,NIFTY17SEP10100CE,CE,2017-09-22 14:36:00,17.5,2017-09-22 15:30:00,18.35,21.85,16.0,EOD Closing,-0.8500000000000014,0.35850000000000004,-1.2085000000000015,8019.80198019802,-6816.831683168329,-9691.930693069318,-0.07574257425742588,-0.10768811881188131,2017
2017-09-26,9890.7,9813.2,77.5,9920.6,125%,10017.475,9823.725,low,9900,2017-09-28,1,NIFTY17SEP9900CE,CE,2017-09-27 10:30:00,14.75,2017-09-27 15:30:00,2.7,15.9,2.15,EOD Closing,12.05,0.1745,11.8755,8181.818181818182,98590.9090909091,97163.18181818182,1.0954545454545455,1.079590909090909,2017
2017-10-05,9945.85,9881.95,63.899999999999636,9908.15,125%,9988.025,9828.275,high,9900,2017-10-12,6,NIFTY1710129900PE,PE,2017-10-06 15:28:00,,2017-10-06 15:30:00,,15.9,2.15,EOD Closing,,,,8181.818181818182,,,,,2017
2017-10-10,10033.9,10002.35,31.549999999999272,10042.6,125%,10082.037499999999,10003.162500000002,low,10050,2017-10-12,1,NIFTY17101210050CE,CE,2017-10-11 14:04:00,,2017-10-11 15:30:00,,15.9,2.15,EOD Closing,,,,8059.701492537313,,,,,2017
2017-10-18,10236.3,10176.1,60.19999999999891,10210.35,125%,10285.599999999999,10135.100000000002,low,10200,2017-10-19,0,NIFTY17101910200CE,CE,2017-10-19 19:13:00,,2017-10-19 15:30:00,,15.9,2.15,EOD Closing,,,,7941.176470588235,,,,,2017
2017-10-24,10237.5,10182.45,55.04999999999927,10321.15,125%,10389.962499999998,10252.337500000001,low,10300,2017-10-26,1,NIFTY17OCT10300CE,CE,2017-10-25 09:53:00,21.35,2017-10-25 09:54:00,18.8,44.0,13.15,SL Hit,2.5500000000000007,0.4015000000000001,2.1485000000000007,7864.077669902913,20053.398058252435,16895.970873786413,0.2228155339805826,0.18773300970873794,2017
2017-10-31,10364.9,10324.0,40.899999999999636,10390.35,125%,10441.475,10339.225,high,10400,2017-11-02,1,NIFTY17110210400PE,PE,2017-11-01 12:21:00,,2017-11-01 15:30:00,,44.0,13.15,EOD Closing,,,,7788.461538461538,,,,,2017
2017-11-02,10441.3,10432.45,8.849999999998545,10461.55,125%,10472.612499999997,10450.487500000001,low,10450,2017-11-09,6,NIFTY17110910450CE,CE,2017-11-03 09:15:00,,2017-11-03 09:16:00,,44.0,13.15,SL Hit,,,,7751.196172248804,,,,,2017
2017-11-06,10490.4,10413.8,76.60000000000036,10477.15,125%,10572.9,10381.4,low,10500,2017-11-09,2,NIFTY17110910500CE,CE,2017-11-07 13:36:00,,2017-11-07 15:30:00,,44.0,13.15,EOD Closing,,,,7714.285714285715,,,,,2017
2017-11-29,10392.3,10345.95,46.349999999998545,10332.7,125%,10390.637499999999,10274.762500000003,low,10350,2017-11-30,0,NIFTY17NOV10350CE,CE,2017-11-30 11:47:00,2.2,2017-11-30 15:30:00,0.05,3.6,0.05,EOD Closing,2.1500000000000004,0.0225,2.1275000000000004,7826.086956521739,16826.08695652174,16650.000000000004,0.18695652173913044,0.18500000000000005,2017
2017-11-30,10332.7,10212.25,120.45000000000073,10263.7,125%,10414.2625,10113.1375,low,10250,2017-12-07,6,NIFTY17120710250CE,CE,2017-12-01 15:18:00,,2017-12-01 15:30:00,,3.6,0.05,EOD Closing,,,,7902.4390243902435,,,,,2017
