week_start,entry_time,current week open,previous week high,previous week low,previous week range,multiplier%,high level,low level,strike,type,expiry,tag,entry price,exit price,exit_time,dte,slippage,final points,portfolio,index leverage,qty,PnL,ROI%,Trade Year,Hedge Strike,Hedge Entry Price,Hedge Exit Price,Qty,Hedge Points,Hedge PnL,Total PnL,Total ROI%,Index,Trade Month,Portfolio,Allocation,New Qty,New PnL,ROI% PF
2019-01-25,2019-01-25 09:16:00,10859.75,10987.2,10798.9,188.3000000000011,8.669628674693298,10876.074910794448,10843.425089205552,10900,CE,2019-01-31,STRANGLE,93.9,100.5,2019-01-25 09:15:00,6,1.944,-8.543999999999995,10000000,10,9174.311926605504,-78385.32110091738,-0.7838532110091738,2019,11250,3.8,3.8,9174.311926605504,0.0,0.0,-78385.32110091738,-0.7838532110091738,NIFTY,1,10000000,10000000,9174.311926605504,-78385.32110091738,-0.7838532110091738
2019-01-25,2019-01-25 09:16:00,10859.75,10987.2,10798.9,188.3000000000011,8.669628674693298,10876.074910794448,10843.425089205552,10850,PE,2019-01-31,STRANGLE,46.0,86.25,2019-01-25 14:05:00,6,1.3225,-41.5725,10000000,9,8294.930875576038,-344841.0138248848,-3.4484101382488475,2019,10500,4.4,12.15,8294.930875576038,7.75,64285.71428571429,-280555.29953917046,-2.8055529953917047,NIFTY,1,10000000,10000000,8294.930875576038,-280555.2995391705,-2.805552995391705
2019-01-25,2019-01-25 13:35:00,10859.75,10987.2,10798.9,188.3000000000011,8.669628674693298,10876.074910794448,10843.425089205552,10900,CE,2019-01-31,RE-ENTRY,68.3,0.05,2019-01-31 15:25:00,6,0.6835,67.5665,10000000,10,9174.311926605504,619876.1467889908,6.198761467889908,2019,11250,2.25,0.05,9174.311926605504,-2.2,-20183.48623853211,599692.6605504587,5.996926605504587,NIFTY,1,10000000,10000000,9174.311926605504,599692.6605504587,5.996926605504587
2019-02-08,2019-02-08 09:16:00,11023.5,11117.9,10813.65,304.25,13.80006350070304,11065.486693200888,10981.513306799112,11050,CE,2019-02-14,STRANGLE,39.8,0.05,2019-02-14 15:25:00,6,0.3984999999999999,39.3515,10000000,10,9049.773755656108,356122.1719457013,3.5612217194570137,2019,11400,0.7,0.05,9049.773755656108,-0.6499999999999999,-5882.352941176469,350239.8190045249,3.5023981900452488,NIFTY,2,10000000,10000000,9049.773755656108,350239.8190045249,3.5023981900452488
2019-02-08,2019-02-08 09:16:00,11023.5,11117.9,10813.65,304.25,13.80006350070304,11065.486693200888,10981.513306799112,11000,PE,2019-02-14,STRANGLE,113.6,,2019-02-08 12:55:00,6,,,10000000,9,8181.818181818182,,,2019,10650,0.0,0.0,8181.818181818182,0.0,0.0,,,NIFTY,2,10000000,10000000,8181.818181818182,,
2019-02-08,2019-02-08 13:35:00,11023.5,11117.9,10813.65,304.25,13.80006350070304,11065.486693200888,10981.513306799112,11000,PE,2019-02-14,RE-ENTRY,126.15,,2019-02-08 14:55:00,6,,,10000000,9,8181.818181818182,,,2019,10650,0.0,0.0,8181.818181818182,0.0,0.0,,,NIFTY,2,10000000,10000000,8181.818181818182,,
2019-02-15,2019-02-15 09:16:00,10780.25,11041.15,10718.85,322.2999999999993,14.948632916676296,10828.429443890447,10732.070556109553,10850,CE,2019-02-21,STRANGLE,34.15,0.05,2019-02-21 15:25:00,6,0.3419999999999999,33.758,10000000,10,9216.589861751152,311133.64055299544,3.111336405529954,2019,11200,1.45,0.05,9216.589861751152,-1.4,-12903.225806451612,298230.4147465438,2.982304147465438,NIFTY,2,10000000,10000000,9216.589861751152,298230.4147465438,2.982304147465438
2019-02-15,2019-02-15 09:16:00,10780.25,11041.15,10718.85,322.2999999999993,14.948632916676296,10828.429443890447,10732.070556109553,10750,PE,2019-02-21,STRANGLE,86.0,92.0,2019-02-15 09:15:00,6,1.78,-7.78,10000000,9,8372.093023255815,-65134.88372093024,-0.6513488372093025,2019,10450,14.4,14.4,8372.093023255815,0.0,0.0,-65134.88372093024,-0.6513488372093025,NIFTY,2,10000000,10000000,8372.093023255815,-65134.883720930244,-0.6513488372093025
2019-02-15,2019-02-20 15:05:00,10780.25,11041.15,10718.85,322.2999999999993,14.948632916676296,10828.429443890447,10732.070556109553,10750,PE,2019-02-21,RE-ENTRY,39.45,34.75,2019-02-21 09:45:00,1,0.742,3.958000000000003,10000000,9,8372.093023255815,33136.74418604654,0.3313674418604654,2019,10450,2.25,0.15,8372.093023255815,-2.1,-17581.395348837214,15555.348837209329,0.1555534883720932,NIFTY,2,10000000,10000000,8372.093023255815,15555.348837209327,0.15555348837209326
2019-02-15,2019-02-21 09:55:00,10780.25,11041.15,10718.85,322.2999999999993,14.948632916676296,10828.429443890447,10732.070556109553,10750,PE,2019-02-21,RE-ENTRY,31.1,32.8,2019-02-21 10:05:00,0,0.639,-2.338999999999996,10000000,9,8372.093023255815,-19582.32558139532,-0.1958232558139531,2019,10450,0.15,0.1,8372.093023255815,-0.0499999999999999,-418.6046511627907,-20000.93023255811,-0.2000093023255811,NIFTY,2,10000000,10000000,8372.093023255815,-20000.930232558105,-0.20000930232558103
2019-02-15,2019-02-21 10:35:00,10780.25,11041.15,10718.85,322.2999999999993,14.948632916676296,10828.429443890447,10732.070556109553,10750,PE,2019-02-21,RE-ENTRY,27.2,0.05,2019-02-21 15:25:00,0,0.2725,26.8775,10000000,9,8372.093023255815,225020.9302325581,2.2502093023255814,2019,10450,0.15,0.05,8372.093023255815,-0.0999999999999999,-837.2093023255815,224183.72093023252,2.2418372093023256,NIFTY,2,10000000,10000000,8372.093023255815,224183.72093023258,2.241837209302326
2019-02-22,2019-02-22 09:16:00,10782.7,10808.8,10585.9,222.89999999999964,10.336001187086705,10805.738946646015,10759.661053353984,10750,PE,2019-02-28,STRANGLE,61.5,87.15,2019-02-26 09:55:00,6,1.4865000000000002,-27.136500000000005,10000000,9,8372.093023255815,-227189.30232558143,-2.2718930232558145,2019,10450,9.9,19.4,8372.093023255815,9.499999999999998,79534.88372093023,-147654.41860465123,-1.4765441860465125,NIFTY,2,10000000,10000000,8372.093023255815,-147654.41860465123,-1.4765441860465125
2019-02-22,2019-02-22 09:16:00,10782.7,10808.8,10585.9,222.89999999999964,10.336001187086705,10805.738946646015,10759.661053353984,10800,CE,2019-02-28,STRANGLE,68.2,80.35,2019-02-25 09:15:00,6,1.4855,-13.635499999999992,10000000,10,9259.25925925926,-126254.62962962956,-1.2625462962962954,2019,11100,3.3,3.15,9259.25925925926,-0.1499999999999999,-1388.888888888888,-127643.51851851844,-1.2764351851851845,NIFTY,2,10000000,10000000,9259.25925925926,-127643.51851851844,-1.2764351851851843
2019-02-22,2019-02-25 09:25:00,10782.7,10808.8,10585.9,222.89999999999964,10.336001187086705,10805.738946646015,10759.661053353984,10800,CE,2019-02-28,RE-ENTRY,68.65,67.35,2019-02-25 09:55:00,3,1.36,-0.0599999999999887,10000000,10,9259.25925925926,-555.5555555554512,-0.0055555555555545,2019,11100,2.75,2.25,9259.25925925926,-0.5,-4629.62962962963,-5185.185185185081,-0.0518518518518508,NIFTY,2,10000000,10000000,9259.25925925926,-5185.185185185081,-0.05185185185185081
2019-02-22,2019-02-25 10:05:00,10782.7,10808.8,10585.9,222.89999999999964,10.336001187086705,10805.738946646015,10759.661053353984,10800,CE,2019-02-28,RE-ENTRY,66.05,69.8,2019-02-25 11:05:00,3,1.3585,-5.1085,10000000,10,9259.25925925926,-47300.92592592593,-0.4730092592592592,2019,11100,2.25,2.15,9259.25925925926,-0.1,-925.9259259259268,-48226.851851851854,-0.4822685185185185,NIFTY,2,10000000,10000000,9259.25925925926,-48226.85185185185,-0.4822685185185185
2019-02-22,2019-02-26 09:15:00,10782.7,10808.8,10585.9,222.89999999999964,10.336001187086705,10805.738946646015,10759.661053353984,10800,CE,2019-02-28,RE-ENTRY,66.8,72.2,2019-02-26 11:15:00,2,1.39,-6.790000000000006,10000000,10,9259.25925925926,-62870.37037037043,-0.6287037037037043,2019,11100,1.2,1.35,9259.25925925926,0.1500000000000001,1388.88888888889,-61481.48148148154,-0.6148148148148154,NIFTY,2,10000000,10000000,9259.25925925926,-61481.48148148153,-0.6148148148148153
2019-02-22,2019-02-26 10:15:00,10782.7,10808.8,10585.9,222.89999999999964,10.336001187086705,10805.738946646015,10759.661053353984,10750,PE,2019-02-28,RE-ENTRY,68.75,0.05,2019-02-28 15:25:00,2,0.688,68.012,10000000,9,8372.093023255815,569402.7906976745,5.694027906976745,2019,10450,13.85,0.05,8372.093023255815,-13.8,-115534.88372093024,453867.9069767443,4.538679069767444,NIFTY,2,10000000,10000000,8372.093023255815,453867.90697674424,4.538679069767443
2019-03-01,2019-03-01 09:16:00,10842.65,10939.55,10729.45,210.09999999999852,9.688590888758675,10863.005729457282,10822.294270542718,10850,CE,2019-03-07,STRANGLE,91.6,97.7,2019-03-01 09:15:00,6,1.893,-7.993000000000009,10000000,10,9216.589861751152,-73668.20276497705,-0.7366820276497705,2019,11200,2.0,2.0,9216.589861751152,0.0,0.0,-73668.20276497705,-0.7366820276497705,NIFTY,3,10000000,10000000,9216.589861751152,-73668.20276497705,-0.7366820276497705
2019-03-01,2019-03-01 09:16:00,10842.65,10939.55,10729.45,210.09999999999852,9.688590888758675,10863.005729457282,10822.294270542718,10800,PE,2019-03-07,STRANGLE,63.45,0.05,2019-03-07 15:25:00,6,0.635,62.76500000000001,10000000,9,8333.333333333334,523041.66666666674,5.230416666666668,2019,10500,11.75,0.05,8333.333333333334,-11.7,-97500.0,425541.66666666674,4.255416666666667,NIFTY,3,10000000,10000000,8333.333333333334,425541.6666666668,4.255416666666668
2019-03-01,2019-03-01 09:35:00,10842.65,10939.55,10729.45,210.09999999999852,9.688590888758675,10863.005729457282,10822.294270542718,10850,CE,2019-03-07,RE-ENTRY,87.4,90.15,2019-03-01 14:55:00,6,1.7755,-4.5255,10000000,10,9216.589861751152,-41709.67741935484,-0.4170967741935484,2019,11200,1.9,1.45,9216.589861751152,-0.4499999999999999,-4147.465437788018,-45857.142857142855,-0.4585714285714285,NIFTY,3,10000000,10000000,9216.589861751152,-45857.14285714286,-0.45857142857142863
2019-03-01,2019-03-01 15:05:00,10842.65,10939.55,10729.45,210.09999999999852,9.688590888758675,10863.005729457282,10822.294270542718,10850,CE,2019-03-07,RE-ENTRY,81.75,61.5,2019-03-05 10:15:00,6,1.4325,18.8175,10000000,10,9216.589861751152,173433.17972350228,1.734331797235023,2019,11200,1.4,0.55,9216.589861751152,-0.8499999999999999,-7834.101382488478,165599.0783410138,1.6559907834101382,NIFTY,3,10000000,10000000,9216.589861751152,165599.0783410138,1.6559907834101382
2019-03-08,2019-03-08 09:16:00,11038.85,11088.75,10818.7,270.0499999999993,12.231799508100902,11071.881974571626,11005.818025428374,11050,CE,2019-03-14,STRANGLE,55.1,78.0,2019-03-11 09:15:00,6,1.331,-24.231,10000000,10,9049.773755656108,-219285.06787330317,-2.1928506787330315,2019,11400,1.0,1.25,9049.773755656108,0.25,2262.443438914027,-217022.62443438912,-2.170226244343891,NIFTY,3,10000000,10000000,9049.773755656108,-217022.62443438914,-2.1702262443438913
2019-03-08,2019-03-08 09:16:00,11038.85,11088.75,10818.7,270.0499999999993,12.231799508100902,11071.881974571626,11005.818025428374,11000,PE,2019-03-14,STRANGLE,59.05,0.05,2019-03-14 15:25:00,6,0.591,58.409,10000000,9,8181.818181818182,477891.8181818182,4.778918181818182,2019,10650,5.7,0.05,8181.818181818182,-5.65,-46227.27272727273,431664.5454545455,4.316645454545455,NIFTY,3,10000000,10000000,8181.818181818182,431664.54545454547,4.316645454545455
2019-03-15,2019-03-15 09:16:00,11376.85,11383.4,11009.2,374.1999999999989,16.44567696682293,11438.389723209852,11315.31027679015,11300,PE,2019-03-20,STRANGLE,35.25,0.05,2019-03-20 15:25:00,5,0.353,34.847,10000000,9,7964.601769911505,277542.4778761062,2.775424778761062,2019,10950,4.0,0.05,7964.601769911505,-3.95,-31460.176991150445,246082.30088495577,2.460823008849557,NIFTY,3,10000000,10000000,7964.601769911505,246082.30088495577,2.4608230088495575
2019-03-15,2019-03-15 09:16:00,11376.85,11383.4,11009.2,374.1999999999989,16.44567696682293,11438.389723209852,11315.31027679015,11450,CE,2019-03-20,STRANGLE,40.0,66.7,2019-03-15 12:55:00,5,1.067,-27.767000000000003,10000000,10,8733.624454148472,-242506.55021834065,-2.4250655021834064,2019,11800,1.7,2.25,8733.624454148472,0.55,4803.49344978166,-237703.05676855895,-2.37703056768559,NIFTY,3,10000000,10000000,8733.624454148472,-237703.05676855898,-2.37703056768559
2019-03-15,2019-03-15 13:25:00,11376.85,11383.4,11009.2,374.1999999999989,16.44567696682293,11438.389723209852,11315.31027679015,11450,CE,2019-03-20,RE-ENTRY,63.15,66.0,2019-03-15 13:35:00,5,1.2915,-4.1415000000000015,10000000,10,8733.624454148472,-36170.30567685591,-0.3617030567685591,2019,11800,2.1,2.15,8733.624454148472,0.0499999999999998,436.6812227074221,-35733.62445414849,-0.3573362445414849,NIFTY,3,10000000,10000000,8733.624454148472,-35733.624454148485,-0.3573362445414849
