Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Slippage,Points w cs,Qty,PnL,PnL w cs,ROI%,ROI% w cs,Trade Year,Hedge Strike,Hedge Contract,Hedge Entry Price,Hedge Exit Price,Hedge Points,Hedge PnL,Total PnL,Total ROI%
2023-08-20,65913.77,64735.82,1177.9500000000044,64908.08,40%,65379.26,64436.9,high,64400,2023-09-01,2,SENSEX2390164400PE,PE,2023-08-30 09:16:00,22.1,2023-08-31 15:23:00,27.55,SL Hit,-5.449999999999999,0.49650000000000005,-5.9464999999999995,4192.546583850932,-22849.378881987574,-24930.978260869564,-0.08462732919254658,-0.09233695652173911,2023,63100,SENSEX2390163100PE,0.0,0.0,0.0,0.0,-24930.978260869564,-0.27701086956521737
2023-08-27,65473.27,64726.88,746.3899999999994,65602.4,40%,65900.95599999999,65303.844,high,65300,2023-09-08,2,SENSEX2390865300PE,PE,2023-09-06 15:08:00,28.85,2023-09-08 15:30:00,0.3,Expiry Closing,28.55,0.29150000000000004,28.2585,4134.762633996937,118047.47320061257,116842.18989280246,0.4372128637059724,0.43274885145482395,2023,64000,SENSEX2390864000PE,4.45,0.05,-4.4,-18192.955589586527,98649.23430321593,1.096102603369066
2023-08-27,65473.27,64726.88,746.3899999999994,65602.4,40%,65900.95599999999,65303.844,low,65900,2023-09-08,4,SENSEX2390865900CE,CE,2023-09-04 10:39:00,106.85,2023-09-04 11:53:00,153.05,SL Hit,-46.20000000000002,2.5989999999999998,-48.799000000000014,4097.116843702579,-189286.79817905923,-199935.2048558422,-0.7010622154779971,-0.7405007587253415,2023,67200,SENSEX2390867200CE,0.0,0.0,0.0,0.0,-199935.2048558422,-2.2215022761760244
2023-09-03,66766.92,65285.56,1481.3600000000006,66816.7,40%,67409.24399999999,66224.156,high,66200,2023-09-15,3,SENSEX2391566200PE,PE,2023-09-12 09:15:00,15.25,2023-09-15 15:30:00,0.15,Expiry Closing,15.1,0.154,14.946,4078.549848942598,61586.10271903323,60958.006042296074,0.2280966767371601,0.2257703927492447,2023,64900,SENSEX2391564900PE,15.6,0.1,-15.5,-63217.52265861027,-2259.5166163141985,-0.025105740181268873
2023-09-10,67927.23,66754.36,1172.8699999999953,67685.55,40%,68154.698,67216.402,low,68200,2023-09-22,2,SENSEX2392268200CE,CE,2023-09-20 09:15:00,18.6,2023-09-22 15:30:00,0.05,Expiry Closing,18.55,0.18650000000000003,18.363500000000002,3958.9442815249267,73438.4164222874,72700.073313783,0.27199413489736074,0.26925953079178894,2023,69600,SENSEX2392269600CE,6.1,0.1,-6.0,-23753.66568914956,48946.40762463344,0.5438489736070381
2023-09-24,66406.01,65423.39,982.6199999999953,65813.42,40%,66206.468,65420.372,low,66200,2023-10-06,3,SENSEX23100666200CE,CE,2023-10-03 09:40:00,106.45,2023-10-06 15:30:00,0.1,Expiry Closing,106.35000000000001,1.0655,105.28450000000001,4078.549848942598,433753.77643504535,429408.081570997,1.6064954682779458,1.5904003021148037,2023,67500,SENSEX23100667500CE,10.5,0.05,-10.45,-42620.84592145015,386787.23564954684,4.297635951661632
2023-10-01,66095.81,64878.77,1217.0400000000009,65560.07,40%,66046.88600000001,65073.25400000001,high,65100,2023-10-13,3,SENSEX23101365100PE,PE,2023-10-10 12:38:00,64.45,2023-10-13 15:30:00,0.05,Expiry Closing,64.4,0.645,63.755,4147.465437788019,267096.7741935484,264421.65898617514,0.989247311827957,0.9793394777265746,2023,63800,SENSEX23101363800PE,10.1,0.05,-10.049999999999999,-41682.02764976958,222739.63133640555,2.474884792626728
2023-10-08,66592.16,65434.61,1157.550000000003,66238.15,40%,66701.17,65775.12999999999,low,66700,2023-10-20,1,SENSEX23102066700CE,CE,2023-10-19 09:15:00,8.0,2023-10-20 15:30:00,0.05,Expiry Closing,7.95,0.0805,7.8695,4047.976011994003,32181.409295352325,31855.547226386807,0.11919040479760121,0.11798350824587707,2023,68000,SENSEX23102068000CE,1.65,0.05,-1.5999999999999999,-6476.761619190404,25378.7856071964,0.2819865067466267
2023-10-15,66559.82,65308.61,1251.2100000000064,65419.02,40%,65919.504,64918.53599999999,low,65900,2023-10-27,4,SENSEX23OCT65900CE,CE,2023-10-23 14:51:00,50.3,2023-10-27 15:30:00,0.05,Expiry Closing,50.25,0.5035,49.7465,4097.116843702579,205880.1213960546,203817.22306525035,0.7625189681335356,0.7548786039453718,2023,67200,SENSEX23OCT67200CE,0.0,0.0,0.0,0.0,203817.22306525035,2.2646358118361154
2023-11-05,65124.0,64580.95,543.0500000000029,65353.58,40%,65570.8,65136.36,high,65100,2023-11-17,2,SENSEX23111765100PE,PE,2023-11-15 09:15:00,193.95,2023-11-17 15:30:00,0.05,Expiry Closing,193.89999999999998,1.94,191.95999999999998,4147.465437788019,804193.5483870967,796147.465437788,2.9784946236559136,2.9486943164362516,2023,63800,SENSEX23111763800PE,2.65,0.05,-2.6,-10783.41013824885,785364.0552995392,8.726267281105992
2023-11-05,65124.0,64580.95,543.0500000000029,65353.58,40%,65570.8,65136.36,low,65600,2023-11-17,4,SENSEX23111765600CE,CE,2023-11-13 09:15:00,134.65,2023-11-15 09:15:00,152.15,SL Hit,-17.5,2.8680000000000003,-20.368000000000002,4115.8536585365855,-72027.43902439025,-83831.70731707319,-0.26676829268292684,-0.3104878048780488,2023,66900,SENSEX23111766900CE,3.1,3.25,0.1499999999999999,617.3780487804875,-83214.3292682927,-0.9246036585365855
2023-11-19,66235.24,65547.8,687.4400000000023,66063.72,40%,66338.696,65788.744,high,65800,2023-12-01,2,SENSEX23120165800PE,PE,2023-11-29 09:15:00,27.55,2023-12-01 15:30:00,0.05,Expiry Closing,27.5,0.276,27.224,4103.343465045593,112841.9452887538,111709.42249240122,0.4179331306990881,0.4137386018237082,2023,64500,SENSEX23120164500PE,4.25,0.05,-4.2,-17234.04255319149,94475.37993920973,1.049726443768997
2023-11-26,67564.33,65906.65,1657.6800000000076,68435.34,40%,69098.412,67772.268,high,67800,2023-12-08,3,SENSEX23120867800PE,PE,2023-12-05 09:15:00,62.7,2023-12-08 15:30:00,0.1,Expiry Closing,62.6,0.628,61.972,3982.3008849557527,249292.03539823013,246791.15044247793,0.9233038348082597,0.9140412979351034,2023,66400,SENSEX23120866400PE,14.0,0.05,-13.95,-55553.097345132745,191238.05309734517,2.1248672566371685
2023-12-03,69893.8,68274.47,1619.3300000000017,69925.63,40%,70573.36200000001,69277.898,high,69300,2023-12-15,1,SENSEX23121569300PE,PE,2023-12-14 13:21:00,5.35,2023-12-15 15:30:00,0.1,Expiry Closing,5.25,0.05449999999999999,5.1955,3896.1038961038967,20454.545454545456,20242.207792207795,0.07575757575757576,0.07497113997113998,2023,67900,SENSEX23121567900PE,2.2,0.1,-2.1,-8181.818181818183,12060.389610389611,0.13400432900432901
2023-12-03,69893.8,68274.47,1619.3300000000017,69925.63,40%,70573.36200000001,69277.898,low,70600,2023-12-15,2,SENSEX23121570600CE,CE,2023-12-13 10:02:00,20.25,2023-12-14 09:15:00,60.0,SL Hit,-39.75,0.8025,-40.5525,3824.3626062322946,-152018.4135977337,-155087.46458923514,-0.5630311614730877,-0.5743980169971671,2023,72000,SENSEX23121572000CE,5.8,2.5,-3.3,-12620.396600566572,-167707.8611898017,-1.8634206798866857
2023-12-10,71605.76,69100.56,2505.199999999997,71437.35,40%,72439.43000000001,70435.27,low,72400,2023-12-22,2,SENSEX23122272400CE,CE,2023-12-20 15:22:00,16.65,2023-12-22 15:30:00,0.1,Expiry Closing,16.549999999999997,0.1675,16.382499999999997,3729.281767955801,61719.6132596685,61094.958563535896,0.22859116022099446,0.22627762430939224,2023,73800,SENSEX23122273800CE,6.25,0.1,-6.15,-22935.08287292818,38159.87569060772,0.4239986187845302
2023-12-17,71913.07,69920.39,1992.6800000000076,71097.78,40%,71894.852,70300.708,high,70300,2023-12-29,2,SENSEX23DEC70300PE,PE,2023-12-27 15:01:00,28.5,2023-12-29 15:30:00,0.05,Expiry Closing,28.45,0.28550000000000003,28.1645,3840.682788051209,109267.4253200569,108170.91038406828,0.4046941678520626,0.4006330014224751,2023,68900,SENSEX23DEC68900PE,10.6,0.25,-10.35,-39751.06685633001,68419.84352773827,0.7602204836415363
2023-12-24,72484.34,71012.08,1472.2599999999948,72218.39,40%,72807.294,71629.486,low,72800,2024-01-05,3,SENSEX2410572800CE,CE,2024-01-02 10:40:00,105.9,2024-01-05 15:30:00,0.05,Expiry Closing,105.85000000000001,1.0595,104.79050000000001,3708.791208791209,392575.54945054953,388646.0851648352,1.4539835164835164,1.4394299450549453,2024,74300,SENSEX2410574300CE,17.7,0.05,-17.65,-65460.16483516483,323185.92032967036,3.5909546703296704
2023-12-31,72561.91,71303.97,1257.9400000000023,72113.25,40%,72616.426,71610.074,high,71600,2024-01-12,0,SENSEX2411271600PE,PE,2024-01-12 13:45:00,6.45,2024-01-12 15:30:00,0.15,Expiry Closing,6.3,0.066,6.234,3770.9497206703913,23756.983240223464,23508.10055865922,0.08798882681564245,0.08706703910614526,2024,70200,SENSEX2411270200PE,3.7,0.05,-3.6500000000000004,-13763.96648044693,9744.134078212288,0.10826815642458099
2023-12-31,72561.91,71303.97,1257.9400000000023,72113.25,40%,72616.426,71610.074,low,72600,2024-01-12,4,SENSEX2411272600CE,CE,2024-01-08 11:53:00,95.05,2024-01-12 13:33:00,43.0,SL Hit,52.05,1.3805,50.6695,3719.00826446281,193574.38016528924,188440.28925619836,0.7169421487603306,0.697926997245179,2024,74100,SENSEX2411274100CE,15.35,2.1,-13.25,-49276.85950413223,139163.42975206612,1.5462603305785123
2024-01-07,72720.96,71110.98,1609.9800000000105,73049.87,40%,73693.862,72405.878,low,73700,2024-01-19,2,SENSEX2411973700CE,CE,2024-01-17 09:15:00,20.1,2024-01-19 15:30:00,0.05,Expiry Closing,20.05,0.2015,19.8485,3663.5006784260513,73453.18860244233,72714.99321573948,0.27204884667571233,0.26931478968792405,2024,75200,SENSEX2411975200CE,8.35,0.05,-8.299999999999999,-30407.055630936222,42307.93758480326,0.4700881953867028
2024-01-14,73427.59,70665.5,2762.0899999999965,71868.2,40%,72973.036,70763.364,low,73000,2024-01-26,3,SENSEX24JAN73000CE,CE,2024-01-23 12:59:00,,2024-01-26 15:30:00,,Expiry Closing,,,,3698.6301369863013,,,,,2024,74500,SENSEX24JAN74500CE,0.0,0.0,0.0,0.0,,
2024-01-21,72039.2,70104.26,1934.9400000000023,70968.1,40%,71742.076,70194.12400000001,high,70200,2024-02-02,4,SENSEX2420270200PE,PE,2024-01-29 12:39:00,217.2,2024-02-02 15:30:00,0.15,Expiry Closing,217.04999999999998,2.1735,214.8765,3846.1538461538457,834807.6923076921,826448.0769230768,3.091880341880342,3.0609188034188035,2024,68800,SENSEX2420268800PE,78.1,0.05,-78.05,-300192.30769230763,526255.7692307691,5.847286324786324
2024-01-28,73089.4,70846.04,2243.3600000000006,72270.12,40%,73167.46399999999,71372.776,low,73200,2024-02-09,1,SENSEX2420973200CE,CE,2024-02-08 14:31:00,7.75,2024-02-09 15:30:00,0.1,Expiry Closing,7.65,0.0785,7.5715,3688.524590163934,28217.213114754097,27927.66393442623,0.10450819672131147,0.10343579234972677,2024,74700,SENSEX2420974700CE,2.05,0.05,-1.9999999999999998,-7377.049180327867,20550.614754098362,0.22834016393442624
2024-02-04,72559.21,71200.31,1358.9000000000087,71722.31,40%,72265.87,71178.75,high,71200,2024-02-16,0,SENSEX2421671200PE,PE,2024-02-16 09:15:00,21.0,2024-02-16 15:30:00,0.05,Expiry Closing,20.95,0.21050000000000002,20.7395,3792.134831460674,79445.22471910111,78646.98033707864,0.29424157303370785,0.29128511235955057,2024,69800,SENSEX2421669800PE,1.15,0.05,-1.0999999999999999,-4171.348314606741,74475.6320224719,0.8275070224719099
2024-02-04,72559.21,71200.31,1358.9000000000087,71722.31,40%,72265.87,71178.75,low,72300,2024-02-16,4,SENSEX2421672300CE,CE,2024-02-12 10:27:00,206.8,2024-02-16 15:30:00,115.7,Expiry Closing,91.10000000000001,3.225,87.87500000000001,3734.4398340248963,340207.4688796681,328163.9004149378,1.260027662517289,1.2154218533886587,2024,73700,SENSEX2421673700CE,31.75,0.05,-31.7,-118381.74273858921,209782.1576763486,2.33091286307054
2024-02-11,72545.33,70809.84,1735.4900000000052,72627.6,40%,73321.796,71933.40400000001,high,71900,2024-02-23,0,SENSEX24FEB71900PE,PE,2024-02-23 09:15:00,7.8,2024-02-23 15:30:00,0.1,Expiry Closing,7.7,0.079,7.621,3755.2155771905423,28915.159944367177,28618.497913769123,0.1070931849791377,0.10599443671766343,2024,70500,SENSEX24FEB70500PE,0.75,0.05,-0.7,-2628.6509040333794,25989.847009735742,0.28877607788595266
2024-02-18,73413.93,72081.36,1332.5699999999924,73044.81,40%,73577.83799999999,72511.782,high,72500,2024-03-01,0,SENSEX2430172500PE,PE,2024-03-01 12:28:00,9.45,2024-03-01 15:30:00,0.15,Expiry Closing,9.299999999999999,0.096,9.203999999999999,3724.137931034483,34634.48275862069,34276.96551724138,0.12827586206896552,0.12695172413793102,2024,71000,SENSEX2430171000PE,1.7,0.05,-1.65,-6144.827586206896,28132.137931034482,0.31257931034482755
2024-02-18,73413.93,72081.36,1332.5699999999924,73044.81,40%,73577.83799999999,72511.782,low,73600,2024-03-01,2,SENSEX2430173600CE,CE,2024-02-28 11:46:00,113.75,2024-03-01 11:37:00,210.0,SL Hit,-96.25,3.2375000000000003,-99.4875,3668.478260869565,-353091.0326086956,-364967.73097826086,-1.3077445652173914,-1.3517323369565217,2024,75100,SENSEX2430175100CE,9.7,0.8,-8.899999999999999,-32649.456521739125,-397617.1875,-4.41796875
2024-03-03,74245.17,73321.48,923.6900000000023,74175.93,40%,74545.40599999999,73806.454,low,74500,2024-03-15,4,SENSEX2431574500CE,CE,2024-03-11 10:50:00,246.35,2024-03-15 15:30:00,0.1,Expiry Closing,246.25,2.4645,243.7855,3624.161073825503,892449.6644295302,883517.9194630872,3.3053691275167782,3.2722885906040267,2024,76000,SENSEX2431576000CE,23.45,0.05,-23.4,-84805.36912751677,798712.5503355705,8.87458389261745
2024-03-10,74187.35,72484.82,1702.5299999999988,72587.3,40%,73268.312,71906.288,low,73300,2024-03-22,2,SENSEX2432273300CE,CE,2024-03-20 10:11:00,51.35,2024-03-22 15:30:00,0.15,Expiry Closing,51.2,0.515,50.685,3683.492496589359,188594.81582537518,186697.81718963166,0.69849931787176,0.6914733969986359,2024,74800,SENSEX2432274800CE,8.55,0.05,-8.5,-31309.68622100955,155388.1309686221,1.7265347885402456
2024-03-17,73115.62,71674.42,1441.199999999997,72396.97,40%,72973.45,71820.49,high,71800,2024-03-29,2,SENSEX24MAR71800PE,PE,2024-03-27 10:05:00,,2024-03-29 15:30:00,,Expiry Closing,,,,3760.4456824512536,,,,,2024,70400,SENSEX24MAR70400PE,0.0,0.0,0.0,0.0,,
2024-03-31,74501.73,73485.12,1016.6100000000006,74555.44,40%,74962.084,74148.796,high,74100,2024-04-12,3,SENSEX2441274100PE,PE,2024-04-09 09:15:00,146.05,2024-04-12 15:30:00,0.2,Expiry Closing,145.85000000000002,1.4625000000000001,144.38750000000002,3643.7246963562757,531437.2469635629,526108.2995951418,1.9682860998650475,1.9485492577597847,2024,72600,SENSEX2441272600PE,26.05,0.05,-26.0,-94736.84210526317,431371.45748987864,4.793016194331985
2024-04-07,75124.28,74189.31,934.9700000000012,73315.16,40%,73689.148,72941.172,high,72900,2024-04-19,4,SENSEX2441972900PE,PE,2024-04-15 09:15:00,173.7,2024-04-15 09:16:00,291.7,SL Hit,-118.0,4.654,-122.654,3703.7037037037035,-437037.037037037,-454274.07407407404,-1.6186556927297668,-1.6824965706447188,2024,71400,SENSEX2441971400PE,0.0,0.0,0.0,0.0,-454274.07407407404,-5.047489711934156
2024-04-07,75124.28,74189.31,934.9700000000012,73315.16,40%,73689.148,72941.172,low,73700,2024-04-19,3,SENSEX2441973700CE,CE,2024-04-16 09:15:00,123.7,2024-04-19 15:30:00,0.1,Expiry Closing,123.60000000000001,1.238,122.36200000000001,3663.5006784260513,452808.68385345995,448273.2700135685,1.6770691994572593,1.660271370420624,2024,75200,SENSEX2441975200CE,15.05,0.05,-15.0,-54952.51017639077,393320.75983717776,4.370230664857531
2024-04-14,73905.8,71816.46,2089.3399999999965,73666.51,40%,74502.246,72830.77399999999,high,72800,2024-04-26,1,SENSEX24APR72800PE,PE,2024-04-25 14:34:00,14.9,2024-04-26 15:30:00,0.05,Expiry Closing,14.85,0.14950000000000002,14.7005,3708.791208791209,55075.54945054946,54521.08516483517,0.20398351648351648,0.20192994505494508,2024,71300,SENSEX24APR71300PE,2.4,0.05,-2.35,-8715.659340659342,45805.42582417582,0.5089491758241758
2024-04-21,74571.25,73227.32,1343.929999999993,73982.75,40%,74520.322,73445.178,high,73400,2024-05-03,4,SENSEX2450373400PE,PE,2024-04-29 13:26:00,117.8,2024-05-03 15:30:00,0.1,Expiry Closing,117.7,1.179,116.521,3678.474114441417,432956.4032697548,428619.48228882835,1.6035422343324253,1.5874795640326975,2024,71900,SENSEX2450371900PE,6.2,0.05,-6.15,-22622.615803814715,405996.8664850136,4.511076294277929
2024-04-28,75111.39,73467.73,1643.6600000000035,74196.68,40%,74854.144,73539.21599999999,low,74900,2024-05-10,3,SENSEX2451074900CE,CE,2024-05-07 10:34:00,78.2,2024-05-10 15:30:00,0.05,Expiry Closing,78.15,0.7825,77.3675,3604.806408544726,281715.6208277703,278894.8598130841,1.0433911882510014,1.0329439252336448,2024,76400,SENSEX2451076400CE,12.2,0.05,-12.149999999999999,-43798.39786381841,235096.4619492657,2.612182910547397
2024-05-05,74359.69,72334.18,2025.5100000000093,72476.65,40%,73286.85399999999,71666.446,high,71700,2024-05-17,2,SENSEX2451771700PE,PE,2024-05-15 09:45:00,37.3,2024-05-17 15:30:00,0.05,Expiry Closing,37.25,0.37349999999999994,36.8765,3765.6903765690377,140271.96652719667,138865.4811715481,0.5195258019525802,0.5143165969316598,2024,70300,SENSEX2451770300PE,8.0,0.05,-7.95,-29937.23849372385,108928.24267782425,1.2103138075313806
2024-05-12,74162.76,71866.01,2296.75,73842.96,40%,74761.66,72924.26000000001,high,72900,2024-05-24,0,SENSEX2452472900PE,PE,2024-05-24 09:15:00,1.85,2024-05-24 15:30:00,0.05,Expiry Closing,1.8,0.019000000000000003,1.7810000000000001,3703.7037037037035,6666.666666666666,6596.2962962962965,0.024691358024691357,0.02443072702331962,2024,71400,SENSEX2452471400PE,0.95,0.05,-0.8999999999999999,-3333.3333333333326,3262.962962962964,0.03625514403292182
2024-05-19,75636.5,73762.37,1874.1300000000047,75655.46,40%,76405.11200000001,74905.808,low,76400,2024-05-31,2,SENSEX24MAY76400CE,CE,2024-05-29 09:15:00,82.3,2024-05-31 15:30:00,0.05,Expiry Closing,82.25,0.8235,81.4265,3534.0314136125653,290674.0837696335,287763.8089005236,1.0765706806282722,1.065791884816754,2024,77900,SENSEX24MAY77900CE,15.0,0.05,-14.95,-52833.76963350785,234930.03926701573,2.610333769633508
2024-05-26,76009.68,73668.73,2340.949999999997,76583.29,40%,77519.67,75646.90999999999,low,77500,2024-06-07,3,SENSEX2460777500CE,CE,2024-06-04 09:15:00,247.6,2024-06-07 11:35:00,5.7,SL Hit,241.9,2.533,239.36700000000002,3483.8709677419356,842748.3870967743,833923.741935484,3.121290322580645,3.088606451612904,2024,79000,SENSEX2460779000CE,183.15,0.3,-182.85,-637025.8064516129,196897.93548387114,2.1877548387096795
2024-06-09,77145.46,76296.44,849.0200000000041,77235.31,40%,77574.918,76895.70199999999,high,76900,2024-06-21,2,SENSEX2462176900PE,PE,2024-06-19 09:15:00,180.85,2024-06-21 15:30:00,0.1,Expiry Closing,180.75,1.8094999999999999,178.9405,3511.053315994798,634622.8868660597,628269.6358907671,2.3504551365409623,2.326924577373212,2024,75400,SENSEX2462175400PE,12.9,0.05,-12.85,-45117.03511053316,583152.600780234,6.479473342002599
2024-06-09,77145.46,76296.44,849.0200000000041,77235.31,40%,77574.918,76895.70199999999,low,77600,2024-06-21,0,SENSEX2462177600CE,CE,2024-06-21 14:25:00,17.8,2024-06-21 14:46:00,7.0,SL Hit,10.8,0.24800000000000003,10.552000000000001,3479.381443298969,37577.31958762887,36714.43298969072,0.13917525773195877,0.13597938144329896,2024,79200,SENSEX2462179200CE,0.6,0.5,-0.09999999999999998,-347.93814432989683,36366.49484536082,0.4040721649484536
