Unnamed: 0,Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Slippage,Points w cs,Qty,PnL,PnL w cs,ROI%,ROI% w cs,Trade Year,Hedge Strike,Hedge Contract,Hedge Entry Price,Hedge Exit Price,Hedge Points,Hedge PnL,Total PnL,Total ROI%,Index,Trade Month,Portfolio,Allocaion,ROI% PF
343,2023-07-21,19887.4,19603.55,283.8500000000022,19659.75,40%,19773.29,19546.21,high,19550,2023-08-03,2,NIFTY2380319550PE,PE,2023-08-01 09:15:00,13.45,2023-08-02 10:18:00,31.75,SL Hit,-18.3,0.452,-18.752,1534.5268542199487,-28081.841432225065,-28775.44757033248,-0.9360613810741688,-0.9591815856777496,2023,19150,NIFTY2380319150PE,2.85,1.15,-1.7000000000000002,-2608.695652173913,-31384.143222506395,-3.1384143222506395,NIFTY,8,2000000,1000000,-1.5692071611253198
344,2023-07-21,19887.4,19603.55,283.8500000000022,19659.75,40%,19773.29,19546.21,low,19750,2023-08-03,1,NIFTY2380319750CE,CE,2023-08-02 11:03:00,11.4,2023-08-03 15:30:00,0.1,Expiry Closing,11.3,0.115,11.185,1518.987341772152,17164.55696202532,16989.87341772152,0.5721518987341774,0.5663291139240507,2023,20150,NIFTY2380320150CE,2.6,0.05,-2.5500000000000003,-3873.417721518988,13116.45569620253,1.3116455696202531,NIFTY,8,2000000,1000000,0.6558227848101266
345,2023-08-04,19645.5,19436.45,209.04999999999927,19554.25,40%,19637.87,19470.63,low,19650,2023-08-17,6,NIFTY2381719650CE,CE,2023-08-11 09:40:00,33.3,2023-08-17 15:30:00,0.05,Expiry Closing,33.25,0.3334999999999999,32.9165,1526.7175572519084,50763.35877862595,50254.19847328244,1.692111959287532,1.6751399491094148,2023,20050,NIFTY2381720050CE,2.8,0.05,-2.75,-4198.473282442748,46055.725190839694,4.605572519083969,NIFTY,8,2000000,1000000,2.3027862595419846
346,2023-08-11,19555.15,19258.2,296.9500000000007,19301.75,40%,19420.53,19182.97,high,19200,2023-08-24,3,NIFTY2382419200PE,PE,2023-08-21 15:00:00,16.05,2023-08-24 15:30:00,0.1,Expiry Closing,15.95,0.1615,15.7885,1562.5,24921.875,24669.53125,0.8307291666666667,0.8223177083333334,2023,18800,NIFTY2382418800PE,2.3,0.05,-2.25,-3515.625,21153.90625,2.115390625,NIFTY,8,2000000,1000000,1.0576953125
347,2023-08-18,19584.45,19253.6,330.8500000000022,19297.4,40%,19429.74,19165.06,high,19150,2023-08-31,1,NIFTY23AUG19150PE,PE,2023-08-30 09:15:00,3.0,2023-08-31 15:04:00,0.15,SL Hit,2.85,0.0315,2.8185,1566.579634464752,4464.751958224543,4415.404699738904,0.1488250652741514,0.1471801566579634,2023,18750,NIFTY23AUG18750PE,1.4,0.2,-1.2,-1879.8955613577025,2535.509138381202,0.2535509138381202,NIFTY,8,2000000,1000000,0.1267754569190601
0,2023-08-20,65913.77,64735.82,1177.9500000000044,64908.08,40%,65379.26,64436.9,high,64400,2023-09-01,2,SENSEX2390164400PE,PE,2023-08-30 09:16:00,22.1,2023-08-31 15:23:00,27.55,SL Hit,-5.449999999999999,0.4965,-5.9465,465.8385093167702,-2538.8198757763976,-2770.108695652174,-0.0846273291925465,-0.0923369565217391,2023,63100,SENSEX2390163100PE,0.0,0.0,0.0,0.0,-2770.108695652174,-0.2770108695652174,SENSEX,8,2000000,1000000,-0.1385054347826087
348,2023-08-25,19452.8,19224.6,228.20000000000076,19258.15,40%,19349.43,19166.870000000003,high,19150,2023-09-07,6,NIFTY2390719150PE,PE,2023-09-01 11:07:00,28.05,2023-09-07 15:30:00,0.05,Expiry Closing,28.0,0.281,27.719,1566.579634464752,43864.22976501306,43424.02088772846,1.462140992167102,1.4474673629242822,2023,18750,NIFTY2390718750PE,4.4,0.05,-4.3500000000000005,-6814.621409921672,36609.39947780679,3.6609399477806783,NIFTY,9,2000000,1000000,1.8304699738903398
2,2023-08-27,65473.27,64726.88,746.3899999999994,65602.4,40%,65900.95599999999,65303.844,low,65900,2023-09-08,4,SENSEX2390865900CE,CE,2023-09-04 10:39:00,106.85,2023-09-04 11:53:00,153.05,SL Hit,-46.20000000000002,2.599,-48.799000000000014,455.2352048558422,-21031.86646433992,-22215.02276176025,-0.7010622154779972,-0.7405007587253416,2023,67200,SENSEX2390867200CE,0.0,0.0,0.0,0.0,-22215.02276176025,-2.221502276176025,SENSEX,9,2000000,1000000,-1.1107511380880126
1,2023-08-27,65473.27,64726.88,746.3899999999994,65602.4,40%,65900.95599999999,65303.844,high,65300,2023-09-08,2,SENSEX2390865300PE,PE,2023-09-06 15:08:00,28.85,2023-09-08 15:30:00,0.3,Expiry Closing,28.55,0.2915,28.2585,459.41807044410416,13116.385911179172,12982.465543644716,0.4372128637059724,0.4327488514548239,2023,64000,SENSEX2390864000PE,4.45,0.05,-4.4,-2021.4395099540584,10961.02603369066,1.096102603369066,SENSEX,9,2000000,1000000,0.548051301684533
349,2023-09-01,19737.0,19258.15,478.84999999999854,19774.8,40%,19966.34,19583.26,high,19600,2023-09-14,3,NIFTY2391419600PE,PE,2023-09-11 14:31:00,8.3,2023-09-14 15:30:00,0.05,Expiry Closing,8.25,0.0835,8.1665,1530.6122448979593,12627.551020408164,12499.744897959185,0.4209183673469388,0.4166581632653061,2023,19200,NIFTY2391419200PE,3.65,0.05,-3.6,-5510.2040816326535,6989.540816326529,0.6989540816326529,NIFTY,9,2000000,1000000,0.34947704081632647
3,2023-09-03,66766.92,65285.56,1481.3600000000006,66816.7,40%,67409.24399999999,66224.156,high,66200,2023-09-15,3,SENSEX2391566200PE,PE,2023-09-12 09:15:00,15.25,2023-09-15 15:30:00,0.15,Expiry Closing,15.1,0.154,14.946,453.1722054380665,6842.900302114804,6773.111782477342,0.2280966767371601,0.2257703927492447,2023,64900,SENSEX2391564900PE,15.6,0.1,-15.5,-7024.169184290031,-251.05740181268905,-0.0251057401812689,SENSEX,9,2000000,1000000,-0.012552870090634454
350,2023-09-08,20167.65,19728.7,438.9500000000007,20156.45,40%,20332.03,19980.87,low,20350,2023-09-21,1,NIFTY2392120350CE,CE,2023-09-20 09:15:00,3.7,2023-09-21 15:30:00,0.05,Expiry Closing,3.65,0.0375,3.6125,1474.2014742014742,5380.835380835381,5325.552825552826,0.1793611793611793,0.1775184275184275,2023,20750,NIFTY2392120750CE,1.75,0.05,-1.7,-2506.142506142506,2819.41031941032,0.281941031941032,NIFTY,9,2000000,1000000,0.140970515970516
4,2023-09-10,67927.23,66754.36,1172.8699999999951,67685.55,40%,68154.698,67216.402,low,68200,2023-09-22,2,SENSEX2392268200CE,CE,2023-09-20 09:15:00,18.6,2023-09-22 15:30:00,0.05,Expiry Closing,18.55,0.1865,18.3635,439.88269794721407,8159.824046920821,8077.785923753667,0.2719941348973607,0.2692595307917889,2023,69600,SENSEX2392269600CE,6.1,0.1,-6.0,-2639.296187683284,5438.489736070383,0.5438489736070382,SENSEX,9,2000000,1000000,0.2719244868035191
