week_start,entry_time,current week open,previous week high,previous week low,previous week range,multiplier%,high level,low level,strike,type,expiry,tag,entry price,exit price,exit_time,dte,slippage,final points,portfolio,index leverage,qty,PnL,ROI%,Trade Year
2025-05-02,2025-05-02 09:16:00,24311.9,24457.65,23847.85,609.8000000000029,12.541183535634874,24388.376137200303,24235.4238627997,24400,CE,2025-05-08,STRANGLE,238.25,208.8,2025-05-02 09:15:00,6,4.4705,24.979499999999987,10000000,10,4098.360655737705,102374.99999999996,1.0237499999999997,2025
2025-05-02,2025-05-02 09:16:00,24311.9,24457.65,23847.85,609.8000000000029,12.541183535634874,24388.376137200303,24235.4238627997,24250,PE,2025-05-08,STRANGLE,134.7,1.0,2025-05-08 15:15:00,6,1.357,132.343,10000000,9,3711.340206185567,491169.8969072164,4.911698969072164,2025
2025-05-02,2025-05-02 11:15:00,24311.9,24457.65,23847.85,609.8000000000029,12.541183535634874,24388.376137200303,24235.4238627997,24400,CE,2025-05-08,RE-ENTRY,184.3,189.25,2025-05-02 13:25:00,6,3.7355,-8.685499999999989,10000000,10,4098.360655737705,-35596.31147540979,-0.3559631147540979,2025
2025-05-02,2025-05-02 14:05:00,24311.9,24457.65,23847.85,609.8000000000029,12.541183535634874,24388.376137200303,24235.4238627997,24400,CE,2025-05-08,RE-ENTRY,159.05,155.25,2025-05-05 09:15:00,6,3.1430000000000002,0.6570000000000111,10000000,10,4098.360655737705,2692.622950819718,0.026926229508197178,2025
2025-05-02,2025-05-06 10:15:00,24311.9,24457.65,23847.85,609.8000000000029,12.541183535634874,24388.376137200303,24235.4238627997,24400,CE,2025-05-08,RE-ENTRY,63.05,72.3,2025-05-06 10:35:00,2,1.3535,-10.6035,10000000,10,4098.360655737705,-43456.96721311476,-0.4345696721311476,2025
2025-05-02,2025-05-06 10:45:00,24311.9,24457.65,23847.85,609.8000000000029,12.541183535634874,24388.376137200303,24235.4238627997,24400,CE,2025-05-08,RE-ENTRY,69.55,70.35,2025-05-06 10:55:00,2,1.3989999999999998,-2.198999999999997,10000000,10,4098.360655737705,-9012.295081967202,-0.09012295081967203,2025
2025-05-09,2025-05-09 09:16:00,23935.75,24589.15,24150.2,438.9500000000007,9.169338750613637,23975.998812445818,23895.501187554182,24000,CE,2025-05-15,STRANGLE,346.95,323.8,2025-05-09 09:15:00,6,6.7075000000000005,16.442499999999978,10000000,10,4166.666666666667,68510.41666666658,0.6851041666666658,2025
2025-05-09,2025-05-09 09:16:00,23935.75,24589.15,24150.2,438.9500000000007,9.169338750613637,23975.998812445818,23895.501187554182,23900,PE,2025-05-15,STRANGLE,221.0,0.05,2025-05-15 15:25:00,6,2.2105,218.7395,10000000,9,3765.6903765690377,823705.2301255229,8.237052301255229,2025
2025-05-16,2025-05-16 09:16:00,25064.65,25116.25,23935.75,1180.5,23.54910202217067,25342.647149371725,24786.652850628278,25350,CE,2025-05-22,STRANGLE,73.95,0.05,2025-05-22 15:25:00,6,0.74,73.16000000000001,10000000,10,3944.7731755424065,288599.6055226825,2.885996055226825,2025
2025-05-16,2025-05-16 09:16:00,25064.65,25116.25,23935.75,1180.5,23.54910202217067,25342.647149371725,24786.652850628278,24800,PE,2025-05-22,STRANGLE,112.45,123.2,2025-05-20 13:15:00,6,2.3565,-13.1065,10000000,9,3629.032258064516,-47563.91129032258,-0.4756391129032258,2025
2025-05-16,2025-05-21 09:35:00,25064.65,25116.25,23935.75,1180.5,23.54910202217067,25342.647149371725,24786.652850628278,24800,PE,2025-05-22,RE-ENTRY,120.5,113.1,2025-05-21 11:55:00,1,2.336,5.064000000000005,10000000,9,3629.032258064516,18377.41935483873,0.1837741935483873,2025
2025-05-16,2025-05-21 12:55:00,25064.65,25116.25,23935.75,1180.5,23.54910202217067,25342.647149371725,24786.652850628278,24800,PE,2025-05-22,RE-ENTRY,127.2,138.6,2025-05-21 13:35:00,1,2.6580000000000004,-14.057999999999993,10000000,9,3629.032258064516,-51016.93548387094,-0.5101693548387094,2025
2025-05-16,2025-05-21 14:05:00,25064.65,25116.25,23935.75,1180.5,23.54910202217067,25342.647149371725,24786.652850628278,24800,PE,2025-05-22,RE-ENTRY,122.6,129.7,2025-05-21 14:35:00,1,2.5229999999999997,-9.622999999999994,10000000,9,3629.032258064516,-34922.17741935482,-0.34922177419354816,2025
2025-05-16,2025-05-21 14:45:00,25064.65,25116.25,23935.75,1180.5,23.54910202217067,25342.647149371725,24786.652850628278,24800,PE,2025-05-22,RE-ENTRY,113.05,268.15,2025-05-22 09:15:00,1,3.812,-158.91199999999998,10000000,9,3629.032258064516,-576696.7741935482,-5.766967741935483,2025
2025-05-23,2025-05-23 09:16:00,24639.5,25070.0,24462.4,607.5999999999985,12.32979565332086,24714.415838389577,24564.584161610423,24700,CE,2025-05-29,STRANGLE,177.7,215.0,2025-05-23 09:15:00,6,3.927,-41.22700000000001,10000000,10,4048.582995951417,-166910.9311740891,-1.669109311740891,2025
2025-05-23,2025-05-23 09:16:00,24639.5,25070.0,24462.4,607.5999999999985,12.32979565332086,24714.415838389577,24564.584161610423,24550,PE,2025-05-29,STRANGLE,143.6,0.05,2025-05-29 15:25:00,6,1.4365,142.1135,10000000,9,3665.987780040733,520986.35437881865,5.209863543788186,2025
2025-05-23,2025-05-29 12:35:00,24639.5,25070.0,24462.4,607.5999999999985,12.32979565332086,24714.415838389577,24564.584161610423,24700,CE,2025-05-29,RE-ENTRY,31.25,37.95,2025-05-29 12:45:00,0,0.6920000000000001,-7.392000000000003,10000000,10,4048.582995951417,-29927.125506072887,-0.2992712550607289,2025
