week_start,entry_time,current week open,previous week high,previous week low,previous week range,multiplier%,high level,low level,strike,type,expiry,tag,entry price,exit price,exit_time,dte,slippage,final points,portfolio,index leverage,qty,PnL,ROI%,Trade Year,Hedge Strike,Hedge Entry Price,Hedge Exit Price,Qty,Hedge Points,Hedge PnL,Total PnL,Total ROI%
2019-01-25,2019-01-25 09:16:00,10859.75,10987.2,10798.9,188.3000000000011,8.669628674693298,10876.074910794448,10843.425089205552,10900,CE,2019-01-31,STRANGLE,93.9,100.5,2019-01-25 09:15:00,6,1.9440000000000002,-8.543999999999995,10000000,10,9174.311926605504,-78385.32110091738,-0.7838532110091738,2019,11250,3.8,3.8,9174.311926605504,0.0,0.0,-78385.32110091738,-0.7838532110091738
2019-01-25,2019-01-25 09:16:00,10859.75,10987.2,10798.9,188.3000000000011,8.669628674693298,10876.074910794448,10843.425089205552,10850,PE,2019-01-31,STRANGLE,46.0,86.25,2019-01-25 14:05:00,6,1.3225,-41.5725,10000000,9,8294.930875576038,-344841.0138248848,-3.4484101382488475,2019,10500,4.4,12.15,8294.930875576038,7.75,64285.71428571429,-280555.29953917046,-2.8055529953917047
2019-01-25,2019-01-25 13:35:00,10859.75,10987.2,10798.9,188.3000000000011,8.669628674693298,10876.074910794448,10843.425089205552,10900,CE,2019-01-31,RE-ENTRY,68.3,0.05,2019-01-31 15:25:00,6,0.6835,67.5665,10000000,10,9174.311926605504,619876.1467889908,6.198761467889908,2019,11250,2.25,0.05,9174.311926605504,-2.2,-20183.48623853211,599692.6605504587,5.996926605504587
2019-02-08,2019-02-08 09:16:00,11023.5,11117.9,10813.65,304.25,13.800063500703041,11065.486693200888,10981.513306799112,11050,CE,2019-02-14,STRANGLE,39.8,0.05,2019-02-14 15:25:00,6,0.39849999999999997,39.3515,10000000,10,9049.773755656108,356122.17194570135,3.5612217194570137,2019,11400,0.7,0.05,9049.773755656108,-0.6499999999999999,-5882.352941176469,350239.8190045249,3.5023981900452488
2019-02-08,2019-02-08 09:16:00,11023.5,11117.9,10813.65,304.25,13.800063500703041,11065.486693200888,10981.513306799112,11000,PE,2019-02-14,STRANGLE,113.6,,2019-02-08 12:55:00,6,,,10000000,9,8181.818181818182,,,2019,10650,0.0,0.0,8181.818181818182,0.0,0.0,,
2019-02-08,2019-02-08 13:35:00,11023.5,11117.9,10813.65,304.25,13.800063500703041,11065.486693200888,10981.513306799112,11000,PE,2019-02-14,RE-ENTRY,126.15,,2019-02-08 14:55:00,6,,,10000000,9,8181.818181818182,,,2019,10650,0.0,0.0,8181.818181818182,0.0,0.0,,
2019-02-15,2019-02-15 09:16:00,10780.25,11041.15,10718.85,322.2999999999993,14.948632916676296,10828.429443890447,10732.070556109553,10850,CE,2019-02-21,STRANGLE,34.15,0.05,2019-02-21 15:25:00,6,0.34199999999999997,33.758,10000000,10,9216.589861751152,311133.64055299544,3.111336405529954,2019,11200,1.45,0.05,9216.589861751152,-1.4,-12903.225806451612,298230.4147465438,2.982304147465438
2019-02-15,2019-02-15 09:16:00,10780.25,11041.15,10718.85,322.2999999999993,14.948632916676296,10828.429443890447,10732.070556109553,10750,PE,2019-02-21,STRANGLE,86.0,92.0,2019-02-15 09:15:00,6,1.78,-7.78,10000000,9,8372.093023255815,-65134.883720930244,-0.6513488372093025,2019,10450,14.4,14.4,8372.093023255815,0.0,0.0,-65134.883720930244,-0.6513488372093025
2019-02-15,2019-02-20 15:05:00,10780.25,11041.15,10718.85,322.2999999999993,14.948632916676296,10828.429443890447,10732.070556109553,10750,PE,2019-02-21,RE-ENTRY,39.45,34.75,2019-02-21 09:45:00,1,0.742,3.958000000000003,10000000,9,8372.093023255815,33136.74418604654,0.3313674418604654,2019,10450,2.25,0.15,8372.093023255815,-2.1,-17581.395348837214,15555.348837209327,0.15555348837209326
2019-02-15,2019-02-21 09:55:00,10780.25,11041.15,10718.85,322.2999999999993,14.948632916676296,10828.429443890447,10732.070556109553,10750,PE,2019-02-21,RE-ENTRY,31.1,32.8,2019-02-21 10:05:00,0,0.639,-2.338999999999996,10000000,9,8372.093023255815,-19582.32558139532,-0.19582325581395318,2019,10450,0.15,0.1,8372.093023255815,-0.04999999999999999,-418.6046511627907,-20000.93023255811,-0.2000093023255811
