week_start,entry_time,current week open,previous week high,previous week low,previous week range,multiplier%,high level,low level,strike,type,expiry,tag,entry price,exit price,exit_time,dte,slippage,final points,portfolio,index leverage,qty,PnL,ROI%,Trade Year
2023-08-26,2023-08-26 09:16:00,64940.5703,65913.77,64735.82,1177.9500000000044,36.27778427440156,65176.1603,64704.980299999996,65200,CE,2023-09-01,STRANGLE,273.45,297.8,2023-08-30 09:15:00,6,5.7125,-30.06250000000002,10000000,9,1380.3680981595091,-41497.315950920274,-0.41497315950920277,2023
2023-08-26,2023-08-26 09:16:00,64940.5703,65913.77,64735.82,1177.9500000000044,36.27778427440156,65176.1603,64704.980299999996,64700,PE,2023-09-01,STRANGLE,223.35,0.05,2023-09-01 15:15:00,6,2.234,221.06599999999997,10000000,8,1236.4760432766616,273342.81298299844,2.7334281298299845,2023
2023-08-26,2023-08-30 14:15:00,64940.5703,65913.77,64735.82,1177.9500000000044,36.27778427440156,65176.1603,64704.980299999996,65200,CE,2023-09-01,RE-ENTRY,166.7,67.5,2023-09-01 12:15:00,2,2.342,96.85799999999999,10000000,9,1380.3680981595091,133699.69325153372,1.3369969325153372,2023
2023-09-02,2023-09-02 09:16:00,65604.3672,65473.2695,64723.6289,749.6405999999988,22.853374919833048,65754.29531999999,65454.43908,65800,CE,2023-09-08,STRANGLE,220.1,227.6,2023-09-05 09:15:00,6,4.477,-11.977,10000000,9,1367.7811550151976,-16381.914893617022,-0.16381914893617022,2023
2023-09-02,2023-09-02 09:16:00,65604.3672,65473.2695,64723.6289,749.6405999999988,22.853374919833048,65754.29531999999,65454.43908,65500,PE,2023-09-08,STRANGLE,359.0,323.15,2023-09-04 09:15:00,6,6.8215,29.028500000000022,10000000,8,1221.3740458015268,35454.65648854965,0.35454656488549646,2023
2023-09-02,2023-09-04 11:15:00,65604.3672,65473.2695,64723.6289,749.6405999999988,22.853374919833048,65754.29531999999,65454.43908,65500,PE,2023-09-08,RE-ENTRY,254.0,0.05,2023-09-08 15:15:00,4,2.5405,251.40949999999998,10000000,8,1221.3740458015268,307065.03816793894,3.070650381679389,2023
2023-09-02,2023-09-05 11:15:00,65604.3672,65473.2695,64723.6289,749.6405999999988,22.853374919833048,65754.29531999999,65454.43908,65800,CE,2023-09-08,RE-ENTRY,195.7,225.15,2023-09-05 14:15:00,3,4.2085,-33.65850000000002,10000000,9,1367.7811550151976,-46037.462006079055,-0.4603746200607905,2023
2023-09-02,2023-09-06 09:15:00,65604.3672,65473.2695,64723.6289,749.6405999999988,22.853374919833048,65754.29531999999,65454.43908,65800,CE,2023-09-08,RE-ENTRY,183.65,187.55,2023-09-06 14:15:00,2,3.7120000000000006,-7.612000000000006,10000000,9,1367.7811550151976,-10411.550151975693,-0.10411550151975693,2023
2023-09-09,2023-09-09 09:16:00,66816.7031,66766.9219,65285.5586,1481.3633000000045,44.341107276213535,67112.97576,66520.43044,67100,CE,2023-09-15,STRANGLE,245.35,337.9,2023-09-11 14:15:00,6,5.8325000000000005,-98.38249999999998,10000000,9,1341.2816691505216,-131958.64381520115,-1.3195864381520115,2023
2023-09-09,2023-09-09 09:16:00,66816.7031,66766.9219,65285.5586,1481.3633000000045,44.341107276213535,67112.97576,66520.43044,66500,PE,2023-09-15,STRANGLE,248.4,0.05,2023-09-15 15:15:00,6,2.4845,245.8655,10000000,8,1203.0075187969924,295778.0451127819,2.957780451127819,2023
2023-09-16,2023-09-16 09:16:00,67685.5469,67927.2266,66735.8438,1191.3827999999921,35.20346232143667,67923.82346,67447.27034,67900,CE,2023-09-22,STRANGLE,283.45,0.1,2023-09-22 15:15:00,6,2.8355,280.51449999999994,10000000,9,1325.4786450662739,371815.97938144323,3.7181597938144324,2023
2023-09-16,2023-09-16 09:16:00,67685.5469,67927.2266,66735.8438,1191.3827999999921,35.20346232143667,67923.82346,67447.27034,67400,PE,2023-09-22,STRANGLE,283.15,406.05,2023-09-20 09:15:00,6,6.892,-129.79200000000003,10000000,8,1186.9436201780416,-154055.7863501484,-1.540557863501484,2023
2023-09-23,2023-09-23 09:16:00,66084.4609,67803.1484,65952.8281,1850.3203000000067,55.998650054812096,66454.52496000001,65714.39684,66500,CE,2023-09-29,STRANGLE,201.0,0.05,2023-09-29 15:15:00,6,2.0105,198.93949999999998,10000000,9,1353.3834586466166,269241.4285714286,2.692414285714286,2023
2023-09-23,2023-09-23 09:16:00,66084.4609,67803.1484,65952.8281,1850.3203000000067,55.998650054812096,66454.52496000001,65714.39684,65700,PE,2023-09-29,STRANGLE,224.85,370.0,2023-09-27 09:15:00,6,5.9485,-151.0985,10000000,8,1217.6560121765601,-183985.99695585997,-1.8398599695585995,2023
