Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Slippage,Points w cs,Qty,PnL,PnL w cs,ROI%,ROI% w cs,Trade Year,Hedge Strike,Hedge Contract,Hedge Entry Price,Hedge Exit Price,Hedge Points,Hedge PnL,Total PnL,Total ROI%
2016-12-30,8282.55,8134.3,148.2499999999991,8283.0,40%,8342.3,8223.7,high,8200,2017-01-12,1,NIFTY171128200PE,PE,2017-01-11 09:43:00,,2017-01-12 15:30:00,,Expiry Closing,,,,32926.829268292684,,,,,2017,8050,NIFTY171128050PE,0.0,0.0,0.0,0.0,,
2017-01-06,8417.0,8228.0,189.0,8457.65,40%,8533.25,8382.05,low,8550,2017-01-19,6,NIFTY171198550CE,CE,2017-01-13 10:16:00,,2017-01-16 13:17:00,,SL Hit,,,,31578.947368421053,,,,,2017,8700,NIFTY171198700CE,0.0,0.0,0.0,0.0,,
2017-01-13,8460.2,8373.15,87.05000000000109,8404.35,40%,8439.17,8369.53,high,8350,2017-01-25,1,NIFTY17JAN8350PE,PE,2017-01-24 10:51:00,4.05,2017-01-25 15:30:00,0.05,Expiry Closing,4.0,0.040999999999999995,3.959,32335.329341317367,129341.31736526947,128015.56886227545,0.47904191616766467,0.4741317365269461,2017,8200,NIFTY17JAN8200PE,0.85,0.05,-0.7999999999999999,-25868.263473053892,102147.30538922155,1.1349700598802395
2017-01-13,8460.2,8373.15,87.05000000000109,8404.35,40%,8439.17,8369.53,low,8450,2017-01-25,5,NIFTY17JAN8450CE,CE,2017-01-20 13:05:00,16.85,2017-01-24 14:16:00,29.4,SL Hit,-12.549999999999997,0.4625,-13.012499999999998,31952.662721893492,-401005.9171597632,-415784.02366863895,-1.4852071005917158,-1.5399408284023668,2017,8600,NIFTY17JAN8600CE,1.6,0.5,-1.1,-35147.928994082846,-450931.9526627218,-5.0103550295857975
2017-01-20,8612.15,8328.05,284.10000000000036,8610.5,40%,8724.14,8496.86,high,8500,2017-02-02,0,NIFTY172028500PE,PE,2017-02-02 09:15:00,,2017-02-02 15:30:00,,Expiry Closing,,,,31764.70588235294,,,,,2017,8350,NIFTY172028350PE,0.0,0.0,0.0,0.0,,
2017-02-03,8821.2,8707.75,113.45000000000073,8812.35,40%,8857.730000000001,8766.97,low,8850,2017-02-16,3,NIFTY172168850CE,CE,2017-02-13 12:00:00,,2017-02-16 15:30:00,,Expiry Closing,,,,30508.47457627119,,,,,2017,9050,NIFTY172169050CE,0.0,0.0,0.0,0.0,,
2017-02-10,8826.45,8713.05,113.40000000000146,8883.7,40%,8929.060000000001,8838.34,high,8850,2017-02-23,1,NIFTY17FEB8850PE,PE,2017-02-22 09:15:00,12.1,2017-02-23 15:30:00,0.05,Expiry Closing,12.049999999999999,0.12150000000000001,11.9285,30508.47457627119,367627.1186440678,363920.3389830509,1.3615819209039546,1.3478531073446327,2017,8650,NIFTY17FEB8650PE,1.2,0.05,-1.15,-35084.745762711864,328835.59322033904,3.6537288135593227
2017-02-10,8826.45,8713.05,113.40000000000146,8883.7,40%,8929.060000000001,8838.34,low,8950,2017-02-23,6,NIFTY17FEB8950CE,CE,2017-02-17 09:33:00,12.1,2017-02-17 09:34:00,11.55,SL Hit,0.5499999999999989,0.2365,0.31349999999999895,30167.59776536313,16592.17877094969,9457.54189944131,0.061452513966480334,0.03502793296089374,2017,9150,NIFTY17FEB9150CE,1.2,1.2,0.0,0.0,9457.54189944131,0.10508379888268123
2017-02-17,8981.9,8804.75,177.14999999999964,8943.7,40%,9014.560000000001,8872.84,low,9000,2017-03-02,2,NIFTY173029000CE,CE,2017-02-28 13:20:00,,2017-03-02 09:15:00,,SL Hit,,,,30000.0,,,,,2017,9200,NIFTY173029200CE,0.0,0.0,0.0,0.0,,
2017-02-24,8992.35,8868.1,124.25,8885.55,40%,8935.25,8835.849999999999,high,8850,2017-03-09,3,NIFTY173098850PE,PE,2017-03-06 09:31:00,,2017-03-09 15:30:00,,Expiry Closing,,,,30508.47457627119,,,,,2017,8650,NIFTY173098650PE,0.0,0.0,0.0,0.0,,
