Month,Month High,Month Low,Monthly Range,Current Month Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Slippage,Points w cs,Qty,PnL,PnL w cs,ROI%,ROI% w cs,Trade Year,Index,Trade Month,Portfolio,Allocaion,ROI% PF
2017-01-31,8006.75,7250.0,756.75,7920.95,10%,7996.625,7845.275,high,7850,2017-02-28,27,FINNIFTY17FEB7850PE,PE,2017-02-01 12:58:00,,2017-02-28 15:30:00,,Expiry Closing,,,,1019.108280254777,,,,,2017,FINNIFTY,2,2000000.0,1000000,
2017-01-31,8672.55,8134.3,538.2499999999991,8570.35,20%,8678.0,8462.7,high,8450,2017-02-23,22,NIFTY17FEB8450PE,PE,2017-02-01 13:59:00,34.45,2017-02-23 15:30:00,0.05,Expiry Closing,34.400000000000006,0.345,34.05500000000001,946.7455621301776,32568.047337278116,32241.4201183432,3.256804733727811,3.2241420118343203,2017,NIFTY,2,2000000.0,1000000,1.6120710059171601
2017-01-31,19794.9,17831.75,1963.1500000000012,19522.4,35%,20209.5025,18835.2975,high,18800,2017-02-23,20,BANKNIFTY17FEB18800PE,PE,2017-02-03 14:13:00,24.25,2017-02-23 15:30:00,0.05,Expiry Closing,24.2,0.243,23.957,372.3404255319149,9010.63829787234,8920.159574468085,0.901063829787234,0.8920159574468086,2017,BANKNIFTY,2,2000000.0,1000000,0.4460079787234043
2017-02-28,8460.8,7917.65,543.1499999999996,8317.35,10%,8371.665,8263.035,high,8250,2017-03-28,27,FINNIFTY17MAR8250PE,PE,2017-03-01 09:32:00,,2017-03-28 15:30:00,,Expiry Closing,,,,969.6969696969696,,,,,2017,FINNIFTY,3,2000000.0,1000000,
2017-02-28,8460.8,7917.65,543.1499999999996,8317.35,10%,8371.665,8263.035,low,8350,2017-03-28,25,FINNIFTY17MAR8350CE,CE,2017-03-03 09:20:00,,2017-03-14 09:15:00,,SL Hit,,,,958.0838323353294,,,,,2017,FINNIFTY,3,2000000.0,1000000,
2017-02-28,21031.65,19471.4,1560.25,20698.9,35%,21244.987500000003,20152.8125,high,20200,2017-03-30,16,BANKNIFTY17MAR20200PE,PE,2017-03-14 09:15:00,38.0,2017-03-30 15:30:00,0.05,Expiry Closing,37.95,0.3805,37.569500000000005,346.53465346534654,13150.9900990099,13019.133663366338,1.3150990099009905,1.3019133663366338,2017,BANKNIFTY,3,2000000.0,1000000,0.6509566831683169
2017-02-28,8981.9,8537.8,444.1000000000004,8904.4,20%,8993.22,8815.58,high,8800,2017-03-30,16,NIFTY17MAR8800PE,PE,2017-03-14 09:15:00,12.95,2017-03-30 15:30:00,0.05,Expiry Closing,12.9,0.13,12.769999999999998,909.0909090909092,11727.272727272726,11609.090909090908,1.1727272727272726,1.160909090909091,2017,NIFTY,3,2000000.0,1000000,0.5804545454545454
2017-03-31,8823.6,8221.2,602.3999999999996,8775.5,10%,8835.74,8715.26,low,8850,2017-04-25,15,FINNIFTY17APR8850CE,CE,2017-04-10 09:41:00,,2017-04-11 13:39:00,,SL Hit,,,,903.9548022598872,,,,,2017,FINNIFTY,4,2000000.0,1000000,
2017-03-31,8823.6,8221.2,602.3999999999996,8775.5,10%,8835.74,8715.26,high,8700,2017-04-25,14,FINNIFTY17APR8700PE,PE,2017-04-11 14:30:00,,2017-04-25 15:30:00,,Expiry Closing,,,,919.5402298850574,,,,,2017,FINNIFTY,4,2000000.0,1000000,
2017-03-31,9214.1,8860.3,353.8000000000011,9220.6,20%,9291.36,9149.84,low,9300,2017-04-27,14,NIFTY17APR9300CE,CE,2017-04-13 15:11:00,27.7,2017-04-18 09:36:00,35.95,SL Hit,-8.250000000000004,0.6365000000000001,-8.886500000000003,860.2150537634409,-7096.77419354839,-7644.301075268821,-0.709677419354839,-0.7644301075268821,2017,NIFTY,4,2000000.0,1000000,-0.38221505376344106
2017-03-31,21690.9,20423.7,1267.2000000000007,21539.2,35%,21982.72,21095.68,high,21100,2017-04-27,2,BANKNIFTY17APR21100PE,PE,2017-04-25 12:41:00,3.8,2017-04-27 15:30:00,0.05,Expiry Closing,3.75,0.0385,3.7115,331.7535545023697,1244.0758293838865,1231.3033175355451,0.1244075829383886,0.1231303317535545,2017,BANKNIFTY,4,2000000.0,1000000,0.06156516587677726
2017-03-31,9214.1,8860.3,353.8000000000011,9220.6,20%,9291.36,9149.84,high,9150,2017-04-27,2,NIFTY17APR9150PE,PE,2017-04-25 14:00:00,6.15,2017-04-27 15:30:00,0.05,Expiry Closing,6.1000000000000005,0.062,6.038,874.3169398907104,5333.333333333334,5279.12568306011,0.5333333333333333,0.527912568306011,2017,NIFTY,4,2000000.0,1000000,0.2639562841530055
2017-04-30,9149.25,8712.0,437.25,9089.75,10%,9133.475,9046.025,low,9150,2017-05-30,28,FINNIFTY17MAY9150CE,CE,2017-05-02 11:16:00,,2017-05-03 09:15:00,,SL Hit,,,,874.3169398907104,,,,,2017,FINNIFTY,5,2000000.0,1000000,
2017-04-30,9367.05,9075.3,291.75,9339.85,20%,9398.2,9281.5,low,9400,2017-05-25,23,NIFTY17MAY9400CE,CE,2017-05-02 11:16:00,45.85,2017-05-05 09:15:00,57.45,SL Hit,-11.6,1.033,-12.633,851.063829787234,-9872.340425531916,-10751.489361702128,-0.9872340425531916,-1.075148936170213,2017,NIFTY,5,2000000.0,1000000,-0.5375744680851063
2017-04-30,9149.25,8712.0,437.25,9089.75,10%,9133.475,9046.025,high,9050,2017-05-30,27,FINNIFTY17MAY9050PE,PE,2017-05-03 09:15:00,,2017-05-30 15:30:00,,Expiry Closing,,,,883.9779005524862,,,,,2017,FINNIFTY,5,2000000.0,1000000,
