Date,Previous Day High,Previous Day Low,Daily Range,Today Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Initial SL,Exit Time,Exit Price,Max High,Max Low,Remark,Points,Slippage,Points w cs,Leverage,Qty,PnL,PnL w cs,ROI%,ROI% w cs,Trade Year
2017-01-03,18248.2,17845.35,402.8500000000022,18002.75,25%,18103.4625,17902.0375,high,17900,2017-01-05,2,BANKNIFTY1710517900PE,PE,2017-01-03 10:39:00,49.65,74.475,2017-01-03 13:17:00,74.475,89.8,40.45,SL Hit,-24.824999999999996,1.24125,-26.066249999999997,6,3351.95530726257,-83212.29050279329,-87372.90502793295,-0.8321229050279328,-0.8737290502793296,2017
2017-01-03,18248.2,17845.35,402.8500000000022,18002.75,25%,18103.4625,17902.0375,low,18100,2017-01-05,2,BANKNIFTY1710518100CE,CE,2017-01-03 09:17:00,52.55,78.82499999999999,2017-01-03 10:40:00,78.82499999999999,114.5,52.2,SL Hit,-26.27499999999999,1.31375,-27.58874999999999,6,3314.9171270718234,-87099.44751381213,-91454.41988950274,-0.8709944751381213,-0.9145441988950272,2017
2017-01-04,18115.0,17831.75,283.25,18037.45,25%,18108.2625,17966.6375,low,18100,2017-01-05,1,BANKNIFTY1710518100CE,CE,2017-01-04 10:45:00,43.65,65.475,2017-01-05 15:20:00,11.25,54.3,9.75,EOD Closing,32.4,0.549,31.851,6,3314.9171270718234,107403.31491712708,105583.42541436464,1.074033149171271,1.0558342541436463,2017
2017-01-05,18092.5,17872.6,219.90000000000146,18000.75,25%,18055.725,17945.775,high,17900,2017-01-05,0,BANKNIFTY1710517900PE,PE,2017-01-05 09:34:00,6.1,9.149999999999999,2017-01-05 10:19:00,9.149999999999999,9.55,0.05,SL Hit,-3.049999999999999,0.1525,-3.202499999999999,6,3351.95530726257,-10223.463687150836,-10734.636871508375,-0.10223463687150836,-0.10734636871508377,2017
2017-01-06,18163.95,17979.7,184.25,18168.45,25%,18214.5125,18122.3875,high,18100,2017-01-12,6,BANKNIFTY1711218100PE,PE,2017-01-06 09:24:00,103.0,154.5,2017-01-12 15:20:00,69.6,103.45,60.85,EOD Closing,33.400000000000006,1.726,31.674000000000007,6,3314.9171270718234,110718.23204419891,104996.68508287295,1.1071823204419893,1.0499668508287296,2017
2017-01-09,18323.0,18157.35,165.65000000000146,18314.25,25%,18355.6625,18272.8375,high,18300,2017-01-12,3,BANKNIFTY1711218300PE,PE,2017-01-09 09:28:00,103.0,154.5,2017-01-12 15:20:00,112.8,139.05,91.0,EOD Closing,-9.799999999999997,2.1580000000000004,-11.957999999999998,6,3278.688524590164,-32131.1475409836,-39206.557377049176,-0.321311475409836,-0.3920655737704918,2017
2017-01-09,18323.0,18157.35,165.65000000000146,18314.25,25%,18355.6625,18272.8375,low,18400,2017-01-12,3,BANKNIFTY1711218400CE,CE,2017-01-09 09:15:00,61.0,91.5,2017-01-09 09:29:00,91.5,92.4,58.15,SL Hit,-30.5,1.5250000000000001,-32.025,6,3260.8695652173915,-99456.52173913045,-104429.34782608696,-0.9945652173913044,-1.0442934782608695,2017
2017-01-10,18372.9,18257.75,115.15000000000146,18351.45,25%,18380.237500000003,18322.6625,high,18300,2017-01-12,2,BANKNIFTY1711218300PE,PE,2017-01-10 09:17:00,77.35,116.02499999999999,2017-01-12 15:20:00,43.1,105.05,37.35,EOD Closing,34.24999999999999,1.2045,33.04549999999999,6,3278.688524590164,112295.08196721309,108345.90163934423,1.122950819672131,1.0834590163934423,2017
2017-01-10,18372.9,18257.75,115.15000000000146,18351.45,25%,18380.237500000003,18322.6625,low,18400,2017-01-12,2,BANKNIFTY1711218400CE,CE,2017-01-10 09:35:00,55.65,83.475,2017-01-10 15:17:00,83.475,89.45,51.15,SL Hit,-27.824999999999996,1.39125,-29.216249999999995,6,3260.8695652173915,-90733.6956521739,-95270.3804347826,-0.9073369565217391,-0.952703804347826,2017
2017-01-11,18439.2,18277.2,162.0,18535.35,25%,18575.85,18494.85,high,18500,2017-01-12,1,BANKNIFTY1711218500PE,PE,2017-01-11 09:38:00,53.0,79.5,2017-01-12 15:20:00,6.4,54.2,4.15,EOD Closing,46.6,0.594,46.006,6,3243.2432432432433,151135.13513513515,149208.64864864867,1.5113513513513515,1.4920864864864867,2017
