,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Date,Entry Time,Entry Price,Initial SL,Target,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Max Price,Min Price,Trade Year,Trade Month,Variation
0,midcpnifty,8775,P,2023-09-04,2023-09-01 11:30:00,SELL,2023-09-01,11:40:00,3.15,5.8,1,2023-09-01 15:10:00,1.0,2.15,0.0415,2.1085,1929.2775,Target Hit,915,0.19292774999999998,11.25,0.9,2023,9,"5, 5, 10m, N Candles High SL"
1,midcpnifty,8975,P,2023-09-11,2023-09-05 10:40:00,SELL,2023-09-05,10:50:00,41.35,48.0,1,2023-09-08 09:30:00,1.0,40.35,0.42350000000000004,39.926500000000004,35334.95250000001,Target Hit,885,3.533495250000001,64.95,1.0,2023,9,"5, 5, 10m, N Candles High SL"
5,midcpnifty,9250,P,2023-09-18,2023-09-13 12:10:00,SELL,2023-09-13,12:30:00,292.0,339.0,1,2023-09-18 15:20:00,101.6,190.4,3.9360000000000004,186.464,162223.68,Expiry Exit,870,16.222368,366.8,54.1,2023,9,"5, 5, 10m, N Candles High SL"
6,midcpnifty,9125,P,2023-09-25,2023-09-20 10:50:00,SELL,2023-09-20,11:00:00,52.85,69.75,1,2023-09-21 12:20:00,69.75,-16.9,1.226,-18.125999999999998,-15769.619999999997,Initial SL Hit,870,-1.5769619999999998,133.6,25.6,2023,9,"5, 5, 10m, N Candles High SL"
8,midcpnifty,9125,P,2023-09-25,2023-09-21 13:50:00,SELL,2023-09-21,14:00:00,65.5,78.6,1,2023-09-21 14:10:00,78.6,-13.099999999999994,1.441,-14.540999999999995,-12650.669999999996,Initial SL Hit,870,-1.2650669999999995,133.6,25.6,2023,9,"5, 5, 10m, N Candles High SL"
9,midcpnifty,9125,P,2023-09-25,2023-09-22 11:20:00,SELL,2023-09-22,11:30:00,59.6,86.5,1,2023-09-22 14:10:00,86.5,-26.9,1.461,-28.360999999999997,-24674.069999999996,Initial SL Hit,870,-2.4674069999999997,133.6,25.6,2023,9,"5, 5, 10m, N Candles High SL"
10,midcpnifty,9125,P,2023-09-25,2023-09-25 09:30:00,SELL,2023-09-25,09:40:00,64.7,81.95,1,2023-09-25 10:00:00,81.95,-17.25,1.4665000000000001,-18.7165,-16283.355,Initial SL Hit,870,-1.6283355,133.6,25.6,2023,9,"5, 5, 10m, N Candles High SL"
11,midcpnifty,9125,P,2023-09-25,2023-09-25 12:10:00,SELL,2023-09-25,12:20:00,31.35,125.4,1,2023-09-25 14:40:00,1.0,30.35,0.3235,30.026500000000002,26123.055,Target Hit,870,2.6123054999999997,155.5,0.7,2023,9,"5, 5, 10m, N Candles High SL"
12,midcpnifty,9125,P,2023-10-09,2023-10-03 10:40:00,SELL,2023-10-03,10:50:00,94.0,123.7,1,2023-10-04 10:00:00,123.7,-29.700000000000003,2.177,-31.877000000000002,-27732.99,Initial SL Hit,870,-2.773299,160.3,73.35,2023,10,"5, 5, 10m, N Candles High SL"
14,midcpnifty,9125,P,2023-10-09,2023-10-04 14:20:00,SELL,2023-10-04,14:30:00,123.5,182.25,1,2023-10-09 15:20:00,101.8,21.700000000000003,2.253,19.447000000000003,16918.890000000003,Expiry Exit,870,1.6918890000000002,218.0,29.0,2023,10,"5, 5, 10m, N Candles High SL"
15,midcpnifty,9050,P,2023-10-16,2023-10-10 10:50:00,SELL,2023-10-10,11:00:00,60.15,66.7,1,2023-10-16 09:50:00,1.0,59.15,0.6115,58.5385,51806.5725,Target Hit,885,5.18065725,100.8,1.0,2023,10,"5, 5, 10m, N Candles High SL"
18,midcpnifty,9200,P,2023-10-23,2023-10-17 13:00:00,SELL,2023-10-17,13:10:00,65.8,69.1,1,2023-10-17 13:30:00,69.1,-3.299999999999997,1.3489999999999998,-4.648999999999997,-4044.629999999998,Initial SL Hit,870,-0.4044629999999998,98.7,61.5,2023,10,"5, 5, 10m, N Candles High SL"
19,midcpnifty,9200,P,2023-10-23,2023-10-18 09:10:00,SELL,2023-10-18,09:20:00,63.25,73.45,1,2023-10-18 10:40:00,73.45,-10.200000000000003,1.367,-11.567000000000004,-10063.290000000003,Initial SL Hit,870,-1.0063290000000003,98.7,57.7,2023,10,"5, 5, 10m, N Candles High SL"
20,midcpnifty,9200,P,2023-10-23,2023-10-19 13:20:00,SELL,2023-10-19,13:30:00,142.15,154.1,1,2023-10-20 09:10:00,140.55,1.5999999999999943,2.8270000000000004,-1.227000000000006,-1067.4900000000052,Gap Outside ISL,870,-0.10674900000000051,202.05,57.7,2023,10,"5, 5, 10m, N Candles High SL"
22,midcpnifty,8875,P,2023-10-30,2023-10-25 14:30:00,SELL,2023-10-25,14:40:00,111.6,142.55,1,2023-10-26 09:10:00,206.55,-94.95000000000002,3.1814999999999998,-98.13150000000002,-88318.35000000002,Gap Outside ISL,900,-8.831835000000002,211.5,68.55,2023,10,"5, 5, 10m, N Candles High SL"
23,midcpnifty,8875,P,2023-10-30,2023-10-26 13:30:00,SELL,2023-10-26,13:40:00,275.75,278.75,1,2023-10-26 13:40:00,278.75,-3.0,5.545,-8.545,-7690.5,Initial SL Hit,900,-0.76905,310.65,68.55,2023,10,"5, 5, 10m, N Candles High SL"
24,midcpnifty,8875,P,2023-10-30,2023-10-26 15:00:00,SELL,2023-10-26,15:10:00,241.4,281.9,1,2023-10-30 15:20:00,156.0,85.4,3.9739999999999998,81.426,73283.40000000001,Expiry Exit,900,7.328340000000002,310.65,68.55,2023,10,"5, 5, 10m, N Candles High SL"
26,midcpnifty,8775,P,2023-11-06,2023-10-31 13:20:00,SELL,2023-10-31,13:30:00,93.6,102.4,1,2023-11-06 09:10:00,1.0,92.6,0.946,91.654,83863.41,Target Hit,915,8.386341,140.45,0.35,2023,10,"5, 5, 10m, N Candles High SL"
30,midcpnifty,8975,P,2023-11-13,2023-11-07 10:50:00,SELL,2023-11-07,11:00:00,65.1,76.7,1,2023-11-10 15:20:00,1.0,64.1,0.6609999999999999,63.43899999999999,56143.51499999999,Target Hit,885,5.614351499999999,93.1,1.0,2023,11,"5, 5, 10m, N Candles High SL"
36,midcpnifty,9325,P,2023-11-20,2023-11-15 10:40:00,SELL,2023-11-15,10:50:00,53.1,69.3,1,2023-11-20 09:10:00,1.0,52.1,0.541,51.559000000000005,44082.94500000001,Target Hit,855,4.4082945,82.85,0.65,2023,11,"5, 5, 10m, N Candles High SL"
39,midcpnifty,9525,P,2023-12-04,2023-11-28 11:00:00,SELL,2023-11-28,11:10:00,64.45,72.05,1,2023-12-04 09:10:00,1.0,63.45,0.6545000000000001,62.795500000000004,52748.22,Target Hit,840,5.2748219999999995,80.0,0.15,2023,11,"5, 5, 10m, N Candles High SL"
43,midcpnifty,9925,P,2023-12-11,2023-12-05 13:00:00,SELL,2023-12-05,13:10:00,100.7,149.5,1,2023-12-11 09:50:00,1.0,99.7,1.0170000000000001,98.683,79933.23000000001,Target Hit,810,7.993323000000001,183.95,0.8,2023,12,"5, 5, 10m, N Candles High SL"
47,midcpnifty,10050,P,2023-12-18,2023-12-13 13:00:00,SELL,2023-12-13,13:10:00,68.55,89.05,1,2023-12-15 15:20:00,1.0,67.55,0.6955,66.8545,53149.3275,Target Hit,795,5.31493275,154.2,0.9,2023,12,"5, 5, 10m, N Candles High SL"
50,midcpnifty,10275,P,2024-01-01,2023-12-27 09:20:00,SELL,2023-12-27,09:30:00,62.7,91.55,1,2023-12-27 12:10:00,91.55,-28.849999999999994,1.5425,-30.392499999999995,-23706.149999999994,Initial SL Hit,780,-2.3706149999999995,128.8,50.65,2023,12,"5, 5, 10m, N Candles High SL"
52,midcpnifty,10275,P,2024-01-01,2023-12-27 14:30:00,SELL,2023-12-27,14:40:00,70.6,102.45,1,2024-01-01 09:20:00,1.0,69.6,0.716,68.884,53729.52,Target Hit,780,5.372952,128.8,0.9,2023,12,"5, 5, 10m, N Candles High SL"
55,midcpnifty,10425,P,2024-01-08,2024-01-02 12:50:00,SELL,2024-01-02,13:00:00,145.85,185.1,1,2024-01-08 09:10:00,1.0,144.85,1.4685,143.3815,109686.84749999999,Target Hit,765,10.96868475,230.0,0.6,2024,1,"5, 5, 10m, N Candles High SL"
58,midcpnifty,10550,P,2024-01-15,2024-01-09 13:40:00,SELL,2024-01-09,13:50:00,109.3,119.9,1,2024-01-09 14:00:00,119.9,-10.600000000000009,2.292,-12.892000000000008,-9862.380000000006,Initial SL Hit,765,-0.9862380000000006,154.55,85.15,2024,1,"5, 5, 10m, N Candles High SL"
59,midcpnifty,10550,P,2024-01-15,2024-01-10 14:30:00,SELL,2024-01-10,14:40:00,167.15,250.0,1,2024-01-15 13:50:00,1.0,166.15,1.6815,164.4685,125818.40250000001,Target Hit,765,12.58184025,273.3,0.8,2024,1,"5, 5, 10m, N Candles High SL"
60,midcpnifty,10675,P,2024-01-22,2024-01-16 10:40:00,SELL,2024-01-16,10:50:00,99.85,118.2,1,2024-01-16 11:40:00,118.2,-18.35000000000001,2.1805000000000003,-20.53050000000001,-15397.875000000007,Initial SL Hit,750,-1.5397875000000008,142.8,99.4,2024,1,"5, 5, 10m, N Candles High SL"
62,midcpnifty,10675,P,2024-01-22,2024-01-16 14:30:00,SELL,2024-01-16,14:40:00,165.8,223.45,1,2024-01-17 09:20:00,223.45,-57.64999999999998,3.8925,-61.542499999999976,-46156.87499999998,Initial SL Hit,750,-4.615687499999998,247.2,99.4,2024,1,"5, 5, 10m, N Candles High SL"
64,midcpnifty,10725,P,2024-01-29,2024-01-24 11:20:00,SELL,2024-01-24,13:40:00,310.5,427.5,1,2024-01-29 15:20:00,46.4,264.1,3.569,260.531,195398.25,Expiry Exit,750,19.539825,451.45,43.3,2024,1,"5, 5, 10m, N Candles High SL"
65,midcpnifty,10750,P,2024-02-05,2024-01-30 12:10:00,SELL,2024-01-30,12:20:00,181.65,227.85,1,2024-01-30 14:30:00,227.85,-46.19999999999999,4.095,-50.29499999999999,-37721.24999999999,Initial SL Hit,750,-3.772124999999999,238.8,138.7,2024,1,"5, 5, 10m, N Candles High SL"
67,midcpnifty,10750,P,2024-02-05,2024-01-31 10:20:00,SELL,2024-01-31,10:30:00,177.85,239.6,1,2024-02-01 11:50:00,239.6,-61.75,4.1745,-65.9245,-49443.37499999999,Initial SL Hit,750,-4.944337499999999,257.15,138.7,2024,1,"5, 5, 10m, N Candles High SL"
68,midcpnifty,10750,P,2024-02-05,2024-02-01 14:40:00,SELL,2024-02-01,14:50:00,147.15,198.4,1,2024-02-05 15:20:00,8.85,138.3,1.56,136.74,102555.0,Expiry Exit,750,10.2555,257.35,2.55,2024,2,"5, 5, 10m, N Candles High SL"
70,midcpnifty,10800,P,2024-02-12,2024-02-06 14:20:00,SELL,2024-02-06,14:30:00,144.4,171.25,1,2024-02-09 10:50:00,171.25,-26.849999999999994,3.1565,-30.006499999999996,-22054.777499999997,Initial SL Hit,735,-2.2054777499999996,215.0,33.35,2024,2,"5, 5, 10m, N Candles High SL"
73,midcpnifty,10800,P,2024-02-12,2024-02-09 12:20:00,SELL,2024-02-09,12:30:00,128.2,189.2,1,2024-02-12 15:20:00,128.7,-0.5,2.569,-3.069,-2255.715,Expiry Exit,735,-0.2255715,221.05,33.35,2024,2,"5, 5, 10m, N Candles High SL"
74,midcpnifty,10700,P,2024-02-19,2024-02-13 10:50:00,SELL,2024-02-13,11:00:00,143.2,194.5,1,2024-02-13 12:10:00,194.5,-51.30000000000001,3.377,-54.677000000000014,-41007.75000000001,Initial SL Hit,750,-4.1007750000000005,263.25,136.5,2024,2,"5, 5, 10m, N Candles High SL"
76,midcpnifty,10700,P,2024-02-19,2024-02-13 13:30:00,SELL,2024-02-13,13:40:00,130.85,216.8,1,2024-02-19 09:10:00,1.0,129.85,1.3185,128.5315,96398.625,Target Hit,750,9.6398625,263.25,0.4,2024,2,"5, 5, 10m, N Candles High SL"
79,midcpnifty,10975,P,2024-02-26,2024-02-21 09:20:00,SELL,2024-02-21,09:30:00,79.3,109.0,1,2024-02-21 10:40:00,109.0,-29.700000000000003,1.8830000000000002,-31.583000000000002,-23213.505,Initial SL Hit,735,-2.3213505000000003,133.3,68.0,2024,2,"5, 5, 10m, N Candles High SL"
81,midcpnifty,10975,P,2024-02-26,2024-02-21 12:40:00,SELL,2024-02-21,12:50:00,89.65,115.75,1,2024-02-21 14:00:00,115.75,-26.099999999999994,2.0540000000000003,-28.153999999999996,-20693.19,Initial SL Hit,735,-2.069319,137.0,68.0,2024,2,"5, 5, 10m, N Candles High SL"
82,midcpnifty,10975,P,2024-02-26,2024-02-22 11:30:00,SELL,2024-02-22,11:40:00,144.0,172.5,1,2024-02-26 09:50:00,172.5,-28.5,3.165,-31.665,-23273.774999999998,Initial SL Hit,735,-2.3273775,324.95,8.55,2024,2,"5, 5, 10m, N Candles High SL"
85,midcpnifty,10975,P,2024-02-26,2024-02-26 13:00:00,SELL,2024-02-26,13:10:00,65.45,122.0,1,2024-02-26 14:40:00,1.0,64.45,0.6645000000000001,63.785500000000006,46882.342500000006,Target Hit,735,4.688234250000001,324.95,0.6,2024,2,"5, 5, 10m, N Candles High SL"
87,midcpnifty,11025,P,2024-03-04,2024-02-27 15:20:00,SELL,2024-02-28,09:10:00,102.35,120.7,1,2024-02-28 09:20:00,120.7,-18.35000000000001,2.2305,-20.580500000000008,-14817.960000000006,Initial SL Hit,720,-1.4817960000000008,154.85,95.9,2024,2,"5, 5, 10m, N Candles High SL"
