,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Date,Entry Time,Entry Price,Initial SL,Target,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Volume at Entry Candle,Volume Remark,Qty,ROI%,Max Price,Min Price,Trade Year,Trade Month,Variation
0,midcpnifty,8775,P,2023-09-04,2023-09-01 11:30:00,SELL,2023-09-01,11:40:00,3.15,5.8,1,2023-09-01 15:10:00,1.0,2.15,0.0415,2.1085,2878.1025,Target Hit,268575,LIQUID,1365,0.28781025000000005,11.25,0.9,2023,9,"5, 5, 10m, 1.2% SL"
1,midcpnifty,8975,P,2023-09-11,2023-09-05 10:40:00,SELL,2023-09-05,10:50:00,41.35,48.0,1,2023-09-08 09:30:00,1.0,40.35,0.42350000000000004,39.926500000000004,53301.8775,Target Hit,24375,LIQUID,1335,5.33018775,64.95,1.0,2023,9,"5, 5, 10m, 1.2% SL"
2,midcpnifty,8975,C,2023-09-11,2023-09-06 12:10:00,SELL,2023-09-06,12:20:00,102.7,111.6,1,2023-09-06 14:20:00,111.6,-8.899999999999991,2.1430000000000002,-11.042999999999992,-14742.40499999999,Initial SL Hit,1875,ILLIQUID,1335,-1.474240499999999,122.3,60.35,2023,9,"5, 5, 10m, 1.2% SL"
3,midcpnifty,8975,C,2023-09-11,2023-09-07 12:00:00,SELL,2023-09-07,12:10:00,102.05,116.3,1,2023-09-07 14:30:00,116.3,-14.25,2.1835,-16.4335,-21938.7225,Initial SL Hit,3300,ILLIQUID,1335,-2.19387225,123.1,60.35,2023,9,"5, 5, 10m, 1.2% SL"
4,midcpnifty,9250,C,2023-09-18,2023-09-12 10:50:00,SELL,2023-09-12,11:00:00,18.45,25.35,1,2023-09-18 09:10:00,1.0,17.45,0.1945,17.255499999999998,22259.594999999998,Target Hit,101250,LIQUID,1290,2.2259594999999996,61.15,0.95,2023,9,"5, 5, 10m, 1.2% SL"
5,midcpnifty,9250,P,2023-09-18,2023-09-13 12:10:00,SELL,2023-09-13,12:30:00,292.0,339.0,1,2023-09-18 15:20:00,101.6,190.4,3.9360000000000004,186.464,240538.56,Expiry Exit,75,ILLIQUID,1290,24.053856,366.8,54.1,2023,9,"5, 5, 10m, 1.2% SL"
6,midcpnifty,9125,P,2023-09-25,2023-09-20 10:50:00,SELL,2023-09-20,11:00:00,52.85,69.75,1,2023-09-21 12:20:00,69.75,-16.9,1.226,-18.125999999999998,-23926.319999999996,Initial SL Hit,83775,LIQUID,1320,-2.392632,133.6,25.6,2023,9,"5, 5, 10m, 1.2% SL"
7,midcpnifty,9125,C,2023-09-25,2023-09-20 14:10:00,SELL,2023-09-20,14:20:00,70.4,96.0,1,2023-09-25 09:10:00,1.0,69.4,0.7140000000000001,68.686,90665.52,Target Hit,54075,LIQUID,1320,9.066552,116.75,0.8,2023,9,"5, 5, 10m, 1.2% SL"
8,midcpnifty,9125,P,2023-09-25,2023-09-21 13:50:00,SELL,2023-09-21,14:00:00,65.5,78.6,1,2023-09-21 14:10:00,78.6,-13.099999999999994,1.441,-14.540999999999995,-19194.11999999999,Initial SL Hit,24975,LIQUID,1320,-1.9194119999999992,133.6,25.6,2023,9,"5, 5, 10m, 1.2% SL"
9,midcpnifty,9125,P,2023-09-25,2023-09-22 11:20:00,SELL,2023-09-22,11:30:00,59.6,86.5,1,2023-09-22 14:10:00,86.5,-26.9,1.461,-28.360999999999997,-37436.52,Initial SL Hit,28425,LIQUID,1320,-3.7436519999999995,133.6,25.6,2023,9,"5, 5, 10m, 1.2% SL"
10,midcpnifty,9125,P,2023-09-25,2023-09-25 09:30:00,SELL,2023-09-25,09:40:00,64.7,81.95,1,2023-09-25 10:00:00,81.95,-17.25,1.4665000000000001,-18.7165,-24705.78,Initial SL Hit,142050,LIQUID,1320,-2.470578,133.6,25.6,2023,9,"5, 5, 10m, 1.2% SL"
11,midcpnifty,9125,P,2023-09-25,2023-09-25 12:10:00,SELL,2023-09-25,12:20:00,31.35,125.4,1,2023-09-25 14:40:00,1.0,30.35,0.3235,30.026500000000002,39634.98,Target Hit,4197150,LIQUID,1320,3.963498,155.5,0.7,2023,9,"5, 5, 10m, 1.2% SL"
12,midcpnifty,9125,P,2023-10-09,2023-10-03 10:40:00,SELL,2023-10-03,10:50:00,94.0,123.7,1,2023-10-04 10:00:00,123.7,-29.700000000000003,2.177,-31.877000000000002,-42077.64000000001,Initial SL Hit,10650,LIQUID,1320,-4.207764000000001,160.3,73.35,2023,10,"5, 5, 10m, 1.2% SL"
13,midcpnifty,9125,C,2023-10-09,2023-10-03 13:20:00,SELL,2023-10-03,13:30:00,66.8,74.95,1,2023-10-09 09:20:00,1.0,65.8,0.6779999999999999,65.122,85961.04,Target Hit,85125,LIQUID,1320,8.596103999999999,86.6,0.95,2023,10,"5, 5, 10m, 1.2% SL"
14,midcpnifty,9125,P,2023-10-09,2023-10-04 14:20:00,SELL,2023-10-04,14:30:00,123.5,182.25,1,2023-10-09 15:20:00,101.8,21.700000000000003,2.253,19.447000000000003,25670.040000000005,Expiry Exit,4500,ILLIQUID,1320,2.5670040000000007,218.0,29.0,2023,10,"5, 5, 10m, 1.2% SL"
15,midcpnifty,9050,P,2023-10-16,2023-10-10 10:50:00,SELL,2023-10-10,11:00:00,60.15,66.7,1,2023-10-16 09:50:00,1.0,59.15,0.6115,58.5385,77270.81999999999,Target Hit,96450,LIQUID,1320,7.727081999999999,100.8,1.0,2023,10,"5, 5, 10m, 1.2% SL"
16,midcpnifty,9050,C,2023-10-16,2023-10-11 11:20:00,SELL,2023-10-11,11:30:00,162.7,177.05,1,2023-10-16 15:20:00,106.55,56.14999999999999,2.6925,53.45749999999999,70563.89999999998,Expiry Exit,2325,ILLIQUID,1320,7.056389999999999,196.25,68.25,2023,10,"5, 5, 10m, 1.2% SL"
17,midcpnifty,9200,C,2023-10-23,2023-10-17 11:20:00,SELL,2023-10-17,11:30:00,68.3,76.15,1,2023-10-20 12:00:00,1.0,67.3,0.693,66.607,86922.135,Target Hit,278775,LIQUID,1305,8.6922135,81.5,1.0,2023,10,"5, 5, 10m, 1.2% SL"
18,midcpnifty,9200,P,2023-10-23,2023-10-17 13:00:00,SELL,2023-10-17,13:10:00,65.8,69.1,1,2023-10-17 13:30:00,69.1,-3.299999999999997,1.3489999999999998,-4.648999999999997,-6066.944999999997,Initial SL Hit,49650,LIQUID,1305,-0.6066944999999997,98.7,61.5,2023,10,"5, 5, 10m, 1.2% SL"
19,midcpnifty,9200,P,2023-10-23,2023-10-18 09:10:00,SELL,2023-10-18,09:20:00,63.25,73.45,1,2023-10-18 10:40:00,73.45,-10.200000000000003,1.367,-11.567000000000004,-15094.935000000005,Initial SL Hit,451500,LIQUID,1305,-1.5094935000000005,98.7,57.7,2023,10,"5, 5, 10m, 1.2% SL"
20,midcpnifty,9200,P,2023-10-23,2023-10-19 13:20:00,SELL,2023-10-19,13:30:00,142.15,154.1,1,2023-10-20 09:10:00,140.55,1.5999999999999943,2.8270000000000004,-1.227000000000006,-1601.2350000000079,Gap Outside ISL,17250,LIQUID,1305,-0.16012350000000078,202.05,57.7,2023,10,"5, 5, 10m, 1.2% SL"
21,midcpnifty,8875,C,2023-10-30,2023-10-25 11:10:00,SELL,2023-10-25,11:20:00,63.85,88.85,1,2023-10-30 09:10:00,1.0,62.85,0.6485,62.2015,83972.02500000001,Target Hit,179250,LIQUID,1350,8.3972025,101.35,0.55,2023,10,"5, 5, 10m, 1.2% SL"
22,midcpnifty,8875,P,2023-10-30,2023-10-25 14:30:00,SELL,2023-10-25,14:40:00,111.6,142.55,1,2023-10-26 09:10:00,206.55,-94.95000000000002,3.1814999999999998,-98.13150000000002,-132477.52500000002,Gap Outside ISL,6450,ILLIQUID,1350,-13.2477525,211.5,68.55,2023,10,"5, 5, 10m, 1.2% SL"
23,midcpnifty,8875,P,2023-10-30,2023-10-26 13:30:00,SELL,2023-10-26,13:40:00,275.75,278.75,1,2023-10-26 13:40:00,278.75,-3.0,5.545,-8.545,-11535.75,Initial SL Hit,375,ILLIQUID,1350,-1.153575,310.65,68.55,2023,10,"5, 5, 10m, 1.2% SL"
24,midcpnifty,8875,P,2023-10-30,2023-10-26 15:00:00,SELL,2023-10-26,15:10:00,241.4,281.9,1,2023-10-30 15:20:00,156.0,85.4,3.9739999999999998,81.426,109925.1,Expiry Exit,300,ILLIQUID,1350,10.992510000000001,310.65,68.55,2023,10,"5, 5, 10m, 1.2% SL"
25,midcpnifty,8775,C,2023-11-06,2023-10-31 10:40:00,SELL,2023-10-31,10:50:00,62.85,84.9,1,2023-11-02 09:20:00,84.9,-22.050000000000004,1.4775,-23.527500000000003,-32115.037500000006,Initial SL Hit,66225,LIQUID,1365,-3.2115037500000008,98.7,37.45,2023,10,"5, 5, 10m, 1.2% SL"
26,midcpnifty,8775,P,2023-11-06,2023-10-31 13:20:00,SELL,2023-10-31,13:30:00,93.6,102.4,1,2023-11-06 09:10:00,1.0,92.6,0.946,91.654,125107.70999999999,Target Hit,18750,LIQUID,1365,12.510770999999998,140.45,0.35,2023,10,"5, 5, 10m, 1.2% SL"
27,midcpnifty,8775,C,2023-11-06,2023-11-02 10:50:00,SELL,2023-11-02,11:00:00,78.5,88.8,1,2023-11-02 11:10:00,88.8,-10.299999999999997,1.673,-11.972999999999997,-16343.144999999997,Initial SL Hit,22875,LIQUID,1365,-1.6343144999999997,98.7,37.45,2023,11,"5, 5, 10m, 1.2% SL"
28,midcpnifty,8775,C,2023-11-06,2023-11-03 15:00:00,SELL,2023-11-03,15:10:00,127.35,138.0,1,2023-11-06 09:20:00,176.95,-49.599999999999994,3.0429999999999997,-52.642999999999994,-71857.69499999999,Gap Outside ISL,6900,ILLIQUID,1365,-7.1857695,178.5,37.45,2023,11,"5, 5, 10m, 1.2% SL"
