,Total ROI,Total Trades,Win Rate,Avg Profit% per Trade,Avg Loss% per Trade,Max Drawdown,ROI/DD Ratio
"(2012, 1)",-1.4443369062118379,6,33.33333333333333,0.7015105760074609,-0.7118395145566899,-1.7620607731701803,-0.8196862039061711
"(2012, 2)",1.8700358503148733,8,25.0,4.194939832135149,-1.0866406356592375,-6.519843813955425,0.2868221852664857
"(2012, 3)",1.1649912602876364,8,62.5,0.3323345124741859,-0.1655604340277643,-0.49668130208329286,2.3455508701478536
"(2012, 4)",2.14341068423687,8,50.0,0.8169703709558715,-0.281117699896654,-0.545454125065685,3.9295892830194563
"(2012, 5)",-5.2163355830111,7,0.0,,-0.7451907975730142,-4.9634441895925905,-1.0509507881540756
"(2012, 6)",0.29078819161426284,6,66.66666666666666,0.4350313710108906,-0.7246686462146499,-0.45900338827100257,0.6335207953684583
"(2012, 7)",-0.6774863019134004,7,28.57142857142857,0.5147568880493847,-0.341400015602434,-1.2970445708136626,-0.5223307796496148
"(2012, 8)",0.8459030139600111,7,57.14285714285714,0.6628512423190258,-0.601833985105364,-1.6825375832719511,0.5027543053837904
"(2012, 9)",2.9940538092141447,6,83.33333333333334,0.6466065223977259,-0.23897880277448474,-0.23897880277448458,12.528532968003535
"(2012, 10)",-2.4551333693441473,6,16.666666666666664,0.7955859169732009,-0.6501438572634697,-3.116224580197385,-0.7878550810958036
"(2012, 11)",-0.9306706447837285,6,16.666666666666664,0.9006707667449884,-0.3662682823057434,-1.7848317796511604,-0.5214332551640386
"(2012, 12)",3.1268412788911717,6,66.66666666666666,0.9242724941522374,-0.28512434885888893,-0.5702486977177781,5.483294028386677
"(2013, 1)",15.556154805184304,17,58.82352941176471,2.167016090988869,-0.8734294435291986,-3.4840062042540842,4.465019260353135
"(2013, 2)",9.240799707608256,16,50.0,2.3781082673525016,-1.2230083039014692,-6.964610869143964,1.3268221127110957
"(2013, 3)",30.242157433773073,15,86.66666666666667,2.53081183789968,-1.329198229461384,-2.658396458922768,11.3760900230915
"(2013, 4)",0.42526629374525926,15,20.0,2.9777147773313426,-0.7089898365207307,-4.785671744482309,0.08886240353521416
"(2013, 5)",34.07897717185928,16,87.5,2.5754079655176736,-0.988367172694075,-1.9767343453881523,17.24003898215646
"(2013, 6)",1.2975882355555814,16,62.5,1.8613000243981521,-2.885902001404323,-11.494786838546815,0.1128849324290405
"(2013, 7)",7.871549138458286,15,40.0,3.075946354912949,-1.1760143323354895,-5.859344124759616,1.343418131936605
"(2013, 8)",2.6928249085242975,14,57.14285714285714,1.9775827591337172,-2.1879728607575735,-9.373204759670362,0.28728967066958633
"(2013, 9)",8.982912153599461,12,75.0,1.5316178253314412,-1.6005494247945027,-4.498280896488878,1.9969655875894834
"(2013, 10)",11.317464069153424,12,75.0,1.4290374012739429,-0.5146241807706867,-0.8351387863417159,13.551596757622784
"(2013, 11)",21.979044714101462,14,78.57142857142857,2.042546352087685,-0.16298838628769274,-0.395510869171103,55.57127863556399
"(2013, 12)",-1.7534450151157122,15,53.333333333333336,1.0200437060285032,-1.4162563804776769,-6.783075030221111,-0.25850296617735546
"(2014, 1)",0.16303956993952481,1,100.0,0.16303956993952481,,0.0,inf
"(2014, 2)",1.7713731825596322,1,100.0,1.7713731825596322,,0.0,inf
"(2014, 3)",-1.12645398840109,1,0.0,,-1.12645398840109,0.0,-inf
"(2014, 4)",0.017923851303840155,1,100.0,0.017923851303840155,,0.0,inf
"(2014, 5)",2.0681525977708026,1,100.0,2.0681525977708026,,0.0,inf
