,Signal Generated At,Stock Name,Entry Date,Entry Time,Entry Price,Initial SL,Initial Target,Exit Date,Exit Time,Exit Price,Remark,Points Captured,After Costs,Qty,PnL,ROI%,Trade Year,Trade Month
0,2014-06-03 12:15:00,RELIANCE,2014-06-03,13:15:00,494.480442,477.17362653,563.70770388,2014-06-05,09:15:00,479.88929,SuperTrend Reversed,-14.591151999999965,-15.565521731999965,2022.3246766957066,-31478.538704266823,-3.1478538704266827,2014,6
1,2014-06-06 11:15:00,RELIANCE,2014-06-06,12:15:00,503.158693,485.548138745,573.6009100200001,2014-06-13,11:15:00,489.556771,SuperTrend Reversed,-13.601922000000002,-14.594637464000002,1987.4445456515245,-29006.032623588202,-2.9006032623588203,2014,6
2,2014-06-17 14:15:00,RELIANCE,2014-06-17,15:15:00,491.355373,474.15793494499997,560.1451252200001,2014-06-18,15:15:00,477.888346,SuperTrend Reversed,-13.467026999999973,-14.436270718999973,2035.1868626050418,-29380.508512318585,-2.938050851231859,2014,6
3,2014-06-24 09:15:00,RELIANCE,2014-06-24,10:15:00,475.010584,458.38521355999995,541.51206576,2014-06-26,09:15:00,459.407718,SuperTrend Reversed,-15.602866000000006,-16.537284302000007,2105.2162492446696,-34814.55963094921,-3.481455963094921,2014,6
4,2014-07-04 15:15:00,RELIANCE,2014-07-07,09:15:00,465.792753,449.490006645,531.0037384200001,2014-07-08,13:15:00,451.336495,SuperTrend Reversed,-14.456257999999991,-15.373387247999991,2146.8775406215905,-33004.779806009545,-3.300477980600954,2014,7
5,2014-07-16 11:15:00,RELIANCE,2014-07-16,12:15:00,444.704153,429.139507645,506.96273442000006,2014-07-25,12:15:00,455.585691,SuperTrend Reversed,10.881537999999978,9.981248155999978,2248.685993269777,22444.69292374694,2.2444692923746943,2014,7
6,2014-08-06 13:15:00,RELIANCE,2014-08-06,14:15:00,448.728523,433.023024695,511.5505162200001,2014-08-20,14:15:00,449.425481,SuperTrend Reversed,0.6969579999999951,-0.20119600400000492,2228.5189123134924,-448.36909999591205,-0.0448369099995912,2014,8
7,2014-08-28 12:15:00,RELIANCE,2014-08-28,13:15:00,449.650307,433.912546255,512.60134998,2014-09-10,10:15:00,458.216145,SuperTrend Reversed,8.565837999999985,7.657971547999985,2223.9504442282077,17030.94922606154,1.703094922606154,2014,8
8,2014-09-18 09:15:00,RELIANCE,2014-09-18,10:15:00,450.279817,434.52002340499996,513.31899138,2014-09-23,10:15:00,441.624049,SuperTrend Reversed,-8.655767999999966,-9.547671865999966,2220.8412685750027,-21203.86369882523,-2.120386369882523,2014,9
9,2014-10-09 09:15:00,RELIANCE,2014-10-09,10:15:00,425.72891,410.82839815,485.33095740000005,2014-10-16,12:15:00,424.424924,SuperTrend Reversed,-1.303986000000009,-2.154139834000009,2348.9125979252854,-5059.886193775304,-0.5059886193775304,2014,10
10,2014-10-22 11:15:00,RELIANCE,2014-10-22,12:15:00,427.392616,412.43387443999995,487.22758224,2014-10-28,09:15:00,419.568701,SuperTrend Reversed,-7.8239149999999995,-8.670876317,2339.769014633608,-20287.847736236978,-2.028784773623698,2014,10
11,2014-10-29 12:15:00,RELIANCE,2014-10-29,13:15:00,426.718141,411.783006065,486.45868074000003,2014-11-07,11:15:00,442.141146,SuperTrend Reversed,15.42300499999999,14.55414571299999,2343.467277150516,34107.16422529594,3.4107164225295943,2014,10
12,2014-11-17 14:15:00,RELIANCE,2014-11-17,15:15:00,443.714923,428.184900695,505.83501222000007,2014-11-20,09:15:00,437.959399,SuperTrend Reversed,-5.75552399999998,-6.63719832199998,2253.6992743874875,-14958.249042257205,-1.4958249042257203,2014,11
13,2014-11-21 10:15:00,RELIANCE,2014-11-21,11:15:00,445.558489,429.963941885,507.93667746000006,2014-11-25,11:15:00,439.982825,SuperTrend Reversed,-5.5756640000000175,-6.461205314000018,2244.3742509414965,-14501.362836788006,-1.4501362836788008,2014,11
14,2014-11-28 15:15:00,RELIANCE,2014-12-01,09:15:00,445.895727,430.289376555,508.3211287800001,2014-12-01,10:15:00,440.769713,SuperTrend Reversed,-5.126013999999998,-6.012679439999998,2242.6767951512575,-13484.496656771053,-1.3484496656771052,2014,12
15,2014-12-19 10:15:00,RELIANCE,2014-12-19,11:15:00,405.472164,391.28063826,462.2382669600001,2014-12-24,14:15:00,396.32178,SuperTrend Reversed,-9.150384000000031,-9.95217794400003,2466.2605445832774,-24544.663795959197,-2.4544663795959196,2014,12
16,2015-01-01 10:15:00,RELIANCE,2015-01-01,11:15:00,398.637479,384.685167235,454.44672606000006,2015-01-05,14:15:00,393.893669,SuperTrend Reversed,-4.743809999999996,-5.536341147999996,2508.5448626369625,-13888.160144621015,-1.3888160144621016,2015,1
17,2015-01-07 15:15:00,RELIANCE,2015-01-08,09:15:00,385.799963,372.29696429499995,439.81195782000003,2015-01-14,10:15:00,376.334824,SuperTrend Reversed,-9.465138999999965,-10.227273786999966,2592.016837492543,-26509.265857550035,-2.6509265857550037,2015,1
18,2015-01-15 10:15:00,RELIANCE,2015-01-15,11:15:00,382.877236,369.47653274,436.48004904000004,2015-01-22,13:15:00,396.23185,SuperTrend Reversed,13.354614000000026,12.575504914000026,2611.803225616683,32844.74429814372,3.284474429814372,2015,1
19,2015-01-28 14:15:00,RELIANCE,2015-01-28,15:15:00,408.237513,393.94920004499994,465.39076482,2015-02-06,12:15:00,409.653912,SuperTrend Reversed,1.4163990000000126,0.5985075750000126,2449.5544092735054,1466.0768693248742,0.1466076869324874,2015,1
20,2015-02-13 10:15:00,RELIANCE,2015-02-13,11:15:00,411.564926,397.16015359,469.18401564000004,2015-02-19,10:15:00,401.357864,SuperTrend Reversed,-10.207062000000008,-11.019984790000008,2429.7502941249177,-26775.811284754636,-2.6775811284754636,2015,2
21,2015-02-27 15:15:00,RELIANCE,2015-02-28,09:15:00,387.148914,373.59870200999995,441.34976196,2015-03-09,13:15:00,392.859473,SuperTrend Reversed,5.710558999999989,4.93055061299999,2582.9854194037594,12735.540343011242,1.2735540343011242,2015,2
22,2015-03-17 14:15:00,RELIANCE,2015-03-17,15:15:00,386.474439,372.947833635,440.58086046000005,2015-03-20,11:15:00,382.787306,SuperTrend Reversed,-3.687133000000017,-4.456394745000017,2587.493244281545,-11530.891296539321,-1.153089129653932,2015,3
23,2015-03-31 11:15:00,RELIANCE,2015-03-31,12:15:00,372.760104,359.71350036,424.9465185600001,2015-04-20,10:15:00,408.642199,SuperTrend Reversed,35.88209499999999,35.10069269699999,2682.6905274176015,94164.29580403806,9.416429580403808,2015,3
24,2015-05-04 10:15:00,RELIANCE,2015-05-04,11:15:00,393.421536,379.65178224,448.50055104000006,2015-05-07,10:15:00,388.655243,SuperTrend Reversed,-4.766293000000019,-5.548369779000019,2541.8028971347417,-14102.862378637095,-1.4102862378637095,2015,5
25,2015-05-11 13:15:00,RELIANCE,2015-05-11,14:15:00,402.886675,388.785641375,459.2908095000001,2015-05-12,10:15:00,391.173284,SuperTrend Reversed,-11.713391000000001,-12.507450959000002,2482.0875498054133,-31044.58830513568,-3.104458830513568,2015,5
26,2015-05-18 15:15:00,RELIANCE,2015-05-19,09:15:00,401.492759,387.44051243499996,457.70174526000005,2015-05-26,13:15:00,399.851535,SuperTrend Reversed,-1.6412239999999656,-2.4425682939999653,2490.7049444445897,-6083.7169270093,-0.6083716927009301,2015,5
