,Stock Name,Entry Date,Entry Price,Exit Date,Exit Price,Points Captured,Qty,PnL,ROI%,Pct Change on Stock,Trade Year,Trade Number
0,FEDERAL BANK,2011-04-01,42.235001,2011-05-02,44.720001,2.4850000000000065,23677.044544168475,58837.455692258816,5.883745569225882,5.883745569225882,2011,1
1,FEDERAL BANK,2011-05-02,44.720001,2011-06-01,45.57,0.8499989999999968,23677.044544168475,20125.464185498586,2.0125464185498583,1.9007132848677637,2011,1
2,FEDERAL BANK,2011-06-01,45.57,2011-07-01,42.654999,-2.9150010000000037,23677.044544168475,-69018.60852329574,-6.901860852329573,-6.396754443712978,2011,1
3,FEDERAL BANK,2011-07-01,42.654999,2011-08-01,37.09,-5.564998999999993,23677.044544168475,-131762.72921125285,-13.176272921125284,-13.046534123702576,2011,1
4,FEDERAL BANK,2012-03-01,43.25,2012-04-02,42.355,-0.8950000000000031,23121.387283236993,-20693.641618497182,-2.0693641618497183,-2.0693641618497183,2012,2
5,FEDERAL BANK,2012-04-02,42.355,2012-05-02,42.209999,-0.1450009999999935,23121.387283236993,-3352.6242774564967,-0.3352624277456497,-0.3423468303623976,2012,2
6,FEDERAL BANK,2012-05-02,42.209999,2012-06-01,45.130001,2.9200019999999967,23121.387283236993,67514.49710982651,6.751449710982651,6.917796894522543,2012,2
7,FEDERAL BANK,2012-06-01,45.130001,2012-07-02,41.580002,-3.5499989999999997,23121.387283236993,-82080.90173410403,-8.208090173410403,-7.866162023794327,2012,2
8,FEDERAL BANK,2012-07-02,41.580002,2012-08-01,40.994999,-0.5850030000000004,23121.387283236993,-13526.0809248555,-1.35260809248555,-1.4069335542600512,2012,2
9,FEDERAL BANK,2012-08-01,40.994999,2012-09-03,44.790001,3.7950019999999967,23121.387283236993,87745.71098265887,8.774571098265888,9.257231595492895,2012,2
10,FEDERAL BANK,2012-09-03,44.790001,2012-10-01,48.575001,3.7850000000000037,23121.387283236993,87514.4508670521,8.75144508670521,8.450546808427184,2012,2
11,FEDERAL BANK,2012-10-01,48.575001,2012-11-01,48.424999,-0.15000200000000063,23121.387283236993,-3468.25433526013,-0.346825433526013,-0.3088049344558956,2012,2
12,FEDERAL BANK,2012-11-01,48.424999,2012-12-03,54.27,5.845001000000003,23121.387283236993,135144.5317919076,13.514453179190758,12.070213981831994,2012,2
13,FEDERAL BANK,2012-12-03,54.27,2013-01-01,50.895,-3.375,23121.387283236993,-78034.68208092485,-7.803468208092484,-6.218905472636815,2012,2
14,FEDERAL BANK,2013-01-01,50.895,2013-02-01,49.43,-1.4650000000000034,23121.387283236993,-33872.832369942276,-3.387283236994228,-2.8784752922684023,2012,2
15,FEDERAL BANK,2013-02-01,49.43,2013-03-01,48.32,-1.1099999999999994,23121.387283236993,-25664.73988439305,-2.566473988439305,-2.2455998381549653,2012,2
16,FEDERAL BANK,2013-03-01,48.32,2013-04-01,45.725002,-2.594997999999997,23121.387283236993,-59999.953757225354,-5.999995375722535,-5.370442880794695,2012,2
17,FEDERAL BANK,2013-10-01,41.5,2013-11-01,39.875,-1.625,24096.385542168675,-39156.6265060241,-3.91566265060241,-3.91566265060241,2013,3
18,FEDERAL BANK,2013-11-01,39.875,2013-12-02,42.5,2.625,24096.385542168675,63253.01204819277,6.325301204819277,6.583072100313479,2013,3
19,FEDERAL BANK,2013-12-02,42.5,2014-01-01,40.025002,-2.4749979999999994,24096.385542168675,-59638.50602409637,-5.963850602409638,-5.823524705882352,2013,3
20,FEDERAL BANK,2014-01-01,40.025002,2014-02-03,38.650002,-1.375,24096.385542168675,-33132.530120481926,-3.3132530120481922,-3.4353527327743794,2013,3
21,FEDERAL BANK,2014-02-03,38.650002,2014-03-03,48.075001,9.424999,24096.385542168675,227108.4096385542,22.71084096385542,24.38550714693365,2013,3
22,FEDERAL BANK,2014-03-03,48.075001,2014-04-01,45.5,-2.5750010000000003,24096.385542168675,-62048.216867469884,-6.204821686746988,-5.356216217239393,2013,3
23,FEDERAL BANK,2014-04-01,45.5,2014-05-02,58.25,12.75,24096.385542168675,307228.9156626506,30.72289156626506,28.021978021978022,2013,3
24,FEDERAL BANK,2014-05-02,58.25,2014-06-02,66.525002,8.275002,24096.385542168675,199397.6385542169,19.93976385542169,14.206012017167383,2013,3
25,FEDERAL BANK,2014-06-02,66.525002,2014-07-01,60.349998,-6.175004000000001,24096.385542168675,-148795.27710843377,-14.879527710843377,-9.282230461263273,2013,3
26,FEDERAL BANK,2014-07-01,60.349998,2014-08-01,60.724998,0.375,24096.385542168675,9036.144578313253,0.9036144578313252,0.6213753312800442,2013,3
27,FEDERAL BANK,2014-08-01,60.724998,2014-09-01,63.150002,2.4250040000000013,24096.385542168675,58433.83132530124,5.843383132530124,3.9934196457281095,2013,3
28,FEDERAL BANK,2014-09-01,63.150002,2014-10-01,71.375,8.224998,24096.385542168675,198192.72289156626,19.819272289156626,13.024541155200595,2013,3
29,FEDERAL BANK,2014-10-01,71.375,2014-11-03,76.224998,4.849997999999999,24096.385542168675,116867.42168674698,11.686742168674698,6.795093520140104,2013,3
30,FEDERAL BANK,2014-11-03,76.224998,2014-12-01,76.449997,0.22499899999999684,24096.385542168675,5421.662650602334,0.5421662650602334,0.29517744296955817,2013,3
31,FEDERAL BANK,2014-12-01,76.449997,2015-01-01,71.199997,-5.25,24096.385542168675,-126506.02409638555,-12.650602409638553,-6.867233755417937,2013,3
32,FEDERAL BANK,2015-01-01,71.199997,2015-02-02,71.849998,0.6500010000000032,24096.385542168675,15662.674698795257,1.5662674698795256,0.9129227912748412,2013,3
33,FEDERAL BANK,2015-02-02,71.849998,2015-03-02,66.300003,-5.549994999999996,24096.385542168675,-133734.81927710833,-13.37348192771083,-7.724419143338035,2013,3
34,FEDERAL BANK,2015-03-02,66.300003,2015-04-01,66.150002,-0.15000100000000316,24096.385542168675,-3614.4819277109195,-0.36144819277109197,-0.226245841949665,2013,3
35,FEDERAL BANK,2015-04-01,66.150002,2015-05-04,71.699997,5.549994999999996,24096.385542168675,133734.81927710833,13.37348192771083,8.390014863491608,2013,3
36,FEDERAL BANK,2015-05-04,71.699997,2015-06-01,74.050003,2.3500060000000076,24096.385542168675,56626.65060240982,5.662665060240982,3.277553833091524,2013,3
37,FEDERAL BANK,2015-06-01,74.050003,2015-07-01,68.25,-5.800003000000004,24096.385542168675,-139759.10843373503,-13.975910843373503,-7.832549311307933,2013,3
38,FEDERAL BANK,2015-07-01,68.25,2015-08-03,61.7,-6.549999999999997,24096.385542168675,-157831.32530120475,-15.783132530120476,-9.597069597069593,2013,3
39,FEDERAL BANK,2016-06-01,57.7,2016-07-01,64.9,7.200000000000003,17331.02253032929,124783.36221837094,12.478336221837093,12.478336221837093,2016,4
40,FEDERAL BANK,2016-07-01,64.9,2016-08-01,69.05,4.1499999999999915,17331.02253032929,71923.7435008664,7.192374350086641,6.394453004622483,2016,4
41,FEDERAL BANK,2016-08-01,69.05,2016-09-01,72.5,3.450000000000003,17331.02253032929,59792.0277296361,5.97920277296361,4.996379435191894,2016,4
42,FEDERAL BANK,2016-09-01,72.5,2016-10-03,82.5,10.0,17331.02253032929,173310.22530329291,17.33102253032929,13.793103448275861,2016,4
43,FEDERAL BANK,2016-10-03,82.5,2016-11-01,71.2,-11.299999999999997,17331.02253032929,-195840.55459272093,-19.584055459272093,-13.696969696969694,2016,4
44,FEDERAL BANK,2016-11-01,71.2,2016-12-01,67.05,-4.150000000000006,17331.02253032929,-71923.74350086665,-7.1923743500866655,-5.828651685393266,2016,4
45,FEDERAL BANK,2017-02-01,87.95,2017-03-01,91.6,3.6499999999999915,11370.09664582149,41500.85275724834,4.150085275724835,4.150085275724834,2017,5
46,FEDERAL BANK,2017-03-01,91.6,2017-04-03,108.4,16.80000000000001,11370.09664582149,191017.62364980116,19.101762364980114,18.340611353711804,2017,5
47,FEDERAL BANK,2017-04-03,108.4,2017-05-02,111.8,3.3999999999999915,11370.09664582149,38658.32859579297,3.865832859579297,3.1365313653136453,2017,5
48,FEDERAL BANK,2017-05-02,111.8,2017-06-01,112.5,0.7000000000000028,11370.09664582149,7959.067652075075,0.7959067652075075,0.6261180679785356,2017,5
