,Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Qty,PnL,ROI%,Trade Year,Slippage in pts,PnL w cs,ROI% w cs
0,2017-01-02,18323.0,17831.75,491.25,18314.25,20%,18412.5,18216.0,high,18200,2017-01-19,9,BANKNIFTY1711918200PE,2017-01-10 15:17:00,93.4,2017-01-13 15:20:00,7.6,Friday Closing,85.80000000000001,325.86558044806515,27959.26680244399,2.795926680244399,2017,1.01,27630.142566191447,2.7630142566191447
1,2017-01-09,18965.7,18257.75,707.9500000000007,18899.7,20%,19041.29,18758.11,high,18800,2017-01-25,9,BANKNIFTY17JAN18800PE,2017-01-16 12:54:00,88.85,2017-01-20 15:20:00,107.35,Friday Closing,-18.5,315.10470141466254,-5829.436976171257,-0.5829436976171257,2017,1.962,-6447.672400346824,-0.6447672400346824
2,2017-01-23,19794.9,18725.05,1069.8500000000022,19718.8,20%,19932.77,19504.829999999998,high,19500,2017-02-09,8,BANKNIFTY1720919500PE,2017-02-01 13:06:00,100.0,2017-02-03 15:20:00,12.8,Friday Closing,87.2,301.0118513382736,26248.233436697457,2.6248233436697457,2017,1.128,25908.692068387885,2.5908692068387884
3,2017-01-23,19794.9,18725.05,1069.8500000000022,19718.8,20%,19932.77,19504.829999999998,low,19900,2017-02-09,9,BANKNIFTY1720919900CE,2017-01-31 09:25:00,164.0,2017-02-01 13:02:00,197.05,SL Hit,-33.05000000000001,301.0118513382736,-9948.441686729944,-0.9948441686729945,2017,3.6105,-11035.244975986781,-1.1035244975986782
4,2017-01-30,20228.95,19435.75,793.2000000000007,20307.15,20%,20465.79,20148.510000000002,low,20500,2017-02-16,8,BANKNIFTY1721620500CE,2017-02-08 14:30:00,83.0,2017-02-08 14:45:00,97.8,SL Hit,-14.799999999999997,293.17216682082636,-4338.94806894823,-0.43389480689482296,2017,1.808,-4869.003346560284,-0.4869003346560284
5,2017-02-06,20461.3,20001.1,460.2000000000007,20273.65,20%,20365.690000000002,20181.61,high,20200,2017-02-23,8,BANKNIFTY17FEB20200PE,2017-02-15 09:39:00,108.0,2017-02-17 15:20:00,43.0,Friday Closing,65.0,294.6131459331846,19149.854485657,1.9149854485657,2017,1.51,18704.98863529789,1.870498863529789
6,2017-02-06,20461.3,20001.1,460.2000000000007,20273.65,20%,20365.690000000002,20181.61,low,20400,2017-02-23,10,BANKNIFTY17FEB20400CE,2017-02-13 12:15:00,127.7,2017-02-17 09:15:00,299.65,SL Hit,-171.95,294.6131459331846,-50658.73044321109,-5.065873044321108,2017,4.273499999999999,-51917.75972235655,-5.191775972235655
7,2017-02-13,21031.65,20088.4,943.25,20494.85,20%,20683.5,20306.199999999997,high,20300,2017-03-02,10,BANKNIFTY1730220300PE,2017-02-20 15:16:00,78.0,2017-02-24 15:20:00,18.5,Friday Closing,59.5,290.0863006744506,17260.13489012981,1.726013489012981,2017,0.965,16980.201609978965,1.6980201609978964
8,2017-02-20,21011.9,20474.85,537.0500000000029,20853.45,20%,20960.86,20746.04,low,21000,2017-03-09,10,BANKNIFTY1730921000CE,2017-02-27 09:35:00,119.9,2017-03-03 15:20:00,20.35,Friday Closing,99.55000000000001,286.2477970846616,28495.968199778068,2.849596819977807,2017,1.4025,28094.50566436683,2.809450566436683
9,2017-02-27,20901.0,20423.7,477.2999999999993,20548.95,20%,20644.41,20453.49,high,20500,2017-03-16,10,BANKNIFTY1731620500PE,2017-03-06 09:30:00,163.85,2017-03-10 15:20:00,120.0,Friday Closing,43.849999999999994,290.6355764102728,12744.37002559046,1.2744370025590461,2017,2.8385000000000002,11919.400941949902,1.19194009419499
10,2017-03-13,21316.85,21062.0,254.84999999999854,21202.55,20%,21253.52,21151.579999999998,low,21300,2017-03-30,10,BANKNIFTY17MAR21300CE,2017-03-20 09:16:00,150.95,2017-03-24 15:20:00,69.0,Friday Closing,81.94999999999999,282.3061779883991,23134.991286149303,2.3134991286149305,2017,2.1995,22514.05884766382,2.2514058847663816
