,Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Qty,PnL,ROI%,Trade Year,Slippage in pts,PnL w cs,ROI% w cs,Cumulative ROI%,Running Max ROI%,Drawdown
0,2019-12-27,32463.1,32058.55,404.5499999999993,32326.95,50%,32529.225,32124.675000000003,low,32500,2020-01-09,6,BANKNIFTY2010932500CE,CE,2020-01-03 11:03:00,99.95,2020-01-08 15:20:00,0.05,Expiry Closing,99.9,199.8203154240533,19962.049510862926,1.9962049510862925,2020,1.0,19762.22919543887,1.976222919543887,1.976222919543887,1.976222919543887,0.0
1,2020-01-10,32345.2,31671.5,673.7000000000007,31571.65,50%,31908.5,31234.800000000003,high,31200,2020-01-23,3,BANKNIFTY2012331200PE,PE,2020-01-20 09:15:00,70.4,2020-01-20 09:21:00,78.65,SL Hit,-8.25,203.70747606437158,-1680.5866775310656,-0.16805866775310657,2020,1.4905000000000002,-1984.2126706050115,-0.19842126706050114,1.7778016524833857,1.976222919543887,-0.19842126706050123
2,2020-01-10,32345.2,31671.5,673.7000000000007,31571.65,50%,31908.5,31234.800000000003,low,31900,2020-01-23,3,BANKNIFTY2012331900CE,CE,2020-01-20 13:00:00,63.9,2020-01-22 15:20:00,0.05,Expiry Closing,63.85,203.70747606437158,13006.722346710125,1.3006722346710125,2020,0.6395,12876.45141576696,1.2876451415766959,3.0654467940600814,3.0654467940600814,0.0
3,2020-01-24,31374.15,30522.05,852.1000000000022,30950.5,50%,31376.550000000003,30524.449999999997,low,31400,2020-02-06,5,BANKNIFTY2020631400CE,CE,2020-02-01 09:15:00,228.95,2020-02-05 15:20:00,0.15,Expiry Closing,228.79999999999998,207.16108048845393,47398.45521575826,4.739845521575826,2020,2.291,46923.84918035921,4.692384918035921,7.757831712096002,7.757831712096002,0.0
4,2020-02-07,31598.55,30958.35,640.2000000000007,31281.85,50%,31601.949999999997,30961.75,low,31600,2020-02-20,6,BANKNIFTY2022031600CE,CE,2020-02-14 10:55:00,44.0,2020-02-19 15:20:00,0.05,Expiry Closing,43.95,205.68351003656423,9039.790266106998,0.9039790266106998,2020,0.4405,8949.186679935892,0.8949186679935892,8.652750380089591,8.652750380089591,0.0
5,2020-02-21,30702.15,29918.85,783.3000000000029,29501.55,50%,29893.2,29109.899999999998,low,29900,2020-03-05,6,BANKNIFTY2030529900CE,CE,2020-02-28 15:00:00,129.2,2020-03-04 15:20:00,0.1,Expiry Closing,129.1,217.44075575716215,28071.601568249633,2.8071601568249633,2020,1.293,27790.450671055623,2.7790450671055624,11.431795447195153,11.431795447195153,0.0
6,2020-02-28,29778.65,28125.45,1653.2000000000007,27649.95,50%,28476.550000000003,26823.35,low,28500,2020-03-12,3,BANKNIFTY2031228500CE,CE,2020-03-09 09:37:00,33.1,2020-03-11 15:20:00,0.2,Expiry Closing,32.9,228.25798771269692,7509.687795747728,0.7509687795747728,2020,0.3330000000000001,7433.6778858394,0.74336778858394,12.175163235779094,12.175163235779094,0.0
7,2020-03-06,28042.5,23613.1,4429.4000000000015,22720.75,50%,24935.45,20506.05,high,20500,2020-03-19,6,BANKNIFTY2031920500PE,PE,2020-03-13 12:37:00,297.05,2020-03-16 09:24:00,297.05,SL Hit,0.0,260.67305783533084,0.0,0.0,2020,5.941000000000001,-1548.6586365997007,-0.15486586365997004,12.020297372119124,12.175163235779094,-0.15486586365996935
8,2020-03-06,28042.5,23613.1,4429.4000000000015,22720.75,50%,24935.45,20506.05,low,24900,2020-03-19,1,BANKNIFTY2031924900CE,CE,2020-03-18 12:32:00,9.0,2020-03-18 15:20:00,0.1,Expiry Closing,8.9,260.67305783533084,2319.9902147344446,0.23199902147344448,2020,0.091,2296.2689664714294,0.22962689664714295,12.249924268766268,12.249924268766268,0.0
9,2020-03-13,25654.95,18680.65,6974.299999999999,19898.3,50%,23385.449999999997,16411.15,low,23400,2020-03-26,2,BANKNIFTY20MAR23400CE,CE,2020-03-24 09:52:00,34.05,2020-03-25 15:20:00,1.0,Expiry Closing,33.05,277.9506060392253,9186.267529596396,0.9186267529596397,2020,0.3505,9088.845842179648,0.9088845842179648,13.158808852984233,13.158808852984233,0.0
