,Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Buy Strike,Sell Strike,Expiry,DTE,Buy Contract,Sell Contract,Option Types,Entry Time,Buy Strike Entry Price,Sell Strike Entry Price,Exit Time,Buy Strike Exit Price,Sell Strike Exit Price,Debit,Max Profit,Max Loss,Remark,Points,Slippage,Points w cs,Qty,PnL,PnL w cs,ROI%,ROI% w cs,Trade Year
0,2022-12-30,43577.35,42300.6,1276.75,42649.7,20%,42905.049999999996,42394.35,low,42400,42300,2023-01-12,6,BANKNIFTY2311242400PE,BANKNIFTY2311242300PE,PE,2023-01-06 09:58:00,325.6,282.65,2023-01-12 15:30:00,312.5,212.85,42.950000000000045,8092.1985815602775,6092.19858156029,Expiry Closing,56.69999999999996,0,56.69999999999996,141.84397163120568,8042.553191489356,8042.553191489356,0.8042553191489357,0.8042553191489357,2023
1,2023-01-06,42711.15,41731.0,980.1500000000015,42171.25,20%,42367.28,41975.22,high,42400,42500,2023-01-19,6,BANKNIFTY2311942400CE,BANKNIFTY2311942500CE,CE,2023-01-13 13:22:00,350.0,298.45,2023-01-19 15:30:00,0.15,0.05,51.55000000000001,6839.999999999999,7277.647058823532,Expiry Closing,-51.450000000000045,0,-51.450000000000045,141.1764705882353,-7263.529411764713,-7263.529411764713,-0.7263529411764713,-0.7263529411764713,2023
2,2023-01-06,42711.15,41731.0,980.1500000000015,42171.25,20%,42367.28,41975.22,low,42000,41900,2023-01-19,6,BANKNIFTY2311942000PE,BANKNIFTY2311941900PE,PE,2023-01-13 09:18:00,373.85,330.0,2023-01-19 15:30:00,0.15,0.1,43.85000000000002,8040.5727923627655,6279.236276849646,Expiry Closing,-43.80000000000007,0,-43.80000000000007,143.1980906921241,-6272.076372315046,-6272.076372315046,-0.6272076372315045,-0.6272076372315045,2023
3,2023-01-13,42712.3,41863.0,849.3000000000029,42516.05,20%,42685.91,42346.19,high,42700,42800,2023-01-25,5,BANKNIFTY23JAN42700CE,BANKNIFTY23JAN42800CE,CE,2023-01-20 10:18:00,275.6,225.35,2023-01-25 15:30:00,0.2,0.3,50.25000000000003,6974.299065420557,7044.3925233644895,Expiry Closing,-50.35000000000005,0,-50.35000000000005,140.18691588785046,-7058.4112149532775,-7058.4112149532775,-0.7058411214953279,-0.7058411214953279,2023
4,2023-01-13,42712.3,41863.0,849.3000000000029,42516.05,20%,42685.91,42346.19,low,42300,42200,2023-01-25,0,BANKNIFTY23JAN42300PE,BANKNIFTY23JAN42200PE,PE,2023-01-25 09:52:00,80.3,51.1,2023-01-25 15:30:00,653.2,552.35,29.199999999999996,10066.350710900475,4151.658767772511,Expiry Closing,71.65000000000009,0,71.65000000000009,142.18009478672985,10187.203791469206,10187.203791469206,1.0187203791469206,1.0187203791469206,2023
5,2023-01-20,43077.0,41541.25,1535.75,41382.35,20%,41689.5,41075.2,high,41700,41800,2023-02-02,1,BANKNIFTY2320241700CE,BANKNIFTY2320241800CE,CE,2023-02-01 12:49:00,287.3,237.9,2023-02-02 15:30:00,0.1,0.1,49.400000000000006,7263.157894736841,7090.909090909091,Expiry Closing,-49.39999999999998,0,-49.39999999999998,143.54066985645932,-7090.909090909087,-7090.909090909087,-0.7090909090909087,-0.7090909090909087,2023
6,2023-01-20,43077.0,41541.25,1535.75,41382.35,20%,41689.5,41075.2,low,41100,41000,2023-02-02,6,BANKNIFTY2320241100PE,BANKNIFTY2320241000PE,PE,2023-01-27 09:16:00,500.0,456.0,2023-02-02 15:30:00,434.25,335.0,44.0,8195.121951219513,6439.024390243902,Expiry Closing,55.25,0,55.25,146.34146341463415,8085.365853658536,8085.365853658536,0.8085365853658536,0.8085365853658536,2023
7,2023-01-27,42011.2,39421.1,2590.0999999999985,41019.35,20%,41537.369999999995,40501.33,high,41500,41600,2023-02-09,6,BANKNIFTY2320941500CE,BANKNIFTY2320941600CE,CE,2023-02-03 15:14:00,397.7,343.4,2023-02-09 15:30:00,48.8,0.2,54.30000000000001,6591.346153846152,7831.73076923077,Expiry Closing,-5.699999999999989,0,-5.699999999999989,144.23076923076923,-822.1153846153829,-822.1153846153829,-0.0822115384615383,-0.0822115384615383,2023
8,2023-02-03,41789.25,40615.9,1173.3499999999985,41452.4,20%,41687.07,41217.73,high,41700,41800,2023-02-16,2,BANKNIFTY2321641700CE,BANKNIFTY2321641800CE,CE,2023-02-14 14:35:00,240.45,191.25,2023-02-16 15:30:00,0.1,0.1,49.19999999999999,7291.866028708135,7062.200956937797,Expiry Closing,-49.19999999999999,0,-49.19999999999999,143.54066985645932,-7062.200956937797,-7062.200956937797,-0.7062200956937796,-0.7062200956937796,2023
9,2023-02-03,41789.25,40615.9,1173.3499999999985,41452.4,20%,41687.07,41217.73,low,41200,41100,2023-02-16,3,BANKNIFTY2321641200PE,BANKNIFTY2321641100PE,PE,2023-02-13 12:16:00,273.55,229.5,2023-02-16 15:30:00,0.15,0.1,44.05000000000001,8167.883211678831,6430.656934306571,Expiry Closing,-44.00000000000003,0,-44.00000000000003,145.98540145985402,-6423.357664233581,-6423.357664233581,-0.6423357664233581,-0.6423357664233581,2023
