,Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points
0,2017-01-02,18323.0,17831.75,491.25,18314.25,25%,18437.0625,18191.4375,high,18400,2017-01-19,9,BANKNIFTY1711918400PE,2017-01-10 15:27:00,158.0,2017-01-13 15:20:00,15.5,Friday Closing,142.5
1,2017-01-09,18965.7,18257.75,707.9500000000007,18899.7,25%,19076.6875,18722.7125,high,19100,2017-01-25,9,BANKNIFTY17JAN19100PE,2017-01-16 13:26:00,176.25,2017-01-20 15:20:00,279.55,Friday Closing,-103.30000000000001
2,2017-01-23,19794.9,18725.05,1069.8500000000022,19718.8,25%,19986.2625,19451.337499999998,high,20000,2017-02-09,8,BANKNIFTY1720920000PE,2017-02-01 14:53:00,218.5,2017-02-03 15:20:00,82.05,Friday Closing,136.45
3,2017-01-23,19794.9,18725.05,1069.8500000000022,19718.8,25%,19986.2625,19451.337499999998,low,19500,2017-02-09,9,BANKNIFTY1720919500CE,2017-01-31 09:34:00,329.7,2017-02-01 13:02:00,437.05,SL Hit,-107.35000000000002
4,2017-01-30,20228.95,19435.75,793.2000000000007,20307.15,25%,20505.45,20108.850000000002,low,20100,2017-02-16,8,BANKNIFTY1721620100CE,2017-02-08 14:34:00,238.5,2017-02-08 14:45:00,265.35,SL Hit,-26.850000000000023
5,2017-02-06,20461.3,20001.1,460.2000000000007,20273.65,25%,20388.7,20158.600000000002,high,20400,2017-02-23,6,BANKNIFTY17FEB20400PE,2017-02-17 09:15:00,100.0,2017-02-17 15:20:00,89.35,Friday Closing,10.650000000000006
6,2017-02-06,20461.3,20001.1,460.2000000000007,20273.65,25%,20388.7,20158.600000000002,low,20200,2017-02-23,10,BANKNIFTY17FEB20200CE,2017-02-13 12:19:00,203.0,2017-02-17 09:15:00,438.95,SL Hit,-235.95
7,2017-02-13,21031.65,20088.4,943.25,20494.85,25%,20730.6625,20259.0375,high,20700,2017-03-02,9,BANKNIFTY1730220700PE,2017-02-21 14:12:00,178.8,2017-02-24 15:20:00,88.0,Friday Closing,90.80000000000001
8,2017-02-20,21011.9,20474.85,537.0500000000029,20853.45,25%,20987.7125,20719.1875,low,20700,2017-03-09,10,BANKNIFTY1730920700CE,2017-02-27 10:10:00,240.55,2017-03-03 15:20:00,79.65,Friday Closing,160.9
9,2017-02-27,20901.0,20423.7,477.2999999999993,20548.95,25%,20668.275,20429.625,high,20700,2017-03-16,10,BANKNIFTY1731620700PE,2017-03-06 09:33:00,228.35,2017-03-10 15:20:00,195.05,Friday Closing,33.29999999999998
10,2017-03-13,21316.85,21062.0,254.84999999999854,21202.55,25%,21266.262499999997,21138.8375,low,21100,2017-03-30,10,BANKNIFTY17MAR21100CE,2017-03-20 09:18:00,243.7,2017-03-24 15:20:00,157.95,Friday Closing,85.75
11,2017-03-20,21202.55,20755.15,447.3999999999978,21178.1,25%,21289.949999999997,21066.25,high,21300,2017-04-06,8,BANKNIFTY1740621300PE,2017-03-29 09:15:00,177.6,2017-03-31 15:20:00,80.0,Friday Closing,97.6
