,Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Slippage,Points w cs,Qty,PnL,PnL w cs,ROI%,ROI% w cs,Trade Year
0,2023-09-01,9087.95,8858.45,229.5,9099.95,65%,9249.125,8950.775000000001,low,9250,2023-09-18,6,MIDCPNIFTY239189250CE,CE,2023-09-12 13:01:00,9.65,2023-09-18 15:30:00,0.05,Expiry Closing,9.6,0.09700000000000002,9.503,1351.4791939778088,12974.200262186963,12843.106780371118,1.2974200262186963,1.2843106780371116,2023
1,2023-09-15,9193.35,9051.9,141.45000000000073,9081.5,65%,9173.442500000001,8989.557499999999,high,9000,2023-09-29,4,MIDCPNIFTY23SEP9000PE,PE,2023-09-25 14:52:00,23.2,2023-09-29 15:30:00,0.05,Friday Closing,23.15,0.2325,22.917499999999997,1362.6291329563574,31544.864427939672,31228.053154527315,3.154486442793967,3.1228053154527315,2023
2,2023-09-15,9193.35,9051.9,141.45000000000073,9081.5,65%,9173.442500000001,8989.557499999999,low,9175,2023-09-29,4,MIDCPNIFTY23SEP9175CE,CE,2023-09-25 10:12:00,9.95,2023-09-25 14:52:00,57.55,SL Hit,-47.599999999999994,0.675,-48.27499999999999,1362.6291329563574,-64861.146728722604,-65780.92139346815,-6.48611467287226,-6.578092139346815,2023
3,2023-09-29,9133.0,8932.35,200.64999999999964,9078.85,65%,9209.272500000001,8948.4275,high,8950,2023-10-16,5,MIDCPNIFTY2310168950PE,PE,2023-10-11 09:23:00,11.7,2023-10-16 15:30:00,0.05,Friday Closing,11.649999999999999,0.11750000000000001,11.532499999999999,1357.3276282138463,15812.866868691308,15653.380872376181,1.5812866868691307,1.5653380872376181,2023
4,2023-10-13,9213.75,9002.75,211.0,9040.25,65%,9177.4,8903.1,low,9175,2023-10-30,7,MIDCPNIFTY23OCT9175CE,CE,2023-10-23 10:24:00,9.65,2023-10-30 15:30:00,0.05,Expiry Closing,9.6,0.09700000000000002,9.503,1362.0415368187068,13075.598753459586,12943.480724388171,1.3075598753459585,1.2943480724388172,2023
5,2023-10-27,8844.7,8622.2,222.5,8898.05,65%,9042.675,8753.425,high,8750,2023-11-13,5,MIDCPNIFTY2311138750PE,PE,2023-11-08 09:15:00,3.45,2023-11-13 15:30:00,0.05,Friday Closing,3.4000000000000004,0.035,3.365,1382.3343203200382,4699.93668908813,4651.554987876929,0.46999366890881306,0.46515549878769286,2023
6,2023-11-03,9158.65,8869.65,289.0,9118.45,65%,9306.300000000001,8930.6,high,8925,2023-11-20,5,MIDCPNIFTY2311208925PE,PE,2023-11-15 09:15:00,2.75,2023-11-20 15:30:00,0.05,Friday Closing,2.7,0.027999999999999997,2.672,1343.176127999312,3626.5755455981425,3588.966614014162,0.3626575545598143,0.35889666140141624,2023
7,2023-11-17,9533.6,9424.9,108.70000000000073,9514.85,65%,9585.505000000001,9444.195,high,9450,2023-12-04,5,MIDCPNIFTY2312049450PE,PE,2023-11-29 09:15:00,14.05,2023-12-04 15:30:00,0.05,Friday Closing,14.0,0.14100000000000001,13.859,1304.0523164924539,18256.732430894353,18072.861054268917,1.8256732430894353,1.8072861054268916,2023
8,2023-11-24,9709.6,9473.05,236.5500000000011,9738.8,65%,9892.5575,9585.042499999998,high,9575,2023-12-11,7,MIDCPNIFTY2312119575PE,PE,2023-12-04 09:15:00,10.3,2023-12-11 15:30:00,0.05,Friday Closing,10.25,0.10350000000000002,10.1465,1263.576178354283,12951.655828131401,12820.875693671733,1.29516558281314,1.2820875693671734,2023
9,2023-12-01,9989.8,9724.4,265.39999999999964,10013.65,65%,10186.16,9841.14,high,9850,2023-12-18,4,MIDCPNIFTY2312189850PE,PE,2023-12-14 09:15:00,3.8,2023-12-18 15:30:00,0.05,Friday Closing,3.75,0.0385,3.7115,1227.155277356727,4601.8322900877265,4554.586811909493,0.4601832290087726,0.4554586811909493,2023
