,Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Qty,PnL,ROI%,Trade Year,Cumulative ROI%,Running Max ROI%,Drawdown
0,2021-01-01,32177.15,30904.5,1272.6500000000015,32298.05,20%,32552.579999999998,32043.52,high,32000,2021-01-14,1,BANKNIFTY2111432000PE,PE,2021-01-13 09:30:00,70.0,2021-01-13 15:20:00,0.1,Friday Closing,69.9,199.6769534089157,13957.419043283207,1.3957419043283206,2021,1.3957419043283206,1.3957419043283206,0.0
1,2021-01-01,32177.15,30904.5,1272.6500000000015,32298.05,20%,32552.579999999998,32043.52,low,32600,2021-01-14,6,BANKNIFTY2111432600CE,CE,2021-01-08 13:39:00,169.45,2021-01-11 09:15:00,166.85,SL Hit,2.5999999999999943,199.6769534089157,519.1600788631797,0.05191600788631797,2021,0.05191600788631797,0.05191600788631797,0.0
2,2021-01-08,32718.5,31734.2,984.2999999999993,32508.9,20%,32705.760000000002,32312.04,low,32700,2021-01-21,6,BANKNIFTY2112132700CE,CE,2021-01-15 09:36:00,278.2,2021-01-20 15:20:00,0.5,Expiry Closing,277.7,198.7417506885637,55190.58416621414,5.519058416621414,2021,5.570974424507732,5.570974424507732,0.0
3,2021-01-15,32841.35,31657.25,1184.0999999999985,32088.0,20%,32324.82,31851.18,low,32300,2021-01-28,6,BANKNIFTY21JAN32300CE,CE,2021-01-22 09:31:00,245.95,2021-01-27 15:20:00,0.1,Expiry Closing,245.85,201.0838730115125,49436.47017988035,4.943647017988035,2021,10.514621442495766,10.514621442495766,0.0
4,2021-01-22,32108.3,29694.95,2413.3499999999985,30700.65,20%,31183.32,30217.980000000003,high,30200,2021-02-04,3,BANKNIFTY2120430200PE,PE,2021-02-01 10:55:00,277.45,2021-02-03 15:20:00,0.15,Friday Closing,277.3,208.44477111481396,57801.73503013791,5.780173503013792,2021,7.175915407342113,7.175915407342113,0.0
5,2021-02-05,36612.95,35429.2,1183.75,35736.6,20%,35973.35,35499.85,high,35500,2021-02-18,6,BANKNIFTY2121835500PE,PE,2021-02-12 10:38:00,287.0,2021-02-17 15:20:00,0.1,Friday Closing,286.9,180.68931584075435,51839.764714712415,5.183976471471242,2021,12.359891878813354,12.359891878813354,0.0
6,2021-02-12,37703.05,35702.1,2000.9500000000044,36371.55,20%,36771.740000000005,35971.36,low,36800,2021-02-25,6,BANKNIFTY21FEB36800CE,CE,2021-02-19 14:02:00,183.65,2021-02-24 15:20:00,0.3,Expiry Closing,183.35,176.76617968037408,32410.079044396585,3.2410079044396585,2021,13.755629346935425,13.755629346935425,0.0
7,2021-02-19,37220.7,34986.5,2234.199999999997,35806.65,20%,36253.49,35359.810000000005,high,35400,2021-03-04,1,BANKNIFTY2130435400PE,PE,2021-03-03 13:21:00,69.85,2021-03-03 15:20:00,0.15,Friday Closing,69.69999999999999,179.2930832314351,12496.727901231025,1.2496727901231024,2021,13.609564668936457,13.609564668936457,0.0
8,2021-02-19,37220.7,34986.5,2234.199999999997,35806.65,20%,36253.49,35359.810000000005,low,36300,2021-03-04,6,BANKNIFTY2130436300CE,CE,2021-02-26 10:25:00,292.2,2021-03-03 15:20:00,0.15,Expiry Closing,292.05,179.2930832314351,52362.544957740625,5.236254495774062,2021,18.991883842709488,18.991883842709488,0.0
9,2021-02-26,36451.4,34662.2,1789.2000000000044,35458.5,20%,35816.340000000004,35100.659999999996,high,35100,2021-03-10,2,BANKNIFTY2131035100PE,PE,2021-03-08 10:05:00,217.1,2021-03-09 15:20:00,0.2,Friday Closing,216.9,181.4814132320611,39363.318530034056,3.9363318530034057,2021,17.545896521939863,17.545896521939863,0.0
