,Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Qty,PnL,ROI%,Trade Year,Cumulative ROI%,Running Max ROI%,Drawdown
10,2021-02-26,36451.4,34662.2,1789.2000000000044,35458.5,20%,35816.340000000004,35100.659999999996,low,35800,2021-03-10,5,BANKNIFTY2131035800CE,CE,2021-03-05 13:54:00,348.5,2021-03-09 15:20:00,130.7,Expiry Closing,217.8,181.4814132320611,39526.65180194291,3.952665180194291,2021,22.94454902290378,22.94454902290378,0.0
11,2021-03-05,36173.8,34899.2,1274.6000000000058,36497.35,20%,36752.27,36242.43,low,36800,2021-03-18,6,BANKNIFTY2131836800CE,CE,2021-03-12 10:16:00,340.0,2021-03-12 10:17:00,344.65,SL Hit,-4.649999999999977,176.859823896592,-822.3981811191487,-0.08223981811191486,2021,22.862309204791863,22.94454902290378,-0.0822398181119155
12,2021-03-12,36497.35,33601.3,2896.0499999999956,33590.4,20%,34169.61,33011.19,high,33000,2021-03-25,6,BANKNIFTY21MAR33000PE,PE,2021-03-19 14:35:00,223.0,2021-03-22 12:30:00,289.75,SL Hit,-66.75,190.22751503455848,-12697.686628556778,-1.2697686628556777,2021,16.276127859084184,17.545896521939863,-1.2697686628556788
13,2021-03-19,34357.75,32420.55,1937.2000000000007,33605.05,20%,33992.490000000005,33217.61,low,34000,2021-04-01,6,BANKNIFTY2140134000CE,CE,2021-03-26 11:21:00,310.1,2021-03-31 15:20:00,0.55,Expiry Closing,309.55,191.21870742625794,59191.750883798144,5.919175088379815,2021,28.78148429317168,28.78148429317168,0.0
14,2021-03-26,33990.1,33154.7,835.4000000000015,33649.15,20%,33816.23,33482.07,low,33800,2021-04-08,3,BANKNIFTY2140833800CE,CE,2021-04-05 09:16:00,368.05,2021-04-07 15:20:00,0.15,Expiry Closing,367.90000000000003,192.21539479711367,70716.04374585813,7.071604374585813,2021,35.85308866775749,35.85308866775749,0.0
15,2021-04-02,33688.25,32158.45,1529.7999999999993,32636.9,20%,32942.86,32330.940000000002,high,32300,2021-04-15,6,BANKNIFTY2141532300PE,PE,2021-04-09 10:10:00,268.0,2021-04-12 09:15:00,982.5,SL Hit,-714.5,197.3113445523552,-140978.95568265778,-14.097895568265777,2021,2.178232290818409,17.545896521939863,-15.367664231121454
16,2021-04-02,33688.25,32158.45,1529.7999999999993,32636.9,20%,32942.86,32330.940000000002,low,32900,2021-04-15,3,BANKNIFTY2141532900CE,CE,2021-04-12 09:15:00,56.0,2021-04-14 15:20:00,0.15,Expiry Closing,55.85,197.3113445523552,11019.838593249038,1.1019838593249038,2021,36.95507252708239,36.95507252708239,0.0
17,2021-04-09,32968.5,30522.5,2446.0,32161.45,20%,32650.65,31672.25,low,32700,2021-04-22,3,BANKNIFTY2142232700CE,CE,2021-04-19 09:15:00,22.4,2021-04-21 15:20:00,0.1,Expiry Closing,22.299999999999997,199.07720060703232,4439.421573536821,0.4439421573536821,2021,37.399014684436075,37.399014684436075,0.0
18,2021-04-16,32325.15,30407.9,1917.25,31490.6,20%,31874.05,31107.149999999998,high,31100,2021-04-29,6,BANKNIFTY21APR31100PE,PE,2021-04-23 10:16:00,322.0,2021-04-28 15:20:00,0.1,Friday Closing,321.9,203.9276464710321,65644.30939902522,6.564430939902523,2021,8.742663230720932,17.545896521939863,-8.80323329121893
19,2021-04-23,34284.85,31381.1,2903.75,33112.4,20%,33693.15,32531.65,low,33700,2021-05-06,3,BANKNIFTY2150633700CE,CE,2021-05-03 09:15:00,98.95,2021-05-05 15:20:00,0.1,Expiry Closing,98.85000000000001,192.91755149043647,19069.899964829645,1.9069899964829646,2021,39.306004680919045,39.306004680919045,0.0
20,2021-04-30,33448.6,31921.65,1526.949999999997,33041.65,20%,33347.04,32736.260000000002,low,33300,2021-05-12,1,BANKNIFTY2151233300CE,CE,2021-05-11 09:15:00,62.05,2021-05-11 15:20:00,0.2,Expiry Closing,61.849999999999994,194.91984895810842,12055.792658059005,1.2055792658059006,2021,40.51158394672494,40.51158394672494,0.0
21,2021-05-07,33297.6,32356.0,941.5999999999985,32495.15,20%,32683.47,32306.83,high,32300,2021-05-20,3,BANKNIFTY2152032300PE,PE,2021-05-17 09:34:00,231.0,2021-05-19 15:20:00,0.2,Friday Closing,230.8,198.87729179306848,45900.87894584021,4.590087894584021,2021,13.332751125304952,17.545896521939863,-4.213145396634911
22,2021-05-07,33297.6,32356.0,941.5999999999985,32495.15,20%,32683.47,32306.83,low,32700,2021-05-20,6,BANKNIFTY2152032700CE,CE,2021-05-14 09:34:00,328.35,2021-05-17 14:39:00,765.55,SL Hit,-437.19999999999993,198.87729179306848,-86949.15197192953,-8.694915197192953,2021,31.81666874953199,40.51158394672494,-8.694915197192952
23,2021-05-14,34140.65,32119.9,2020.75,33559.8,20%,33963.950000000004,33155.65,high,33200,2021-05-27,6,BANKNIFTY21MAY33200PE,PE,2021-05-21 09:50:00,176.25,2021-05-26 15:20:00,0.15,Friday Closing,176.1,191.37938902866125,33701.910407947245,3.3701910407947246,2021,16.702942166099678,17.545896521939863,-0.8429543558401846
24,2021-05-21,35214.75,33559.8,1654.949999999997,35345.65,20%,35676.64,35014.66,high,35000,2021-06-03,2,BANKNIFTY2160335000PE,PE,2021-06-01 09:24:00,102.65,2021-06-02 15:20:00,0.15,Friday Closing,102.5,182.1920449907839,18674.68461155535,1.867468461155535,2021,18.57041062725521,18.57041062725521,0.0
25,2021-05-21,35214.75,33559.8,1654.949999999997,35345.65,20%,35676.64,35014.66,low,35700,2021-06-03,6,BANKNIFTY2160335700CE,CE,2021-05-28 14:48:00,230.6,2021-05-28 15:20:00,283.5,SL Hit,-52.900000000000006,182.1920449907839,-9637.959180012469,-0.9637959180012469,2021,30.852872831530743,40.51158394672494,-9.658711115194198
26,2021-05-28,35722.9,34935.25,787.6500000000015,35657.85,20%,35815.38,35500.32,low,35800,2021-06-10,6,BANKNIFTY2161035800CE,CE,2021-06-04 10:45:00,322.75,2021-06-09 15:20:00,0.1,Expiry Closing,322.65,181.48627768293957,58556.547494400445,5.855654749440045,2021,36.70852758097079,40.51158394672494,-3.803056365754152
27,2021-06-04,35804.35,34645.8,1158.5499999999956,35324.65,20%,35556.36,35092.94,low,35600,2021-06-17,6,BANKNIFTY2161735600CE,CE,2021-06-11 11:15:00,205.95,2021-06-16 15:20:00,0.1,Expiry Closing,205.85,182.80836396076538,37631.101721323554,3.763110172132355,2021,40.47163775310314,40.51158394672494,-0.03994619362180174
28,2021-06-11,35377.7,34382.9,994.7999999999956,34735.15,20%,34934.11,34536.19,high,34500,2021-06-24,2,BANKNIFTY21JUN34500PE,PE,2021-06-22 09:15:00,81.15,2021-06-23 15:20:00,0.35,Friday Closing,80.80000000000001,186.0645655492583,15034.016896380073,1.5034016896380074,2021,20.073812316893218,20.073812316893218,0.0
29,2021-06-11,35377.7,34382.9,994.7999999999956,34735.15,20%,34934.11,34536.19,low,34900,2021-06-24,6,BANKNIFTY21JUN34900CE,CE,2021-06-18 09:22:00,282.35,2021-06-23 15:20:00,0.15,Expiry Closing,282.20000000000005,186.0645655492583,52507.4203980007,5.250742039800071,2021,45.72237979290321,45.72237979290321,0.0
30,2021-06-18,35281.8,33915.15,1366.6500000000015,34916.65,20%,35189.98,34643.32,high,34600,2021-07-01,6,BANKNIFTY2170134600PE,PE,2021-06-25 12:00:00,140.0,2021-06-30 15:20:00,0.15,Friday Closing,139.85,184.71167076537125,25831.927156537167,2.5831927156537167,2021,22.657005032546934,22.657005032546934,0.0
31,2021-06-25,35575.3,34656.7,918.6000000000058,34728.1,20%,34911.82,34544.38,high,34500,2021-07-08,3,BANKNIFTY2170834500PE,PE,2021-07-05 09:15:00,81.25,2021-07-07 15:20:00,0.05,Friday Closing,81.2,186.18336139450764,15118.088945234022,1.5118088945234023,2021,24.16881392707034,24.16881392707034,0.0
32,2021-07-02,35810.5,34637.35,1173.1500000000015,35163.75,20%,35398.38,34929.12,high,34900,2021-07-15,2,BANKNIFTY2171534900PE,PE,2021-07-13 09:15:00,53.35,2021-07-14 15:20:00,0.15,Friday Closing,53.2,183.62422235141835,9768.808629095456,0.9768808629095457,2021,25.145694789979885,25.145694789979885,0.0
33,2021-07-02,35810.5,34637.35,1173.1500000000015,35163.75,20%,35398.38,34929.12,low,35400,2021-07-15,6,BANKNIFTY2171535400CE,CE,2021-07-09 09:21:00,187.65,2021-07-14 15:20:00,501.35,Expiry Closing,-313.70000000000005,183.62422235141835,-57602.918551639945,-5.760291855163994,2021,39.96208793773922,45.72237979290321,-5.760291855163992
34,2021-07-09,35984.65,34862.2,1122.4500000000044,35977.95,20%,36202.439999999995,35753.46,low,36200,2021-07-22,6,BANKNIFTY2172236200CE,CE,2021-07-16 10:05:00,126.65,2021-07-21 15:20:00,0.05,Expiry Closing,126.60000000000001,179.54590906027332,22730.512087030602,2.2730512087030603,2021,42.23513914644228,45.72237979290321,-3.4872406464609327
35,2021-07-16,35977.95,34357.8,1620.1499999999942,34748.35,20%,35072.38,34424.32,high,34400,2021-07-29,6,BANKNIFTY21JUL34400PE,PE,2021-07-23 14:51:00,90.3,2021-07-28 10:40:00,225.9,SL Hit,-135.60000000000002,185.33102116252164,-25130.88646963794,-2.513088646963794,2021,22.63260614301609,25.145694789979885,-2.5130886469637943
36,2021-07-16,35977.95,34357.8,1620.1499999999942,34748.35,20%,35072.38,34424.32,low,35100,2021-07-29,6,BANKNIFTY21JUL35100CE,CE,2021-07-23 09:45:00,103.25,2021-07-28 15:20:00,0.15,Expiry Closing,103.1,185.33102116252164,19107.62828185598,1.9107628281855982,2021,44.145901974627876,45.72237979290321,-1.576477818275336
37,2021-07-23,35185.85,34117.7,1068.1500000000015,34698.75,20%,34912.38,34485.12,high,34500,2021-08-05,2,BANKNIFTY2180534500PE,PE,2021-08-03 12:22:00,71.7,2021-08-04 15:20:00,0.1,Friday Closing,71.60000000000001,186.1803749844611,13330.514848887417,1.3330514848887418,2021,23.965657627904832,25.145694789979885,-1.1800371620750525
38,2021-07-23,35185.85,34117.7,1068.1500000000015,34698.75,20%,34912.38,34485.12,low,34900,2021-08-05,6,BANKNIFTY2180534900CE,CE,2021-07-30 09:15:00,222.8,2021-08-03 14:43:00,399.9,SL Hit,-177.09999999999997,186.1803749844611,-32972.54440974806,-3.297254440974806,2021,40.84864753365307,45.72237979290321,-4.87373225925014
39,2021-07-30,36218.2,34457.55,1760.6499999999942,35875.8,20%,36227.93,35523.670000000006,high,35500,2021-08-12,2,BANKNIFTY2181235500PE,PE,2021-08-10 09:27:00,50.5,2021-08-11 15:20:00,0.1,Friday Closing,50.4,179.41958041765014,9042.746853049566,0.9042746853049566,2021,24.869932313209787,25.145694789979885,-0.27576247677009746
40,2021-08-06,36315.3,35532.8,782.5,36000.75,20%,36157.25,35844.25,high,35800,2021-08-18,5,BANKNIFTY2181835800PE,PE,2021-08-13 09:20:00,149.6,2021-08-18 14:35:00,249.5,SL Hit,-99.9,179.7703088592191,-17959.05385503599,-1.795905385503599,2021,23.07402692770619,25.145694789979885,-2.0716678622736957
41,2021-08-06,36315.3,35532.8,782.5,36000.75,20%,36157.25,35844.25,low,36200,2021-08-18,1,BANKNIFTY2181836200CE,CE,2021-08-17 09:21:00,82.5,2021-08-17 15:20:00,0.25,Expiry Closing,82.25,179.7703088592191,14786.107903670772,1.4786107903670773,2021,42.32725832402015,45.72237979290321,-3.3951214688830618
42,2021-08-13,36257.4,35434.85,822.5500000000029,35146.5,20%,35311.01,34981.99,high,35000,2021-08-26,3,BANKNIFTY21AUG35000PE,PE,2021-08-23 09:15:00,136.85,2021-08-23 09:16:00,130.3,SL Hit,6.549999999999983,184.07856359815253,1205.714591567896,0.1205714591567896,2021,23.194598386862978,25.145694789979885,-1.9510964031169067
43,2021-08-13,36257.4,35434.85,822.5500000000029,35146.5,20%,35311.01,34981.99,low,35300,2021-08-26,6,BANKNIFTY21AUG35300CE,CE,2021-08-20 10:54:00,203.7,2021-08-25 15:20:00,330.0,Expiry Closing,-126.30000000000001,184.07856359815253,-23249.122582446667,-2.324912258244667,2021,40.002346065775484,45.72237979290321,-5.720033727127728
44,2021-08-20,35907.55,34818.9,1088.6500000000015,35559.75,20%,35777.48,35342.02,high,35300,2021-09-02,3,BANKNIFTY2190235300PE,PE,2021-08-30 09:15:00,87.3,2021-09-01 15:20:00,0.05,Friday Closing,87.25,181.6785307405664,15851.45180711442,1.5851451807114418,2021,24.77974356757442,25.145694789979885,-0.36595122240546374
45,2021-08-27,36994.5,35365.6,1628.9000000000015,36883.65,20%,37209.43,36557.87,low,37200,2021-09-09,3,BANKNIFTY2190937200CE,CE,2021-09-06 15:28:00,89.45,2021-09-08 15:20:00,0.15,Expiry Closing,89.3,174.6869006055723,15599.540224077606,1.5599540224077606,2021,41.56230008818324,45.72237979290321,-4.160079704719969
46,2021-09-03,37138.65,36153.6,985.0500000000029,36608.45,20%,36805.46,36411.439999999995,high,36400,2021-09-16,1,BANKNIFTY2191636400PE,PE,2021-09-15 14:06:00,24.65,2021-09-15 15:20:00,0.15,Friday Closing,24.5,176.60423208947805,4326.803686192212,0.4326803686192212,2021,25.21242393619364,25.21242393619364,0.0
47,2021-09-03,37138.65,36153.6,985.0500000000029,36608.45,20%,36805.46,36411.439999999995,low,36800,2021-09-16,3,BANKNIFTY2191636800CE,CE,2021-09-13 09:54:00,127.1,2021-09-15 15:20:00,861.1,Expiry Closing,-734.0,176.60423208947805,-129627.50635367689,-12.962750635367687,2021,28.599549452815552,45.72237979290321,-17.12283034008766
48,2021-09-10,37717.2,36328.9,1388.2999999999956,37929.5,20%,38207.159999999996,37651.840000000004,low,38200,2021-09-23,6,BANKNIFTY2192338200CE,CE,2021-09-17 11:39:00,171.55,2021-09-17 11:47:00,199.6,SL Hit,-28.049999999999983,170.12518072528815,-4772.011319344329,-0.477201131934433,2021,28.12234832088112,45.72237979290321,-17.600031472022092
49,2021-09-17,38112.0,36528.0,1584.0,37954.0,20%,38270.8,37637.2,high,37600,2021-09-30,3,BANKNIFTY21SEP37600PE,PE,2021-09-27 09:32:00,114.8,2021-09-29 15:20:00,193.75,Friday Closing,-78.95,169.84228184412135,-13409.04815159338,-1.3409048151593381,2021,23.871519121034304,25.21242393619364,-1.3409048151593375
50,2021-09-17,38112.0,36528.0,1584.0,37954.0,20%,38270.8,37637.2,low,38300,2021-09-30,2,BANKNIFTY21SEP38300CE,CE,2021-09-28 13:12:00,91.5,2021-09-29 15:20:00,0.2,Expiry Closing,91.3,169.84228184412135,15506.600332368278,1.5506600332368277,2021,29.673008354117947,45.72237979290321,-16.049371438785265
51,2021-09-24,38366.55,37316.0,1050.550000000003,37140.4,20%,37350.51,36930.29,high,36900,2021-10-07,3,BANKNIFTY21100736900PE,PE,2021-10-04 09:15:00,159.5,2021-10-06 15:20:00,0.05,Friday Closing,159.45,174.02707486457345,27748.617087156235,2.7748617087156235,2021,26.646380829749926,26.646380829749926,0.0
52,2021-09-24,38366.55,37316.0,1050.550000000003,37140.4,20%,37350.51,36930.29,low,37400,2021-10-07,6,BANKNIFTY21100737400CE,CE,2021-10-01 09:15:00,305.6,2021-10-06 15:20:00,352.2,Expiry Closing,-46.599999999999966,174.02707486457345,-8109.661688689117,-0.8109661688689117,2021,28.862042185249038,45.72237979290321,-16.860337607654174
53,2021-10-01,38105.75,36894.85,1210.9000000000015,37906.4,20%,38148.58,37664.22,high,37700,2021-10-14,3,BANKNIFTY21101437700PE,PE,2021-10-11 09:55:00,128.65,2021-10-13 15:20:00,0.2,Friday Closing,128.45000000000002,170.38642067411158,21886.135735589636,2.188613573558964,2021,28.83499440330889,28.83499440330889,0.0
54,2021-10-08,39373.95,37674.75,1699.199999999997,39794.25,20%,40134.09,39454.41,low,40100,2021-10-21,2,BANKNIFTY21102140100CE,CE,2021-10-19 10:09:00,93.95,2021-10-19 10:10:00,101.2,SL Hit,-7.25,161.95707938064623,-1174.188825509685,-0.11741888255096851,2021,28.744623302698066,45.72237979290321,-16.977756490205145
55,2021-10-15,40199.45,39300.15,899.2999999999956,40192.65,20%,40372.51,40012.79,high,40000,2021-10-28,6,BANKNIFTY21OCT40000PE,PE,2021-10-22 10:28:00,251.45,2021-10-27 15:20:00,489.55,Friday Closing,-238.10000000000002,161.00064127793885,-38334.25268827724,-3.833425268827724,2021,25.001569134481166,28.83499440330889,-3.8334252688277246
56,2021-10-22,41827.65,39352.45,2475.2000000000044,39424.55,20%,39919.590000000004,38929.51,high,38900,2021-11-03,1,BANKNIFTY21110338900PE,PE,2021-11-02 09:15:00,30.95,2021-11-03 14:32:00,22.3,SL Hit,8.649999999999999,162.82732362732182,1408.4563493763335,0.14084563493763336,2021,25.1424147694188,28.83499440330889,-3.692579633890091
57,2021-10-22,41827.65,39352.45,2475.2000000000044,39424.55,20%,39919.590000000004,38929.51,low,39900,2021-11-03,5,BANKNIFTY21110339900CE,CE,2021-10-29 09:18:00,201.35,2021-11-02 15:20:00,0.45,Expiry Closing,200.9,162.82732362732182,32712.009316728952,3.271200931672895,2021,32.01582423437096,45.72237979290321,-13.706555558532251
58,2021-10-29,40160.2,38453.1,1707.0999999999985,39674.05,20%,40015.47,39332.630000000005,low,40000,2021-11-11,3,BANKNIFTY21111140000CE,CE,2021-11-08 09:21:00,166.9,2021-11-10 15:20:00,0.15,Expiry Closing,166.75,162.43717742163219,27086.399335057165,2.7086399335057165,2021,34.72446416787668,45.72237979290321,-10.997915625026529
59,2021-11-05,39674.05,38348.25,1325.800000000003,38707.15,20%,38972.310000000005,38441.99,high,38400,2021-11-18,3,BANKNIFTY21111838400PE,PE,2021-11-15 09:15:00,74.05,2021-11-16 11:19:00,266.55,SL Hit,-192.5,166.78508407636087,-32106.12868469947,-3.210612868469947,2021,21.931801900948855,28.83499440330889,-6.903192502360035
60,2021-11-05,39674.05,38348.25,1325.800000000003,38707.15,20%,38972.310000000005,38441.99,low,39000,2021-11-18,2,BANKNIFTY21111839000CE,CE,2021-11-16 09:46:00,98.7,2021-11-17 15:20:00,0.25,Expiry Closing,98.45,166.78508407636087,16419.99152731773,1.6419991527317728,2021,36.36646332060845,45.72237979290321,-9.355916472294759
61,2021-11-12,39114.95,37749.15,1365.7999999999956,38232.15,20%,38505.31,37958.990000000005,low,38500,2021-11-25,3,BANKNIFTY21NOV38500CE,CE,2021-11-22 09:16:00,164.2,2021-11-24 15:20:00,0.1,Expiry Closing,164.1,168.80788649669358,27701.374174107415,2.7701374174107416,2021,39.1366007380192,45.72237979290321,-6.585779054884014
62,2021-11-19,38241.0,36654.2,1586.800000000003,36830.9,20%,37148.26,36513.54,low,37100,2021-12-02,6,BANKNIFTY21120237100CE,CE,2021-11-26 10:00:00,207.75,2021-12-01 15:20:00,0.15,Expiry Closing,207.6,174.97454793306602,36324.7161509045,3.6324716150904504,2021,42.76907235310964,45.72237979290321,-2.9533074397935692
63,2021-11-26,36860.85,35341.75,1519.0999999999985,36497.3,20%,36801.12,36193.48,high,36200,2021-12-09,6,BANKNIFTY21120936200PE,PE,2021-12-03 09:26:00,215.6,2021-12-08 15:20:00,0.05,Friday Closing,215.54999999999998,176.62505923732755,38071.53151860595,3.807153151860595,2021,25.738955052809448,28.83499440330889,-3.096039350499442
64,2021-11-26,36860.85,35341.75,1519.0999999999985,36497.3,20%,36801.12,36193.48,low,36800,2021-12-09,6,BANKNIFTY21120936800CE,CE,2021-12-03 14:16:00,172.3,2021-12-08 09:15:00,411.7,SL Hit,-239.39999999999998,176.62505923732755,-42284.039181416214,-4.2284039181416215,2021,38.540668434968026,45.72237979290321,-7.1817113579351854
65,2021-12-03,37386.4,35697.85,1688.550000000003,37083.15,20%,37420.86,36745.44,high,36700,2021-12-16,3,BANKNIFTY21121636700PE,PE,2021-12-13 09:16:00,96.3,2021-12-15 15:20:00,156.65,Friday Closing,-60.35000000000001,173.69990962260087,-10482.789545723965,-1.0482789545723965,2021,24.690676098237052,28.83499440330889,-4.144318305071838
66,2021-12-03,37386.4,35697.85,1688.550000000003,37083.15,20%,37420.86,36745.44,low,37400,2021-12-16,2,BANKNIFTY21121637400CE,CE,2021-12-14 09:15:00,76.65,2021-12-15 15:20:00,0.15,Expiry Closing,76.5,173.69990962260087,13288.043086128966,1.3288043086128967,2021,39.86947274358092,45.72237979290321,-5.85290704932229
67,2021-12-10,37579.5,36388.0,1191.5,36491.8,20%,36730.100000000006,36253.5,low,36700,2021-12-23,6,BANKNIFTY21122336700CE,CE,2021-12-17 09:19:00,221.8,2021-12-22 15:20:00,0.1,Expiry Closing,221.70000000000002,176.96657509780803,39233.48969918404,3.923348969918404,2021,43.79282171349932,45.72237979290321,-1.9295580794038898
68,2021-12-17,36544.55,34020.25,2524.300000000003,35282.2,20%,35787.06,34777.34,low,35800,2021-12-30,6,BANKNIFTY21DEC35800CE,CE,2021-12-24 09:42:00,85.05,2021-12-29 15:20:00,0.05,Expiry Closing,85.0,181.6298963927185,15438.541193381074,1.5438541193381072,2021,45.33667583283743,45.72237979290321,-0.3857039600657828
69,2021-12-24,35377.85,34237.95,1139.9000000000015,35114.4,20%,35342.380000000005,34886.42,high,34900,2022-01-06,6,BANKNIFTY2210634900PE,PE,2021-12-31 09:20:00,227.5,2022-01-05 15:20:00,0.05,Friday Closing,227.45,183.91517492596705,41831.506536911205,4.18315065369112,2021,28.87382675192817,28.87382675192817,0.0
70,2021-12-31,37860.3,35114.4,2745.9000000000015,37667.05,20%,38216.23,37117.87,high,37100,2022-01-13,3,BANKNIFTY2211337100PE,PE,2022-01-10 09:21:00,78.0,2022-01-12 15:20:00,0.05,Friday Closing,77.95,170.0848042834157,13258.110493892254,1.3258110493892254,2022,30.199637801317397,30.199637801317397,0.0
71,2022-01-07,38848.8,37429.55,1419.25,38302.35,20%,38586.2,38018.5,high,38000,2022-01-20,3,BANKNIFTY2212038000PE,PE,2022-01-17 09:20:00,144.15,2022-01-19 15:20:00,154.2,Friday Closing,-10.049999999999983,168.4540068729235,-1692.9627690728782,-0.16929627690728782,2022,30.03034152441011,30.199637801317397,-0.16929627690728566
72,2022-01-07,38848.8,37429.55,1419.25,38302.35,20%,38586.2,38018.5,low,38600,2022-01-20,6,BANKNIFTY2212038600CE,CE,2022-01-14 11:32:00,208.15,2022-01-18 13:22:00,478.1,SL Hit,-269.95000000000005,168.4540068729235,-45474.159155345704,-4.547415915534571,2022,40.78925991730286,45.72237979290321,-4.9331198756003545
73,2022-01-14,38852.5,37593.15,1259.3499999999985,37522.35,20%,37774.22,37270.479999999996,high,37300,2022-01-27,2,BANKNIFTY22JAN37300PE,PE,2022-01-25 15:17:00,105.8,2022-01-26 15:20:00,0.25,Friday Closing,105.55,172.07502894831447,18162.519305494592,1.8162519305494593,2022,31.84659345495957,31.84659345495957,0.0
74,2022-01-14,38852.5,37593.15,1259.3499999999985,37522.35,20%,37774.22,37270.479999999996,low,37800,2022-01-27,6,BANKNIFTY22JAN37800CE,CE,2022-01-21 09:26:00,260.95,2022-01-26 15:20:00,171.95,Expiry Closing,89.0,172.07502894831447,15314.677576399989,1.5314677576399989,2022,42.32072767494286,45.72237979290321,-3.401652117960353
75,2022-01-21,38136.35,36383.55,1752.7999999999956,38246.6,20%,38597.159999999996,37896.04,high,37900,2022-02-03,2,BANKNIFTY2220337900PE,PE,2022-02-01 09:23:00,422.65,2022-02-02 15:20:00,0.1,Friday Closing,422.54999999999995,168.4061728894043,71160.02835441778,7.116002835441779,2022,38.96259629040135,38.96259629040135,0.0
76,2022-01-21,38136.35,36383.55,1752.7999999999956,38246.6,20%,38597.159999999996,37896.04,low,38600,2022-02-03,6,BANKNIFTY2220338600CE,CE,2022-01-28 14:04:00,446.5,2022-01-31 09:15:00,462.65,SL Hit,-16.149999999999977,168.4061728894043,-2719.7596921638756,-0.27197596921638756,2022,42.048751705726474,45.72237979290321,-3.6736280871767377
