,Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Qty,PnL,ROI%,Trade Year
0,2017-01-02,18323.0,17831.75,491.25,18314.25,25%,18437.0625,18191.4375,high,17800,2017-01-19,9,BANKNIFTY1711917800PE,2017-01-10 15:27:00,22.0,2017-01-13 15:20:00,2.5,Friday Closing,19.5,325.43145091578447,6345.913292857797,0.6345913292857798,2017
1,2017-01-09,18965.7,18257.75,707.9500000000007,18899.7,25%,19076.6875,18722.7125,high,18400,2017-01-25,9,BANKNIFTY17JAN18400PE,2017-01-16 13:26:00,26.0,2017-01-20 15:20:00,27.0,Friday Closing,-1.0,314.52001297395054,-314.52001297395054,-0.03145200129739505,2017
2,2017-01-23,19794.9,18725.05,1069.8500000000022,19718.8,25%,19986.2625,19451.337499999998,high,18700,2017-02-09,8,BANKNIFTY1720918700PE,2017-02-01 14:53:00,11.0,2017-02-03 15:20:00,1.55,Friday Closing,9.45,300.2062041364662,2836.9486290896057,0.28369486290896057,2017
3,2017-01-23,19794.9,18725.05,1069.8500000000022,19718.8,25%,19986.2625,19451.337499999998,low,19900,2017-02-09,9,BANKNIFTY1720919900CE,2017-01-31 09:34:00,164.0,2017-02-01 13:02:00,197.05,SL Hit,-33.05000000000001,300.2062041364662,-9921.815046710211,-0.9921815046710212,2017
4,2017-01-30,20228.95,19435.75,793.2000000000007,20307.15,25%,20505.45,20108.850000000002,low,20200,2017-02-16,8,BANKNIFTY1721620200CE,2017-02-08 14:34:00,161.95,2017-02-08 14:45:00,229.0,SL Hit,-67.05000000000001,292.60513668317446,-19619.174414606852,-1.9619174414606853,2017
5,2017-02-06,20461.3,20001.1,460.2000000000007,20273.65,25%,20388.7,20158.600000000002,high,20000,2017-02-23,6,BANKNIFTY17FEB20000PE,2017-02-17 09:15:00,18.9,2017-02-17 15:20:00,21.0,Friday Closing,-2.1000000000000014,294.28065546111327,-617.9893764683383,-0.06179893764683382,2017
6,2017-02-06,20461.3,20001.1,460.2000000000007,20273.65,25%,20388.7,20158.600000000002,low,20600,2017-02-23,10,BANKNIFTY17FEB20600CE,2017-02-13 12:19:00,58.4,2017-02-17 09:15:00,178.85,SL Hit,-120.44999999999999,294.28065546111327,-35446.10495029109,-3.544610495029109,2017
7,2017-02-13,21031.65,20088.4,943.25,20494.85,25%,20730.6625,20259.0375,high,20200,2017-03-02,9,BANKNIFTY1730220200PE,2017-02-21 14:12:00,44.0,2017-02-24 15:20:00,13.9,Friday Closing,30.1,289.4263509427159,8711.73316337575,0.871173316337575,2017
8,2017-02-20,21011.9,20474.85,537.0500000000029,20853.45,25%,20987.7125,20719.1875,low,21000,2017-03-09,10,BANKNIFTY1730921000CE,2017-02-27 10:10:00,119.9,2017-03-03 15:20:00,20.35,Friday Closing,99.55000000000001,285.8815604606743,28459.50934386013,2.845950934386013,2017
9,2017-02-27,20901.0,20423.7,477.2999999999993,20548.95,25%,20668.275,20429.625,high,20400,2017-03-16,10,BANKNIFTY1731620400PE,2017-03-06 09:33:00,120.0,2017-03-10 15:20:00,86.2,Friday Closing,33.8,290.2999887508754,9812.139619779588,0.9812139619779588,2017
10,2017-03-13,21316.85,21062.0,254.84999999999854,21202.55,25%,21266.262499999997,21138.8375,low,21300,2017-03-30,10,BANKNIFTY17MAR21300CE,2017-03-20 09:18:00,142.85,2017-03-24 15:20:00,69.0,Friday Closing,73.85,282.1370233721135,20835.81917603058,2.083581917603058,2017
11,2017-03-20,21202.55,20755.15,447.3999999999978,21178.1,25%,21289.949999999997,21066.25,high,20900,2017-04-06,8,BANKNIFTY1740620900PE,2017-03-29 09:15:00,44.0,2017-03-31 15:20:00,13.6,Friday Closing,30.4,281.823113722672,8567.422657169229,0.8567422657169229,2017
12,2017-03-20,21202.55,20755.15,447.3999999999978,21178.1,25%,21289.949999999997,21066.25,low,21200,2017-04-06,10,BANKNIFTY1740621200CE,2017-03-27 09:56:00,146.0,2017-03-28 09:15:00,177.5,SL Hit,-31.5,281.823113722672,-8877.428082264169,-0.8877428082264168,2017
13,2017-04-10,21786.95,21396.7,390.25,21700.5,25%,21798.0625,21602.9375,high,21500,2017-04-27,9,BANKNIFTY17APR21500PE,2017-04-18 09:32:00,78.0,2017-04-21 13:18:00,190.05,SL Hit,-112.05000000000001,275.253821297191,-30842.190676350256,-3.084219067635025,2017
14,2017-04-10,21786.95,21396.7,390.25,21700.5,25%,21798.0625,21602.9375,low,21900,2017-04-27,10,BANKNIFTY17APR21900CE,2017-04-17 09:31:00,107.0,2017-04-18 09:31:00,156.3,SL Hit,-49.30000000000001,275.253821297191,-13570.013389951519,-1.3570013389951519,2017
15,2017-04-17,21947.0,21390.25,556.75,21591.9,25%,21731.0875,21452.7125,high,21500,2017-05-04,10,BANKNIFTY1750421500PE,2017-04-24 10:00:00,110.0,2017-04-28 15:20:00,4.15,Friday Closing,105.85,276.1021508932767,29225.41267205334,2.9225412672053337,2017
16,2017-04-24,22382.05,21586.15,795.8999999999978,22412.55,25%,22611.524999999998,22213.575,high,21700,2017-05-11,7,BANKNIFTY1751121700PE,2017-05-04 09:15:00,16.0,2017-05-05 15:20:00,5.2,Friday Closing,10.8,265.3514081867543,2865.795208416947,0.2865795208416947,2017
17,2017-05-01,22844.85,22240.6,604.25,22678.45,25%,22829.5125,22527.3875,high,22200,2017-05-18,10,BANKNIFTY1751822200PE,2017-05-08 11:14:00,65.0,2017-05-12 15:20:00,18.0,Friday Closing,47.0,262.8177014292355,12352.431967174069,1.235243196717407,2017
18,2017-05-08,22977.2,22579.35,397.8500000000022,22735.85,25%,22835.3125,22636.387499999997,high,22700,2017-05-25,10,BANKNIFTY17MAY22700PE,2017-05-15 10:26:00,142.45,2017-05-19 15:20:00,77.0,Friday Closing,65.44999999999999,262.7509476824545,17197.049525816645,1.7197049525816646,2017
19,2017-05-08,22977.2,22579.35,397.8500000000022,22735.85,25%,22835.3125,22636.387499999997,low,23100,2017-05-25,6,BANKNIFTY17MAY23100CE,2017-05-19 12:16:00,22.55,2017-05-19 15:20:00,31.1,Friday Closing,-8.55,262.7509476824545,-2246.5206026849864,-0.22465206026849863,2017
20,2017-05-15,22977.65,22630.75,346.90000000000146,22874.8,25%,22961.525,22788.074999999997,high,22600,2017-06-01,7,BANKNIFTY1760122600PE,2017-05-25 14:03:00,62.2,2017-05-26 15:20:00,15.0,Friday Closing,47.2,261.30668585819103,12333.675572506618,1.2333675572506617,2017
21,2017-05-15,22977.65,22630.75,346.90000000000146,22874.8,25%,22961.525,22788.074999999997,low,23100,2017-06-01,10,BANKNIFTY1760123100CE,2017-05-22 09:56:00,51.2,2017-05-25 14:04:00,66.05,SL Hit,-14.849999999999994,261.30668585819103,-3880.404284994135,-0.38804042849941356,2017
22,2017-05-29,23469.45,23095.0,374.4500000000007,23397.4,25%,23491.0125,23303.787500000002,high,23200,2017-06-15,10,BANKNIFTY1761523200PE,2017-06-05 13:42:00,91.25,2017-06-09 15:20:00,14.0,Friday Closing,77.25,255.41683228851883,19730.95029428808,1.973095029428808,2017
23,2017-06-05,23706.65,23350.35,356.3000000000029,23610.15,25%,23699.225000000002,23521.075,low,23700,2017-06-22,10,BANKNIFTY1762223700CE,2017-06-12 13:02:00,106.0,2017-06-16 15:20:00,31.9,Friday Closing,74.1,253.17283582058062,18760.10713430502,1.876010713430502,2017
24,2017-06-12,23628.2,23311.9,316.2999999999993,23571.35,25%,23650.425,23492.274999999998,high,23300,2017-06-29,10,BANKNIFTY17JUN23300PE,2017-06-19 13:45:00,63.45,2017-06-23 15:20:00,44.05,Friday Closing,19.400000000000006,253.69522957832683,4921.687453819542,0.4921687453819542,2017
25,2017-06-19,23896.9,23507.7,389.2000000000007,23636.95,25%,23734.25,23539.65,low,24000,2017-07-06,9,BANKNIFTY1770624000CE,2017-06-27 09:22:00,50.0,2017-06-30 15:20:00,3.4,Friday Closing,46.6,252.7992247490441,11780.443873305456,1.1780443873305455,2017
26,2017-06-26,23638.3,22998.05,640.25,23240.35,25%,23400.4125,23080.2875,high,23100,2017-07-13,7,BANKNIFTY1771323100PE,2017-07-06 09:18:00,41.0,2017-07-07 15:20:00,31.8,Friday Closing,9.2,256.4057364373385,2358.932775223514,0.2358932775223514,2017
27,2017-07-03,23540.15,23144.5,395.65000000000146,23449.15,25%,23548.0625,23350.237500000003,high,23100,2017-07-20,10,BANKNIFTY1772023100PE,2017-07-10 09:15:00,53.2,2017-07-14 15:20:00,6.45,Friday Closing,46.75,254.7980327468555,11911.808030915496,1.1911808030915496,2017
28,2017-07-10,23962.1,23449.15,512.9499999999971,24011.4,25%,24139.6375,23883.162500000002,high,23400,2017-07-27,9,BANKNIFTY17JUL23400PE,2017-07-18 14:05:00,27.15,2017-07-21 15:20:00,6.25,Friday Closing,20.9,248.5538567014521,5194.775605060348,0.5194775605060348,2017
29,2017-07-17,24299.6,23914.4,385.1999999999971,24307.7,25%,24404.0,24211.4,high,23900,2017-08-03,10,BANKNIFTY1780323900PE,2017-07-24 10:29:00,43.0,2017-07-28 15:20:00,4.3,Friday Closing,38.7,245.86133420750696,9514.83363383052,0.951483363383052,2017
30,2017-07-24,25030.4,24237.05,793.3500000000022,24880.6,25%,25078.9375,24682.262499999997,high,24200,2017-08-10,10,BANKNIFTY1781024200PE,2017-07-31 12:30:00,18.0,2017-08-04 15:20:00,7.75,Friday Closing,10.25,239.24458522216102,2452.2569985271502,0.245225699852715,2017
31,2017-07-24,25030.4,24237.05,793.3500000000022,24880.6,25%,25078.9375,24682.262499999997,low,25000,2017-08-10,7,BANKNIFTY1781025000CE,2017-08-03 14:36:00,56.8,2017-08-04 15:20:00,89.95,Friday Closing,-33.150000000000006,239.24458522216102,-7930.95800011464,-0.793095800011464,2017
32,2017-07-31,25196.45,24593.35,603.1000000000022,24854.15,25%,25004.925000000003,24703.375,low,25300,2017-08-17,9,BANKNIFTY1781725300CE,2017-08-08 09:47:00,29.7,2017-08-11 15:20:00,1.7,Friday Closing,28.0,239.95272931232543,6718.676420745112,0.6718676420745112,2017
33,2017-08-07,24977.8,23869.4,1108.3999999999978,24051.05,25%,24328.149999999998,23773.95,high,24000,2017-08-24,8,BANKNIFTY1782424000PE,2017-08-16 13:34:00,100.3,2017-08-18 15:20:00,153.6,Friday Closing,-53.3,246.62787758214253,-13145.265875128196,-1.3145265875128196,2017
34,2017-08-14,24495.2,23926.0,569.2000000000007,24140.55,25%,24282.85,23998.25,high,23900,2017-08-31,8,BANKNIFTY17AUG23900PE,2017-08-23 14:36:00,72.6,2017-08-25 15:20:00,39.1,Friday Closing,33.49999999999999,247.0879653747398,8277.446840053783,0.8277446840053783,2017
35,2017-08-14,24495.2,23926.0,569.2000000000007,24140.55,25%,24282.85,23998.25,low,24600,2017-08-31,10,BANKNIFTY17AUG24600CE,2017-08-21 14:29:00,60.05,2017-08-25 15:20:00,62.1,Friday Closing,-2.0500000000000043,247.0879653747398,-506.5303290182177,-0.050653032901821764,2017
36,2017-08-21,24411.0,23854.6,556.4000000000015,24351.25,25%,24490.35,24212.15,high,24000,2017-09-07,6,BANKNIFTY1790724000PE,2017-09-01 13:33:00,26.85,2017-09-01 15:20:00,27.5,Friday Closing,-0.6499999999999986,244.9944570004104,-159.2463970502664,-0.015924639705026642,2017
37,2017-08-21,24411.0,23854.6,556.4000000000015,24351.25,25%,24490.35,24212.15,low,24400,2017-09-07,9,BANKNIFTY1790724400CE,2017-08-29 09:33:00,135.05,2017-09-01 09:58:00,165.25,SL Hit,-30.19999999999999,244.9944570004104,-7398.832601412391,-0.7398832601412392,2017
38,2017-08-28,24494.15,24105.75,388.40000000000146,24456.3,25%,24553.4,24359.199999999997,low,24600,2017-09-14,10,BANKNIFTY1791424600CE,2017-09-04 09:15:00,100.05,2017-09-08 15:20:00,38.35,Friday Closing,61.699999999999996,244.36534247802746,15077.341630894292,1.5077341630894292,2017
39,2017-09-04,24456.3,24151.9,304.3999999999978,24468.5,25%,24544.6,24392.4,high,24300,2017-09-21,10,BANKNIFTY1792124300PE,2017-09-11 11:12:00,112.0,2017-09-15 15:20:00,19.5,Friday Closing,92.5,244.45295502880472,22611.898340164436,2.261189834016444,2017
40,2017-09-11,24993.1,24458.85,534.25,24948.15,25%,25081.7125,24814.5875,high,24600,2017-09-28,10,BANKNIFTY17SEP24600PE,2017-09-18 11:32:00,61.0,2017-09-22 11:06:00,209.5,SL Hit,-148.5,239.21811558919669,-35523.890164995704,-3.5523890164995704,2017
41,2017-09-11,24993.1,24458.85,534.25,24948.15,25%,25081.7125,24814.5875,low,25100,2017-09-28,7,BANKNIFTY17SEP25100CE,2017-09-21 10:00:00,52.05,2017-09-22 15:20:00,6.5,Friday Closing,45.55,239.21811558919669,10896.385165087908,1.0896385165087907,2017
42,2017-09-18,25104.9,24341.35,763.5500000000029,24361.55,25%,24552.4375,24170.6625,low,25100,2017-10-05,10,BANKNIFTY17100525100CE,2017-09-25 09:24:00,10.5,2017-09-29 15:20:00,1.2,Friday Closing,9.3,244.3749220418543,2272.686774989245,0.2272686774989245,2017
43,2017-09-25,24361.55,23613.2,748.3499999999985,24200.6,25%,24387.6875,24013.512499999997,low,24500,2017-10-12,9,BANKNIFTY17101224500CE,2017-10-03 09:38:00,69.45,2017-10-06 15:20:00,35.95,Friday Closing,33.5,246.02578657775567,8241.863850354815,0.8241863850354816,2017
44,2017-10-02,24238.6,24008.05,230.54999999999927,24209.55,25%,24267.1875,24151.9125,high,24000,2017-10-19,10,BANKNIFTY17101924000PE,2017-10-09 09:34:00,,2017-10-12 09:25:00,,SL Hit,,247.24744060266565,,,2017
45,2017-10-02,24238.6,24008.05,230.54999999999927,24209.55,25%,24267.1875,24151.9125,low,24200,2017-10-19,8,BANKNIFTY17101924200CE,2017-10-11 14:06:00,,2017-10-12 14:31:00,,SL Hit,,247.24744060266565,,,2017
46,2017-10-09,24778.55,23978.6,799.9500000000007,24815.4,25%,25015.3875,24615.412500000002,low,24900,2017-10-26,10,BANKNIFTY17OCT24900CE,2017-10-16 10:48:00,100.85,2017-10-17 10:46:00,152.25,SL Hit,-51.400000000000006,239.85237086573213,-12328.411862498633,-1.2328411862498634,2017
47,2017-10-16,24877.05,23924.1,952.9500000000007,24085.45,25%,24323.6875,23847.2125,high,23900,2017-11-02,8,BANKNIFTY17110223900PE,2017-10-25 09:15:00,37.55,2017-10-27 15:20:00,11.45,Friday Closing,26.099999999999998,246.6731247061121,6438.168554829525,0.6438168554829525,2017
48,2017-10-23,25177.35,23914.05,1263.2999999999993,24873.65,25%,25189.475000000002,24557.825,high,23900,2017-11-09,8,BANKNIFTY17110923900PE,2017-11-01 09:15:00,3.5,2017-11-03 15:20:00,3.25,Friday Closing,0.25,238.1947222004428,59.5486805501107,0.005954868055011071,2017
49,2017-10-30,25691.55,24813.6,877.9500000000007,25569.0,25%,25788.4875,25349.5125,low,25800,2017-11-16,9,BANKNIFTY17111625800CE,2017-11-07 13:46:00,95.0,2017-11-10 15:20:00,50.9,Friday Closing,44.1,232.66195817028822,10260.39235530971,1.0260392355309709,2017
50,2017-11-06,25693.7,25120.25,573.4500000000007,25570.25,25%,25713.6125,25426.8875,high,25100,2017-11-23,6,BANKNIFTY17112325100PE,2017-11-17 09:15:00,13.9,2017-11-17 15:20:00,12.7,Friday Closing,1.200000000000001,233.3394422895655,280.0073307474789,0.02800073307474789,2017
51,2017-11-06,25693.7,25120.25,573.4500000000007,25570.25,25%,25713.6125,25426.8875,low,25800,2017-11-23,10,BANKNIFTY17112325800CE,2017-11-13 14:55:00,101.0,2017-11-17 09:15:00,187.55,SL Hit,-86.55000000000001,233.3394422895655,-20195.5287301619,-2.01955287301619,2017
52,2017-11-20,25870.95,25621.6,249.35000000000218,25693.05,25%,25755.3875,25630.712499999998,high,25600,2017-12-07,10,BANKNIFTY17120725600PE,2017-11-27 10:23:00,151.5,2017-11-30 09:21:00,162.0,SL Hit,-10.5,232.96096787516785,-2446.0901626892623,-0.24460901626892623,2017
