,Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Qty,PnL,ROI%,Trade Year
0,2017-01-02,18323.0,17831.75,491.25,18314.25,25%,18437.0625,18191.4375,high,18200,2017-01-19,9,BANKNIFTY1711918200PE,2017-01-10 15:27:00,89.0,2017-01-13 15:20:00,7.6,Friday Closing,81.4,325.43145091578447,26490.120104544858,2.6490120104544856,2017
1,2017-01-09,18965.7,18257.75,707.9500000000007,18899.7,25%,19076.6875,18722.7125,high,18700,2017-01-25,9,BANKNIFTY17JAN18700PE,2017-01-16 13:26:00,60.0,2017-01-20 15:20:00,76.45,Friday Closing,-16.450000000000003,314.52001297395054,-5173.854213421488,-0.5173854213421488,2017
2,2017-01-23,19794.9,18725.05,1069.8500000000022,19718.8,25%,19986.2625,19451.337499999998,high,19500,2017-02-09,8,BANKNIFTY1720919500PE,2017-02-01 14:53:00,61.55,2017-02-03 15:20:00,12.8,Friday Closing,48.75,300.2062041364662,14635.05245165273,1.4635052451652728,2017
3,2017-01-23,19794.9,18725.05,1069.8500000000022,19718.8,25%,19986.2625,19451.337499999998,low,20000,2017-02-09,9,BANKNIFTY1720920000CE,2017-01-31 09:34:00,140.55,2017-02-01 13:02:00,160.0,SL Hit,-19.44999999999999,300.2062041364662,-5839.010670454265,-0.5839010670454264,2017
4,2017-01-30,20228.95,19435.75,793.2000000000007,20307.15,25%,20505.45,20108.850000000002,low,20500,2017-02-16,8,BANKNIFTY1721620500CE,2017-02-08 14:34:00,56.8,2017-02-08 14:45:00,97.8,SL Hit,-41.0,292.60513668317446,-11996.810604010154,-1.1996810604010155,2017
5,2017-02-06,20461.3,20001.1,460.2000000000007,20273.65,25%,20388.7,20158.600000000002,high,20200,2017-02-23,6,BANKNIFTY17FEB20200PE,2017-02-17 09:15:00,63.85,2017-02-17 15:20:00,43.0,Friday Closing,20.85,294.28065546111327,6135.751666364212,0.6135751666364212,2017
6,2017-02-06,20461.3,20001.1,460.2000000000007,20273.65,25%,20388.7,20158.600000000002,low,20400,2017-02-23,10,BANKNIFTY17FEB20400CE,2017-02-13 12:19:00,116.4,2017-02-17 09:15:00,299.65,SL Hit,-183.24999999999997,294.28065546111327,-53926.930113249,-5.3926930113249005,2017
7,2017-02-13,21031.65,20088.4,943.25,20494.85,25%,20730.6625,20259.0375,high,20300,2017-03-02,9,BANKNIFTY1730220300PE,2017-02-21 14:12:00,60.0,2017-02-24 15:20:00,18.5,Friday Closing,41.5,289.4263509427159,12011.19356412271,1.201119356412271,2017
8,2017-02-20,21011.9,20474.85,537.0500000000029,20853.45,25%,20987.7125,20719.1875,low,21000,2017-03-09,10,BANKNIFTY1730921000CE,2017-02-27 10:10:00,119.9,2017-03-03 15:20:00,20.35,Friday Closing,99.55000000000001,285.8815604606743,28459.50934386013,2.845950934386013,2017
9,2017-02-27,20901.0,20423.7,477.2999999999993,20548.95,25%,20668.275,20429.625,high,20400,2017-03-16,10,BANKNIFTY1731620400PE,2017-03-06 09:33:00,120.0,2017-03-10 15:20:00,86.2,Friday Closing,33.8,290.2999887508754,9812.139619779588,0.9812139619779588,2017
