,Unnamed: 0,Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Slippage,Points w cs,Qty,PnL,PnL w cs,ROI%,ROI% w cs,Trade Year,Hedge Strike,Hedge Contract,Hedge Entry Price,Hedge Exit Price,Hedge Points,Hedge PnL,Total PnL,Total ROI%
0,0,2023-09-01,9087.95,8858.45,229.5,9099.95,65%,9249.125,8950.775000000001,low,9250,2023-09-18,6,MIDCPNIFTY239189250CE,CE,2023-09-12 13:01:00,9.65,2023-09-18 15:30:00,0.05,Expiry Closing,9.6,0.097,9.503,2702.9583879556176,25948.400524373927,25686.213560742235,1.2974200262186963,1.2843106780371116,2023,9625,MIDCPNIFTY239189625CE,1.85,0.05,-1.8,-4865.3250983201115,20820.888462422125,2.0820888462422125
1,1,2023-09-15,9193.35,9051.9,141.45000000000073,9081.5,65%,9173.4425,8989.557499999999,high,9000,2023-09-29,4,MIDCPNIFTY23SEP9000PE,PE,2023-09-25 14:52:00,23.2,2023-09-29 15:30:00,0.05,Friday Closing,23.15,0.2325,22.9175,2725.2582659127147,63089.728855879344,62456.10630905464,3.154486442793967,3.1228053154527315,2023,8650,MIDCPNIFTY23SEP8650PE,3.1,0.05,-3.0500000000000003,-8312.037711033781,54144.06859802086,5.414406859802086
2,2,2023-09-15,9193.35,9051.9,141.45000000000073,9081.5,65%,9173.4425,8989.557499999999,low,9175,2023-09-29,4,MIDCPNIFTY23SEP9175CE,CE,2023-09-25 10:12:00,9.95,2023-09-25 14:52:00,57.55,SL Hit,-47.6,0.675,-48.27499999999999,2725.2582659127147,-129722.29345744522,-131561.8427869363,-6.48611467287226,-6.578092139346815,2023,9550,MIDCPNIFTY23SEP9550CE,1.2,1.6,0.40000000000000013,1090.1033063650862,-130471.73948057121,-13.04717394805712
3,3,2023-09-29,9133.0,8932.35,200.64999999999964,9078.85,65%,9209.2725,8948.4275,high,8950,2023-10-16,5,MIDCPNIFTY2310168950PE,PE,2023-10-11 09:23:00,11.7,2023-10-16 15:30:00,0.05,Friday Closing,11.65,0.1175,11.5325,2714.6552564276926,31625.73373738262,31306.761744752366,1.5812866868691309,1.565338087237618,2023,8600,MIDCPNIFTY2310168600PE,2.5,0.05,-2.45,-6650.905378247848,24655.85636650452,2.465585636650452
4,4,2023-10-13,9213.75,9002.75,211.0,9040.25,65%,9177.4,8903.1,low,9175,2023-10-30,7,MIDCPNIFTY23OCT9175CE,CE,2023-10-23 10:24:00,9.65,2023-10-30 15:30:00,0.05,Expiry Closing,9.6,0.097,9.503,2724.0830736374137,26151.197506919172,25886.961448776343,1.3075598753459583,1.2943480724388172,2023,9550,MIDCPNIFTY23OCT9550CE,0.85,0.05,-0.7999999999999999,-2179.266458909931,23707.694989866413,2.3707694989866415
5,5,2023-10-27,8844.7,8622.2,222.5,8898.05,65%,9042.675,8753.425,high,8750,2023-11-13,5,MIDCPNIFTY2311138750PE,PE,2023-11-08 09:15:00,3.45,2023-11-13 15:30:00,0.05,Friday Closing,3.4000000000000004,0.035,3.365,2764.6686406400763,9399.87337817626,9303.109975753858,0.469993668908813,0.4651554987876928,2023,8400,MIDCPNIFTY2311138400PE,1.0,0.05,-0.95,-2626.4352086080726,6676.674767145785,0.6676674767145785
6,6,2023-11-03,9158.65,8869.65,289.0,9118.45,65%,9306.3,8930.6,high,8925,2023-11-20,5,MIDCPNIFTY2311208925PE,PE,2023-11-15 09:15:00,2.75,2023-11-20 15:30:00,0.05,Friday Closing,2.7,0.0279999999999999,2.672,2686.352255998624,7253.151091196285,7177.933228028324,0.3626575545598143,0.3588966614014162,2023,8575,MIDCPNIFTY2311208575PE,0.05,0.05,0.0,0.0,7177.933228028324,0.7177933228028325
7,7,2023-11-17,9533.6,9424.9,108.70000000000071,9514.85,65%,9585.505,9444.195,high,9450,2023-12-04,5,MIDCPNIFTY2312049450PE,PE,2023-11-29 09:15:00,14.05,2023-12-04 15:30:00,0.05,Friday Closing,14.0,0.141,13.859,2608.104632984908,36513.464861788714,36145.72210853784,1.8256732430894356,1.807286105426892,2023,9075,MIDCPNIFTY2312049075PE,0.95,0.1,-0.85,-2216.888938037172,33928.83317050067,3.3928833170500674
8,8,2023-11-24,9709.6,9473.05,236.5500000000011,9738.8,65%,9892.5575,9585.042499999998,high,9575,2023-12-11,7,MIDCPNIFTY2312119575PE,PE,2023-12-04 09:15:00,10.3,2023-12-11 15:30:00,0.05,Friday Closing,10.25,0.1035,10.1465,2527.152356708566,25903.311656262802,25641.751387343465,1.29516558281314,1.2820875693671734,2023,9200,MIDCPNIFTY2312119200PE,4.4,0.05,-4.3500000000000005,-10993.112751682263,14648.638635661202,1.4648638635661202
9,9,2023-12-01,9989.8,9724.4,265.39999999999964,10013.65,65%,10186.16,9841.14,high,9850,2023-12-18,4,MIDCPNIFTY2312189850PE,PE,2023-12-14 09:15:00,3.8,2023-12-18 15:30:00,0.05,Friday Closing,3.75,0.0385,3.7115,2454.310554713454,9203.664580175453,9109.173623818986,0.4601832290087726,0.4554586811909493,2023,9450,MIDCPNIFTY2312189450PE,0.75,0.05,-0.7,-1718.017388299418,7391.156235519568,0.7391156235519568
