,Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Slippage,Points w cs,Qty,PnL,PnL w cs,ROI%,ROI% w cs,Trade Year
0,2016-12-30,8282.55,8134.3,148.2499999999991,8283.0,40%,8342.3,8223.7,high,8200,2017-01-12,1,NIFTY171128200PE,PE,2017-01-11 09:43:00,,2017-01-12 15:30:00,,Friday Closing,,,,1018.9036596622036,,,,,2017
1,2017-01-06,8417.0,8228.0,189.0,8457.65,40%,8533.25,8382.05,low,8550,2017-01-19,6,NIFTY171198550CE,CE,2017-01-13 10:16:00,,2017-01-16 13:17:00,,SL Hit,,,,996.1034775730232,,,,,2017
2,2017-01-13,8460.2,8373.15,87.05000000000109,8404.35,40%,8439.17,8369.53,high,8350,2017-01-25,1,NIFTY17JAN8350PE,PE,2017-01-24 10:51:00,4.05,2017-01-25 15:30:00,0.05,Friday Closing,4.0,0.040999999999999995,3.959,1007.208054820557,4028.832219282228,3987.5366890345854,0.4028832219282228,0.39875366890345854,2017
3,2017-01-13,8460.2,8373.15,87.05000000000109,8404.35,40%,8439.17,8369.53,low,8450,2017-01-25,5,NIFTY17JAN8450CE,CE,2017-01-20 13:05:00,16.85,2017-01-24 14:16:00,29.4,SL Hit,-12.549999999999997,0.4625,-13.012499999999998,1007.208054820557,-12640.461087997986,-13106.294813352495,-1.2640461087997987,-1.3106294813352495,2017
4,2017-02-03,8821.2,8707.75,113.45000000000073,8812.35,40%,8857.730000000001,8766.97,low,8850,2017-02-16,3,NIFTY172168850CE,CE,2017-02-13 12:00:00,,2017-02-16 15:30:00,,Expiry Closing,,,,959.6138062460697,,,,,2017
5,2017-02-10,8826.45,8713.05,113.40000000000146,8883.7,40%,8929.060000000001,8838.34,high,8850,2017-02-23,1,NIFTY17FEB8850PE,PE,2017-02-22 09:15:00,12.1,2017-02-23 15:30:00,0.05,Friday Closing,12.049999999999999,0.12150000000000001,11.9285,951.947909410397,11470.972308395283,11355.310637401919,1.1470972308395284,1.135531063740192,2017
6,2017-02-10,8826.45,8713.05,113.40000000000146,8883.7,40%,8929.060000000001,8838.34,low,8950,2017-02-23,6,NIFTY17FEB8950CE,CE,2017-02-17 09:33:00,12.1,2017-02-17 09:34:00,11.55,SL Hit,0.5499999999999989,0.2365,0.31349999999999895,951.947909410397,523.5713501757173,298.43566960015846,0.05235713501757172,0.029843566960015847,2017
7,2017-02-17,8981.9,8804.75,177.14999999999964,8943.7,40%,9014.560000000001,8872.84,low,9000,2017-03-02,2,NIFTY173029000CE,CE,2017-02-28 13:20:00,,2017-03-02 15:30:00,,Expiry Closing,,,,942.9190110221684,,,,,2017
8,2017-02-24,8992.35,8868.1,124.25,8885.55,40%,8935.25,8835.849999999999,high,8850,2017-03-09,3,NIFTY173098850PE,PE,2017-03-06 09:31:00,,2017-03-09 15:30:00,,Friday Closing,,,,951.2884362496852,,,,,2017
9,2017-03-03,8977.75,8860.3,117.45000000000073,8953.7,40%,9000.68,8906.720000000001,high,8900,2017-03-16,2,NIFTY173168900PE,PE,2017-03-14 09:15:00,,2017-03-16 15:30:00,,Friday Closing,,,,944.373091810841,,,,,2017
10,2017-03-03,8977.75,8860.3,117.45000000000073,8953.7,40%,9000.68,8906.720000000001,low,9000,2017-03-16,6,NIFTY173169000CE,CE,2017-03-10 14:06:00,,2017-03-14 09:15:00,,SL Hit,,,,944.373091810841,,,,,2017
11,2017-03-10,9158.1,8904.1,254.0,9207.8,40%,9309.4,9106.199999999999,low,9300,2017-03-23,2,NIFTY173239300CE,CE,2017-03-21 11:21:00,,2017-03-23 15:30:00,,Expiry Closing,,,,913.0556212000773,,,,,2017
12,2017-03-17,9214.1,9019.4,194.70000000000073,9104.0,40%,9181.880000000001,9026.119999999999,low,9200,2017-03-30,3,NIFTY17MAR9200CE,CE,2017-03-27 12:39:00,4.1,2017-03-30 15:30:00,0.05,Expiry Closing,4.05,0.041499999999999995,4.0085,925.7363415771061,3749.2321833872797,3710.81412521183,0.37492321833872794,0.371081412521183,2017
13,2017-03-24,9181.1,9024.65,156.45000000000073,9158.9,40%,9221.48,9096.32,high,9100,2017-04-06,3,NIFTY174069100PE,PE,2017-04-03 13:10:00,,2017-04-06 15:30:00,,Friday Closing,,,,921.7609320846545,,,,,2017
14,2017-03-31,9273.8,9152.15,121.64999999999964,9223.7,40%,9272.36,9175.04,low,9250,2017-04-13,3,NIFTY174139250CE,CE,2017-04-10 13:06:00,,2017-04-13 15:30:00,,Expiry Closing,,,,916.7029752943155,,,,,2017
15,2017-04-07,9250.45,9145.0,105.45000000000073,9144.75,40%,9186.93,9102.57,high,9100,2017-04-20,2,NIFTY174209100PE,PE,2017-04-18 09:20:00,,2017-04-18 14:36:00,,SL Hit,,,,925.2274698947308,,,,,2017
16,2017-04-07,9250.45,9145.0,105.45000000000073,9144.75,40%,9186.93,9102.57,low,9200,2017-04-20,2,NIFTY174209200CE,CE,2017-04-18 15:02:00,,2017-04-20 15:30:00,,Expiry Closing,,,,925.2274698947308,,,,,2017
17,2017-04-14,9217.8,9075.3,142.5,9179.1,40%,9236.1,9122.1,high,9100,2017-04-27,2,NIFTY17APR9100PE,PE,2017-04-25 09:15:00,5.7,2017-04-27 15:30:00,0.05,Friday Closing,5.65,0.0575,5.5925,920.3018590097552,5199.705503405117,5146.788146512056,0.5199705503405118,0.5146788146512056,2017
18,2017-04-14,9217.8,9075.3,142.5,9179.1,40%,9236.1,9122.1,low,9250,2017-04-27,6,NIFTY17APR9250CE,CE,2017-04-21 12:55:00,8.15,2017-04-24 13:51:00,22.15,SL Hit,-13.999999999999998,0.303,-14.302999999999999,920.3018590097552,-12884.22602613657,-13163.077489416528,-1.288422602613657,-1.3163077489416528,2017
19,2017-04-28,9365.5,9270.0,95.5,9374.55,40%,9412.75,9336.349999999999,high,9350,2017-05-11,1,NIFTY175119350PE,PE,2017-05-10 15:22:00,,2017-05-11 15:30:00,,Friday Closing,,,,903.0304639983002,,,,,2017
20,2017-04-28,9365.5,9270.0,95.5,9374.55,40%,9412.75,9336.349999999999,low,9400,2017-05-11,6,NIFTY175119400CE,CE,2017-05-05 09:15:00,,2017-05-10 09:39:00,,SL Hit,,,,903.0304639983002,,,,,2017
21,2017-05-05,9450.3,9272.05,178.25,9436.65,40%,9507.949999999999,9365.35,high,9350,2017-05-18,2,NIFTY175189350PE,PE,2017-05-16 14:14:00,,2017-05-18 15:30:00,,Friday Closing,,,,893.9887147071662,,,,,2017
22,2017-05-12,9532.2,9372.6,159.60000000000036,9469.9,40%,9533.74,9406.06,low,9550,2017-05-25,6,NIFTY17MAY9550CE,CE,2017-05-19 12:07:00,9.05,2017-05-25 15:30:00,0.05,Expiry Closing,9.0,0.09100000000000001,8.909,891.5703595860597,8024.133236274537,7943.000333552206,0.8024133236274537,0.7943000333552206,2017
23,2017-05-19,9522.7,9341.9,180.8000000000011,9507.75,40%,9580.07,9435.43,high,9450,2017-06-01,6,NIFTY176019450PE,PE,2017-05-26 13:15:00,,2017-06-01 15:30:00,,Friday Closing,,,,887.2586525985719,,,,,2017
24,2017-06-02,9706.3,9630.5,75.79999999999927,9638.55,40%,9668.869999999999,9608.23,high,9600,2017-06-15,6,NIFTY176159600PE,PE,2017-06-09 15:02:00,,2017-06-12 09:15:00,,SL Hit,,,,879.1099683830687,,,,,2017
25,2017-06-02,9706.3,9630.5,75.79999999999927,9638.55,40%,9668.869999999999,9608.23,low,9650,2017-06-15,3,NIFTY176159650CE,CE,2017-06-12 10:00:00,,2017-06-15 15:30:00,,Expiry Closing,,,,879.1099683830687,,,,,2017
26,2017-06-09,9676.0,9560.8,115.20000000000073,9595.45,40%,9641.53,9549.37,high,9550,2017-06-22,3,NIFTY176229550PE,PE,2017-06-19 13:44:00,,2017-06-22 15:30:00,,Friday Closing,,,,881.6028161505486,,,,,2017
27,2017-06-16,9698.6,9565.7,132.89999999999964,9643.25,40%,9696.41,9590.09,low,9700,2017-06-29,6,NIFTY17JUN9700CE,CE,2017-06-23 10:01:00,14.1,2017-06-29 15:30:00,0.05,Expiry Closing,14.049999999999999,0.14150000000000001,13.908499999999998,876.6130970121932,12316.414013021313,12192.373259794087,1.2316414013021313,1.2192373259794087,2017
