time,open,high,low,close,30-Week SMA,Volume,Volume MA
2005-12-15,71.12449718,71.19858684,69.07472704,69.5809968,58.19932114440008,64051247.89439086,61723381.59553039
2005-12-16,69.9720169,70.30129698,69.3216871,69.91850724,58.36772045406674,58637012.0784844,62398126.330541655
2005-12-19,70.30129698,70.91869713,70.30129698,70.56060669,58.54229379273341,29674434.03880706,60755208.84586078
2005-12-20,70.77875227,71.34676205,70.15723694,70.34657216,58.71697686940007,44016024.35574487,58792138.37727095
2005-12-21,70.47416737,71.07510681,69.89381206,70.80756675,58.892538042800076,45664469.0499753,57576881.13916621
2005-12-22,71.12449718,71.59783729,70.23544178,70.46182184,59.07364208653341,69591819.92857295,57498163.95700989
2005-12-23,70.383617,70.7952171,69.16528153,69.3875464,59.24758429400008,70559992.67824252,58172240.56778989
2005-12-26,69.1488167,69.30522638,68.07865644,68.54788138,59.41683426586675,64663492.64449562,59124682.02874154
2005-12-27,68.7372166,71.61018694,68.17332611,71.36322688,59.60696607726675,71581615.36641335,57793960.77576089
2005-12-28,71.61841729,73.25658734,71.45377726,71.82421735,59.79429899160008,131649628.07113469,60521122.410652064
2005-12-29,71.45377726,73.67641779,71.45377726,73.35536807,59.99192190840007,110353471.89239192,62346741.50330071
2005-12-30,73.92337785,74.15798826,72.8737976,73.20719286,60.188749059466744,60104455.84460848,62892538.261677824
2006-01-02,73.51177775,74.25265793,73.27716734,73.9110282,60.39040564620007,44482496.54630086,62783208.842016265
2006-01-03,74.04685788,76.05546801,73.75873781,75.73441829,60.60421816686675,59580889.40156257,62704370.18272698
2006-01-04,75.81673831,77.05153861,75.73441829,76.54526884,60.82541205480008,52489054.3795159,62122737.670127474
2006-01-05,76.80457855,77.05153861,75.73441829,75.87436315,61.03763307153342,64487350.80170754,62471194.82601546
2006-01-06,75.87436315,76.67698334,75.1664085,75.79204313,61.24601248733342,77247308.8475414,62399098.1476053
2006-01-09,75.98137835,76.1871784,74.59840284,74.92356774,61.45472119966675,75798086.65136094,64568072.35655774
