,Stock Name,Entry Date,Entry Price,Initial SL,Initial Target,Exit Date,Exit Price,Remark,Points Captured,After Costs,Qty,PnL,ROI%,Trade Year,Trade Month
0,AUBANK,2022-02-01,655.075,0.0,10481.2,2023-03-01,567.25,SuperTrend Reversed,-87.82500000000005,-89.04732500000004,763.2713811395641,-67967.27473953368,-13.593454947906736,2022,2
1,AUBANK,2023-06-01,769.0,0.0,12304.0,2024-01-01,641.1,SuperTrend Reversed,-127.89999999999998,-129.31009999999998,650.1950585175553,-84076.7880364109,-16.81535760728218,2023,6
