Unnamed: 0,Trade Type,Entry Time_x,Entry Price,Initial SL,Exit Time_x,Exit Price,Points Captured,Slippage,Qty,Final Points,PnL,ROI%,Trade Duration,Remarks,Trade Year,Trade Index,ATM Strike,Entry Time_y,Exit Time_y,Entry Option Price,Exit Option Price,Option Points,Opt Slippage,Opt F Points,Opt Qty,Opt ROI%
607,LONG,2019-01-18 09:45:00,27521.6,27315.188,2019-01-18 12:45:00,27450.65,-70.94999999999709,5.497225,480,-76.44722499999709,-36694.6679999986,-0.733893359999972,0 days 03:00:00,MA Cross Opp,2019,607,27500,2019-01-18 09:46:00,2019-01-18 12:59:00,247.05,263.8,-16.75,5.1085,-21.8585,1090.909090909091,-0.47691272727272727
608,SHORT,2019-01-18 12:45:00,27450.65,27656.529875000004,2019-01-18 14:00:00,27543.9,-93.25,5.499455,480,-98.749455,-47399.7384,-0.947994768,0 days 01:15:00,MA Cross Opp,2019,608,27500,2019-01-18 12:48:00,2019-01-18 14:14:00,306.15,328.95,-22.80000000000001,6.350999999999999,-29.15100000000001,1090.909090909091,-0.6360218181818185
609,LONG,2019-01-18 14:00:00,27543.9,27337.320750000003,2019-01-18 15:15:00,27441.05,-102.85000000000218,5.498495,480,-108.3484950000022,-52007.27760000105,-1.040145552000021,0 days 01:15:00,MA Cross Opp,2019,609,27500,2019-01-18 14:00:00,2019-01-18 15:29:00,229.3,249.85,-20.549999999999983,4.7915,-25.341499999999982,1090.909090909091,-0.5529054545454543
610,SHORT,2019-01-18 15:15:00,27441.05,27646.857875,2019-01-21 10:00:00,27579.5,-138.45000000000073,5.502055,480,-143.95205500000074,-69096.98640000036,-1.3819397280000072,2 days 18:45:00,MA Cross Opp,2019,610,27400,2019-01-18 15:15:00,2019-01-21 10:14:00,359.65,406.6,-46.950000000000045,7.6625000000000005,-54.61250000000005,1094.890510948905,-1.1958941605839426
611,LONG,2019-01-21 10:00:00,27579.5,27372.65375,2019-01-22 09:15:00,27501.5,-78.0,5.508100000000001,480,-83.5081,-40083.888,-0.80167776,0 days 23:15:00,MA Cross Opp,2019,611,27600,2019-01-21 10:00:00,2019-01-22 09:29:00,265.0,320.0,-55.0,5.8500000000000005,-60.85,1086.9565217391305,-1.3228260869565218
612,SHORT,2019-01-22 09:15:00,27501.5,27707.761250000003,2019-01-22 14:00:00,27513.55,-12.049999999999272,5.501505000000001,480,-17.551504999999274,-8424.722399999651,-0.168494447999993,0 days 04:45:00,MA Cross Opp,2019,612,27500,2019-01-22 09:15:00,2019-01-22 14:14:00,265.95,295.75,-29.80000000000001,5.617000000000001,-35.417000000000016,1090.909090909091,-0.7727345454545459
613,LONG,2019-01-22 14:00:00,27513.55,27307.198375,2019-01-23 14:15:00,27486.5,-27.049999999999272,5.500005000000001,480,-32.550004999999274,-15624.002399999652,-0.312480047999993,1 days 00:15:00,MA Cross Opp,2019,613,27500,2019-01-22 14:14:00,2019-01-23 14:29:00,253.15,263.5,-10.349999999999994,5.1665,-15.516499999999994,1090.909090909091,-0.33854181818181805
614,SHORT,2019-01-23 14:15:00,27486.5,27692.64875,2019-01-24 15:00:00,27245.7,240.79999999999927,5.47322,480,235.32677999999927,112956.85439999963,2.259137087999993,1 days 00:45:00,MA Cross Opp,2019,614,27500,2019-01-23 14:21:00,2019-01-24 15:14:00,254.05,135.1,118.95000000000002,3.8914999999999997,115.05850000000002,1090.909090909091,2.5103672727272732
615,LONG,2019-01-24 15:00:00,27245.7,27041.35725,2019-01-25 13:45:00,27279.7,34.0,5.452540000000001,480,28.54746,13702.7808,0.274055616,0 days 22:45:00,MA Cross Opp,2019,615,27200,2019-01-24 15:10:00,2019-01-25 13:59:00,171.55,129.05,42.5,3.0060000000000002,39.494,1102.9411764705883,0.8711911764705883
616,SHORT,2019-01-25 13:45:00,27279.7,27484.29775,2019-01-29 12:15:00,26683.6,596.1000000000022,5.396330000000001,480,590.7036700000021,283537.761600001,5.67075523200002,3 days 22:30:00,MA Cross Opp,2019,616,27300,2019-01-25 13:45:00,2019-01-29 12:29:00,207.5,28.7,178.8,2.362,176.43800000000002,1098.901098901099,3.8777582417582424
617,LONG,2019-01-29 12:15:00,26683.6,26483.473,2019-01-29 13:00:00,26563.55,-120.04999999999929,5.324714999999999,480,-125.37471499999928,-60179.86319999965,-1.203597263999993,0 days 00:45:00,MA Cross Opp,2019,617,26700,2019-01-29 12:15:00,2019-01-29 13:14:00,159.0,254.55,-95.55000000000001,4.1355,-99.68550000000002,1123.5955056179776,-2.2401235955056182
618,SHORT,2019-01-29 13:00:00,26563.55,26762.776625,2019-01-30 09:15:00,26762.776625,-199.22662500000297,5.3326326625,480,-204.55925766250297,-98188.44367800142,-1.9637688735600285,0 days 20:15:00,ISL Hit,2019,618,26600,2019-01-29 13:07:00,2019-01-30 09:15:00,198.1,260.0,-61.900000000000006,4.581,-66.48100000000001,1127.8195488721803,-1.4995714285714288
619,LONG,2019-01-30 10:00:00,26800.8,26599.794,2019-02-01 14:15:00,27073.25,272.4500000000007,5.387405,480,267.0625950000007,128190.04560000036,2.5638009120000067,2 days 04:15:00,MA Cross Opp,2019,619,26800,2019-01-30 10:00:00,2019-02-01 14:29:00,119.95,0.1,119.85000000000001,1.2005,118.6495,1119.402985074627,2.656332089552239
620,SHORT,2019-02-01 14:15:00,27073.25,27276.299375,2019-02-04 13:00:00,26953.45,119.79999999999929,5.40267,480,114.39732999999929,54910.71839999965,1.098214367999993,2 days 22:45:00,MA Cross Opp,2019,620,27100,2019-02-01 14:26:00,2019-02-04 13:14:00,440.0,385.2,54.80000000000001,8.252,46.54800000000001,1107.0110701107012,1.0305830258302586
624,SHORT,2019-02-05 14:45:00,27251.4,27455.7855,2019-02-06 09:45:00,27387.8,-136.39999999999782,5.46392,480,-141.86391999999782,-68094.68159999895,-1.361893631999979,0 days 19:00:00,MA Cross Opp,2019,624,27300,2019-02-05 14:52:00,2019-02-06 09:59:00,405.7,473.75,-68.05000000000001,8.794500000000001,-76.84450000000001,1098.901098901099,-1.6888901098901103
625,LONG,2019-02-06 09:45:00,27387.8,27182.3915,2019-02-08 09:15:00,27273.2,-114.59999999999854,5.4661,480,-120.06609999999854,-57631.7279999993,-1.152634559999986,1 days 23:30:00,MA Cross Opp W Gap Exit,2019,625,27400,2019-02-06 09:54:00,2019-02-08 09:29:00,369.15,395.0,-25.850000000000023,7.6415,-33.49150000000002,1094.890510948905,-0.7333905109489055
626,SHORT,2019-02-08 09:45:00,27261.9,27466.36425,2019-02-08 13:45:00,27434.15,-172.25,5.4696050000000005,480,-177.719605,-85305.4104,-1.7061082079999998,0 days 04:00:00,MA Cross Opp,2019,626,27300,2019-02-08 09:55:00,2019-02-08 13:59:00,361.25,442.6,-81.35000000000002,8.0385,-89.38850000000002,1098.901098901099,-1.964582417582418
627,LONG,2019-02-08 13:45:00,27434.15,27228.393875,2019-02-11 09:15:00,27228.393875,-205.75612499999988,5.4662543875,480,-211.22237938749987,-101386.74210599992,-2.0277348421199983,2 days 19:30:00,ISL Hit,2019,627,27400,2019-02-08 13:45:00,2019-02-11 09:15:00,309.45,282.35,27.099999999999966,5.917999999999999,21.181999999999967,1094.890510948905,0.4638394160583934
628,SHORT,2019-02-11 09:45:00,27189.45,27393.370875000004,2019-02-11 14:00:00,27232.5,-43.04999999999927,5.442195,480,-48.49219499999927,-23276.25359999965,-0.465525071999993,0 days 04:15:00,MA Cross Opp,2019,628,27200,2019-02-11 09:52:00,2019-02-11 14:14:00,355.0,385.0,-30.0,7.4,-37.4,1102.9411764705883,-0.825
629,LONG,2019-02-11 14:00:00,27232.5,27028.25625,2019-02-12 12:30:00,27199.7,-32.79999999999927,5.44322,480,-38.24321999999927,-18356.74559999965,-0.367134911999993,0 days 22:30:00,MA Cross Opp,2019,629,27200,2019-02-11 14:03:00,2019-02-12 12:44:00,299.4,266.5,32.89999999999998,5.659,27.24099999999998,1102.9411764705883,0.6009044117647054
630,SHORT,2019-02-12 12:30:00,27199.7,27403.697750000003,2019-02-13 13:15:00,27075.1,124.60000000000218,5.427480000000001,480,119.17252000000218,57202.80960000105,1.144056192000021,1 days 00:45:00,MA Cross Opp,2019,630,27200,2019-02-12 12:42:00,2019-02-13 13:29:00,380.0,284.35,95.64999999999998,6.6435,89.00649999999997,1102.9411764705883,1.9633786764705878
631,LONG,2019-02-13 13:15:00,27075.1,26872.03675,2019-02-13 13:45:00,26966.55,-108.54999999999929,5.404165,480,-113.95416499999928,-54697.99919999966,-1.0939599839999932,0 days 00:30:00,MA Cross Opp,2019,631,27100,2019-02-13 13:19:00,2019-02-13 13:59:00,278.55,323.1,-44.55000000000001,6.016500000000001,-50.56650000000001,1107.0110701107012,-1.1195535055350556
632,SHORT,2019-02-13 13:45:00,26966.55,27168.799125,2019-02-14 12:15:00,26967.95,-1.4000000000014552,5.3934500000000005,480,-6.793450000001456,-3260.8560000006987,-0.0652171200000139,0 days 22:30:00,MA Cross Opp,2019,632,27000,2019-02-13 13:45:00,2019-02-14 12:29:00,328.95,322.45,6.5,6.514,-0.014000000000000234,1111.111111111111,-0.00031111111111111633
633,LONG,2019-02-14 12:15:00,26967.95,26765.690375,2019-02-15 10:30:00,26847.85,-120.10000000000218,5.3815800000000005,480,-125.48158000000218,-60231.15840000105,-1.204623168000021,0 days 22:15:00,MA Cross Opp,2019,633,27000,2019-02-14 12:15:00,2019-02-15 10:44:00,279.0,340.4,-61.39999999999998,6.194,-67.59399999999998,1111.111111111111,-1.5020888888888884
634,SHORT,2019-02-15 10:30:00,26847.85,27049.208875,2019-02-15 14:15:00,26817.4,30.44999999999709,5.366525,480,25.08347499999709,12040.067999998604,0.2408013599999721,0 days 03:45:00,MA Cross Opp,2019,634,26800,2019-02-15 10:30:00,2019-02-15 14:29:00,387.7,350.0,37.69999999999999,7.377000000000001,30.322999999999986,1119.402985074627,0.6788731343283579
635,LONG,2019-02-15 14:15:00,26817.4,26616.2695,2019-02-18 12:15:00,26742.25,-75.15000000000146,5.355965,480,-80.50596500000145,-38642.8632000007,-0.772857264000014,2 days 22:00:00,MA Cross Opp,2019,635,26800,2019-02-15 14:15:00,2019-02-18 12:29:00,269.9,285.55,-15.650000000000034,5.554500000000001,-21.204500000000035,1119.402985074627,-0.47472761194029933
636,SHORT,2019-02-18 12:15:00,26742.25,26942.816875,2019-02-18 12:45:00,26794.2,-51.95000000000073,5.353645,480,-57.30364500000073,-27505.74960000035,-0.5501149920000069,0 days 00:30:00,MA Cross Opp,2019,636,26700,2019-02-18 12:17:00,2019-02-18 12:59:00,398.0,415.0,-17.0,8.13,-25.130000000000003,1123.5955056179776,-0.5647191011235956
637,SHORT,2019-02-18 14:00:00,26725.75,26926.193125,2019-02-19 10:00:00,26853.65,-127.90000000000146,5.35794,480,-133.25794000000147,-63963.8112000007,-1.279276224000014,0 days 20:00:00,MA Cross Opp,2019,637,26700,2019-02-18 14:02:00,2019-02-19 10:14:00,360.0,424.5,-64.5,7.845,-72.345,1123.5955056179776,-1.6257303370786516
638,LONG,2019-02-19 10:00:00,26853.65,26652.247625000004,2019-02-19 15:00:00,26723.45,-130.20000000000073,5.357710000000001,480,-135.55771000000072,-65067.70080000035,-1.301354016000007,0 days 05:00:00,MA Cross Opp,2019,638,26900,2019-02-19 10:00:00,2019-02-19 15:14:00,267.3,366.65,-99.34999999999997,6.339500000000001,-105.68949999999997,1115.2416356877322,-2.3573866171003712
639,SHORT,2019-02-19 15:00:00,26723.45,26923.875875,2019-02-20 13:15:00,26862.9,-139.45000000000073,5.3586350000000005,480,-144.80863500000072,-69508.14480000034,-1.3901628960000068,0 days 22:15:00,MA Cross Opp,2019,639,26700,2019-02-19 15:00:00,2019-02-20 13:29:00,335.0,379.9,-44.89999999999998,7.149,-52.04899999999998,1123.5955056179776,-1.1696404494382018
640,LONG,2019-02-20 13:15:00,26862.9,26661.428250000004,2019-02-22 09:30:00,26928.3,65.39999999999782,5.37912,480,60.02087999999782,28810.022399998958,0.5762004479999792,1 days 20:15:00,MA Cross Opp,2019,640,26900,2019-02-20 13:24:00,2019-02-22 09:44:00,248.3,142.6,105.70000000000002,3.909,101.79100000000001,1115.2416356877322,2.2704312267657993
641,SHORT,2019-02-22 09:30:00,26928.3,27130.26225,2019-02-25 10:00:00,26985.75,-57.45000000000073,5.391405000000001,480,-62.84140500000073,-30163.87440000035,-0.6032774880000069,3 days 00:30:00,MA Cross Opp,2019,641,26900,2019-02-22 09:31:00,2019-02-25 10:14:00,246.5,210.1,36.400000000000006,4.566000000000001,31.834000000000003,1115.2416356877322,0.7100520446096655
642,LONG,2019-02-25 10:00:00,26985.75,26783.356875,2019-02-26 09:45:00,26792.45,-193.29999999999927,5.37782,480,-198.6778199999993,-95365.35359999964,-1.907307071999993,0 days 23:45:00,MA Cross Opp,2019,642,27000,2019-02-25 10:01:00,2019-02-26 09:59:00,137.7,289.35,-151.65000000000003,4.2705,-155.92050000000003,1111.111111111111,-3.4649000000000005
643,SHORT,2019-02-26 09:45:00,26792.45,26993.393375000003,2019-02-26 12:30:00,26993.393375000003,-200.94337500000256,5.3785843375,480,-206.32195933750256,-99034.54048200123,-1.9806908096400249,0 days 02:45:00,ISL Hit,2019,643,26800,2019-02-26 09:46:00,2019-02-26 12:38:00,190.35,293.75,-103.4,4.841,-108.241,1119.402985074627,-2.423305970149254
644,LONG,2019-02-26 12:45:00,27042.75,26839.929375,2019-02-27 12:00:00,26839.929375,-202.8206250000003,5.3882679375,480,-208.20889293750028,-99940.26861000012,-1.9988053722000023,0 days 23:15:00,ISL Hit,2019,644,27000,2019-02-26 12:45:00,2019-02-27 12:01:00,130.0,243.8,-113.80000000000001,3.738,-117.53800000000001,1111.111111111111,-2.611955555555556
645,SHORT,2019-02-27 12:00:00,26933.3,27135.29975,2019-02-28 10:00:00,26880.9,52.39999999999782,5.38142,480,47.01857999999782,22568.918399998955,0.4513783679999791,0 days 22:00:00,MA Cross Opp,2019,645,26900,2019-02-27 12:00:00,2019-02-28 10:14:00,156.1,58.95,97.14999999999999,2.1505,94.9995,1115.2416356877322,2.1189479553903343
646,LONG,2019-02-28 10:00:00,26880.9,26679.29325,2019-02-28 12:45:00,26838.5,-42.400000000001455,5.37194,480,-47.77194000000146,-22930.5312000007,-0.458610624000014,0 days 02:45:00,MA Cross Opp,2019,646,26900,2019-02-28 10:06:00,2019-02-28 12:59:00,89.35,90.5,-1.1500000000000057,1.7985,-2.9485000000000054,1115.2416356877322,-0.06576579925650569
647,SHORT,2019-02-28 12:45:00,26838.5,27039.788750000003,2019-03-01 09:45:00,27016.05,-177.54999999999927,5.385455,480,-182.93545499999928,-87809.01839999965,-1.7561803679999928,0 days 21:00:00,MA Cross Opp,2019,647,26800,2019-02-28 12:59:00,2019-03-01 09:59:00,78.1,0.05,78.05,0.7815,77.2685,1119.402985074627,1.7298917910447762
648,LONG,2019-03-01 09:45:00,27016.05,26813.429625,2019-03-01 13:45:00,26956.95,-59.09999999999855,5.3973,480,-64.49729999999855,-30958.703999999303,-0.6191740799999861,0 days 04:00:00,MA Cross Opp,2019,648,27000,2019-03-01 09:51:00,2019-03-01 13:59:00,395.0,387.25,7.75,7.8225,-0.07249999999999979,1111.111111111111,-0.0016111111111111061
649,SHORT,2019-03-01 13:45:00,26956.95,27159.127125000003,2019-03-01 15:00:00,27035.3,-78.34999999999854,5.399225,480,-83.74922499999855,-40199.6279999993,-0.8039925599999861,0 days 01:15:00,MA Cross Opp,2019,649,27000,2019-03-01 13:45:00,2019-03-01 15:14:00,507.8,556.45,-48.650000000000034,10.6425,-59.29250000000003,1111.111111111111,-1.3176111111111117
650,LONG,2019-03-01 15:00:00,27035.3,26832.53525,2019-03-06 13:30:00,27511.1,475.7999999999993,5.45464,480,470.3453599999993,225765.7727999997,4.515315455999993,4 days 22:30:00,MA Cross Opp,2019,650,27000,2019-03-01 15:00:00,2019-03-06 13:44:00,364.0,200.05,163.95,5.640499999999999,158.30949999999999,1111.111111111111,3.5179888888888886
651,SHORT,2019-03-06 13:30:00,27511.1,27717.43325,2019-03-06 15:15:00,27637.35,-126.25,5.514845,480,-131.764845,-63247.12560000001,-1.2649425120000002,0 days 01:45:00,MA Cross Opp,2019,651,27500,2019-03-06 13:30:00,2019-03-06 15:29:00,429.55,497.8,-68.25,9.2735,-77.5235,1090.909090909091,-1.6914218181818184
652,LONG,2019-03-06 15:15:00,27637.35,27430.069875,2019-03-08 13:15:00,27677.25,39.900000000001455,5.53146,480,34.36854000000145,16496.8992000007,0.3299379840000139,1 days 22:00:00,MA Cross Opp,2019,652,27600,2019-03-06 15:20:00,2019-03-08 13:29:00,335.95,260.15,75.80000000000001,5.960999999999999,69.83900000000001,1086.9565217391305,1.518239130434783
653,SHORT,2019-03-08 13:15:00,27677.25,27884.829375,2019-03-08 15:15:00,27774.9,-97.65000000000146,5.545215000000001,480,-103.19521500000144,-49533.703200000695,-0.990674064000014,0 days 02:00:00,MA Cross Opp,2019,653,27700,2019-03-08 13:21:00,2019-03-08 15:29:00,369.85,437.0,-67.14999999999998,8.0685,-75.21849999999998,1083.0324909747292,-1.6292815884476528
654,LONG,2019-03-08 15:15:00,27774.9,27566.588250000004,2019-03-11 14:15:00,27940.5,165.59999999999854,5.571540000000001,480,160.02845999999855,76813.6607999993,1.536273215999986,2 days 23:00:00,MA Cross Opp,2019,654,27800,2019-03-08 15:17:00,2019-03-11 14:29:00,292.5,207.0,85.5,4.995,80.505,1079.136690647482,1.7375179856115106
655,SHORT,2019-03-11 14:15:00,27940.5,28150.053750000003,2019-03-12 09:15:00,28150.053750000003,-209.5537500000028,5.6090553750000005,450,-215.1628053750028,-96823.26241875124,-1.9364652483750249,0 days 19:00:00,ISL Hit,2019,655,27900,2019-03-11 14:15:00,2019-03-12 09:15:00,426.0,530.05,-104.04999999999995,9.5605,-113.61049999999996,1075.268817204301,-2.443236559139784
656,LONG,2019-03-12 09:30:00,28208.25,27996.688125,2019-03-14 12:45:00,28907.85,699.5999999999985,5.71161,450,693.8883899999986,312249.77549999935,6.244995509999987,2 days 03:15:00,MA Cross Opp,2019,656,28200,2019-03-12 09:37:00,2019-03-14 12:59:00,278.8,117.0,161.8,3.958,157.842,1063.8297872340424,3.3583404255319147
657,SHORT,2019-03-14 12:45:00,28907.85,29124.658875,2019-03-14 14:30:00,29015.35,-107.5,5.79232,450,-113.29232,-50981.544,-1.01963088,0 days 01:45:00,MA Cross Opp,2019,657,28900,2019-03-14 12:45:00,2019-03-14 14:44:00,377.3,410.0,-32.69999999999999,7.872999999999999,-40.572999999999986,1038.0622837370242,-0.8423460207612455
658,LONG,2019-03-14 14:30:00,29015.35,28797.734875,2019-03-18 11:30:00,29482.1,466.75,5.849745,450,460.900255,207405.11475,4.148102295,3 days 21:00:00,MA Cross Opp,2019,658,29000,2019-03-14 14:30:00,2019-03-18 11:44:00,287.85,204.5,83.35000000000002,4.923500000000001,78.42650000000002,1034.4827586206898,1.622617241379311
659,SHORT,2019-03-18 11:30:00,29482.1,29703.21575,2019-03-18 15:15:00,29647.5,-165.40000000000146,5.91296,450,-171.31296000000145,-77090.83200000065,-1.541816640000013,0 days 03:45:00,MA Cross Opp,2019,659,29500,2019-03-18 11:36:00,2019-03-18 15:29:00,392.0,538.0,-146.0,9.3,-155.3,1016.9491525423729,-3.1586440677966103
660,LONG,2019-03-18 15:15:00,29647.5,29425.143750000003,2019-03-20 11:15:00,29704.55,57.04999999999927,5.935205000000001,450,51.11479499999927,23001.65774999967,0.4600331549999935,1 days 20:00:00,MA Cross Opp,2019,660,29600,2019-03-18 15:22:00,2019-03-20 11:29:00,351.0,175.9,175.1,5.269,169.831,1013.5135135135135,3.44252027027027
661,SHORT,2019-03-20 11:15:00,29704.55,29927.334125,2019-03-20 14:00:00,29768.45,-63.900000000001455,5.9473,420,-69.84730000000145,-29335.86600000061,-0.5867173200000122,0 days 02:45:00,MA Cross Opp,2019,661,29700,2019-03-20 11:22:00,2019-03-20 14:14:00,321.9,397.5,-75.60000000000002,7.194,-82.79400000000003,1010.10101010101,-1.672606060606061
662,LONG,2019-03-20 14:00:00,29768.45,29545.186625,2019-03-22 11:15:00,29734.35,-34.10000000000218,5.95028,420,-40.05028000000218,-16821.117600000918,-0.3364223520000183,1 days 21:15:00,MA Cross Opp,2019,662,29800,2019-03-20 14:00:00,2019-03-22 11:29:00,210.0,253.55,-43.55000000000001,4.6355,-48.18550000000001,1006.7114093959732,-0.9701778523489936
663,SHORT,2019-03-22 11:15:00,29734.35,29957.357625,2019-03-26 09:30:00,29392.15,342.1999999999971,5.91265,420,336.2873499999971,141240.68699999878,2.8248137399999758,3 days 22:15:00,MA Cross Opp,2019,663,29700,2019-03-22 11:19:00,2019-03-26 09:44:00,300.55,64.35,236.20000000000002,3.649,232.55100000000002,1010.10101010101,4.698
664,LONG,2019-03-26 09:30:00,29392.15,29171.708875000004,2019-03-27 14:30:00,29979.45,587.2999999999993,5.93716,450,581.3628399999993,261613.2779999997,5.232265559999994,1 days 05:00:00,MA Cross Opp,2019,664,29400,2019-03-26 09:31:00,2019-03-27 14:44:00,136.4,13.75,122.65,1.5015,121.14850000000001,1020.4081632653061,2.472418367346939
666,LONG,2019-03-28 10:45:00,30122.45,29896.531625000003,2019-03-29 10:45:00,30246.85,124.39999999999782,6.036930000000001,420,118.36306999999782,49712.48939999908,0.9942497879999816,1 days 00:00:00,MA Cross Opp,2019,666,30100,2019-03-28 10:54:00,2019-03-29 10:59:00,71.5,0.05,71.45,0.7155,70.7345,996.6777408637873,1.4099900332225912
667,SHORT,2019-03-29 10:45:00,30246.85,30473.701375,2019-03-29 14:15:00,30346.7,-99.85000000000218,6.059355000000001,420,-105.90935500000218,-44481.92910000092,-0.8896385820000183,0 days 03:30:00,MA Cross Opp,2019,667,30200,2019-03-29 10:46:00,2019-03-29 10:59:00,0.0,0.0,0.0,0.0,0.0,993.3774834437086,0.0
668,LONG,2019-03-29 14:15:00,30346.7,30119.09975,2019-04-01 13:15:00,30496.65,149.95000000000073,6.084335000000001,420,143.86566500000072,60423.5793000003,1.208471586000006,2 days 23:00:00,MA Cross Opp,2019,668,30300,2019-03-29 14:15:00,2019-03-29 10:59:00,0.0,0.0,0.0,0.0,0.0,990.0990099009902,0.0
669,SHORT,2019-04-01 13:15:00,30496.65,30725.374875000005,2019-04-03 09:15:00,30447.35,49.30000000000291,6.0944,420,43.20560000000291,18146.35200000122,0.3629270400000244,1 days 20:00:00,MA Cross Opp,2019,669,30500,2019-04-01 13:26:00,2019-04-03 09:29:00,682.6,645.6,37.0,13.282,23.718,983.6065573770492,0.4665836065573771
