Unnamed: 0,Trade Type,Entry Time_x,Entry Price,Initial SL,Exit Time_x,Exit Price,Points Captured,Slippage,Qty,Final Points,PnL,ROI%,Trade Duration,Remarks,Trade Year,Trade Index,ATM Strike,Entry Time_y,Exit Time_y,Entry Option Price,Exit Option Price,Option Points,Opt Slippage,Opt F Points,Opt Qty,Opt ROI%
594,SHORT,2019-01-01 09:30:00,27088.4,27291.563,2019-01-01 14:30:00,27291.563,-203.1630000000005,5.437996300000001,480,-208.60099630000047,-100128.47822400022,-2.002569564480005,0 days 05:00:00,ISL Hit,2019,594,27100,2019-01-01 09:33:00,2019-01-01 14:44:00,518.05,628.45,-110.40000000000009,11.465,-121.8650000000001,1107.0110701107012,-2.698118081180814
595,LONG,2019-01-01 14:30:00,27188.25,26984.338125,2019-01-02 12:45:00,27219.45,31.200000000000728,5.44077,480,25.759230000000727,12364.430400000349,0.2472886080000069,0 days 22:15:00,MA Cross Opp,2019,595,27200,2019-01-01 14:30:00,2019-01-02 12:59:00,381.0,386.55,-5.550000000000011,7.6754999999999995,-13.225500000000011,1102.9411764705883,-0.29173897058823556
596,SHORT,2019-01-02 13:15:00,27201.55,27405.561625,2019-01-04 11:30:00,27099.05,102.5,5.43006,480,97.06994,46593.5712,0.931871424,1 days 22:15:00,MA Cross Opp,2019,596,27200,2019-01-02 13:19:00,2019-01-04 11:44:00,515.5,491.65,23.850000000000023,10.0715,13.778500000000022,1102.9411764705883,0.3039375000000005
597,LONG,2019-01-04 11:30:00,27099.05,26895.807125,2019-01-07 14:30:00,27412.7,313.65000000000146,5.451175,480,308.1988250000015,147935.43600000071,2.9587087200000144,3 days 03:00:00,MA Cross Opp,2019,597,27100,2019-01-04 11:31:00,2019-01-07 14:44:00,365.0,264.3,100.69999999999999,6.292999999999999,94.40699999999998,1107.0110701107012,2.0901918819188188
598,SHORT,2019-01-07 14:30:00,27412.7,27618.295250000003,2019-01-08 13:00:00,27332.85,79.85000000000218,5.4745550000000005,480,74.37544500000219,35700.21360000105,0.7140042720000209,0 days 22:30:00,MA Cross Opp,2019,598,27400,2019-01-07 14:36:00,2019-01-08 13:14:00,445.0,401.0,44.0,8.46,35.54,1094.890510948905,0.7782481751824818
599,LONG,2019-01-08 13:00:00,27332.85,27127.853625,2019-01-10 10:45:00,27617.6,284.75,5.495045,480,279.254955,134042.3784,2.680847568,1 days 21:45:00,MA Cross Opp,2019,599,27300,2019-01-08 13:05:00,2019-01-10 10:59:00,316.85,219.2,97.65000000000003,5.3605,92.28950000000003,1098.901098901099,2.0283406593406603
600,SHORT,2019-01-10 10:45:00,27617.6,27824.732,2019-01-11 15:00:00,27498.6,119.0,5.51162,480,113.48838,54474.4224,1.089488448,1 days 04:15:00,MA Cross Opp,2019,600,27600,2019-01-10 10:45:00,2019-01-11 15:14:00,408.0,346.75,61.25,7.5475,53.7025,1086.9565217391305,1.1674456521739132
601,LONG,2019-01-11 15:00:00,27498.6,27292.3605,2019-01-14 09:15:00,27292.3605,-206.23949999999968,5.479096050000001,480,-211.7185960499997,-101624.92610399984,-2.032498522079997,2 days 18:15:00,ISL Hit,2019,601,27500,2019-01-11 15:03:00,2019-01-14 09:15:00,297.95,395.0,-97.05000000000001,6.929500000000001,-103.97950000000002,1090.909090909091,-2.268643636363637
602,SHORT,2019-01-14 09:45:00,27240.95,27445.257125000004,2019-01-14 14:15:00,27290.05,-49.09999999999855,5.4531,480,-54.553099999998544,-26185.487999999303,-0.523709759999986,0 days 04:30:00,MA Cross Opp,2019,602,27200,2019-01-14 09:58:00,2019-01-14 14:29:00,440.0,432.0,8.0,8.72,-0.7200000000000006,1102.9411764705883,-0.015882352941176483
603,LONG,2019-01-14 14:15:00,27290.05,27085.374625,2019-01-15 14:45:00,27370.55,80.5,5.46606,480,75.03394,36016.2912,0.720325824,1 days 00:30:00,MA Cross Opp,2019,603,27300,2019-01-14 14:16:00,2019-01-15 14:59:00,295.05,245.95,49.10000000000002,5.41,43.690000000000026,1098.901098901099,0.9602197802197808
604,SHORT,2019-01-15 14:45:00,27370.55,27575.829125,2019-01-15 15:15:00,27416.85,-46.29999999999927,5.478739999999999,480,-51.77873999999928,-24853.79519999965,-0.497075903999993,0 days 00:30:00,MA Cross Opp,2019,604,27400,2019-01-15 14:54:00,2019-01-15 15:29:00,364.2,391.6,-27.400000000000034,7.558,-34.958000000000034,1094.890510948905,-0.7655036496350374
605,LONG,2019-01-15 15:15:00,27416.85,27211.223625,2019-01-16 14:00:00,27474.2,57.35000000000218,5.489105,480,51.86089500000218,24893.229600001046,0.4978645920000209,0 days 22:45:00,MA Cross Opp,2019,605,27400,2019-01-15 15:20:00,2019-01-16 14:14:00,268.0,238.0,30.0,5.0600000000000005,24.939999999999998,1094.890510948905,0.5461313868613138
606,SHORT,2019-01-16 14:00:00,27474.2,27680.256500000003,2019-01-18 09:15:00,27531.3,-57.09999999999855,5.5005500000000005,480,-62.60054999999855,-30048.263999999304,-0.6009652799999861,1 days 19:15:00,MA Cross Opp,2019,606,27500,2019-01-16 14:07:00,2019-01-18 09:29:00,347.0,300.9,46.10000000000002,6.479,39.62100000000002,1090.909090909091,0.8644581818181823
