,Trade Type,Entry Time,Entry Price,Initial SL,Exit Time,Exit Price,Points Captured,Slippage,Qty,Final Points,PnL,ROI%,Trade Duration,Remarks,Trade Year
0,LONG,2017-01-03 09:45:00,18017.0,17791.787500000002,2017-01-03 15:15:00,18024.7,7.700000000000728,3.60417,420,4.095830000000728,1720.2486000003057,0.03440497200000611,0 days 05:30:00,MA Cross Opp,2017
1,SHORT,2017-01-03 15:15:00,18024.7,18250.00875,2017-01-05 10:45:00,18027.4,-2.7000000000007276,3.605210000000001,420,-6.305210000000729,-2648.188200000306,-0.052963764000006124,1 days 19:30:00,MA Cross Opp,2017
2,LONG,2017-01-05 10:45:00,18027.4,17802.057500000003,2017-01-09 14:15:00,18307.2,279.7999999999993,3.633460000000001,420,276.16653999999926,115989.94679999969,2.319798935999994,4 days 03:30:00,MA Cross Opp,2017
3,SHORT,2017-01-09 14:15:00,18307.2,18536.04,2017-01-10 10:45:00,18343.6,-36.39999999999782,3.6650800000000006,420,-40.06507999999782,-16827.333599999085,-0.3365466719999817,0 days 20:30:00,MA Cross Opp,2017
4,LONG,2017-01-10 10:45:00,18343.6,18114.305,2017-01-12 11:45:00,18856.85,513.25,3.720045,420,509.529955,214002.58109999998,4.280051621999999,2 days 01:00:00,MA Cross Opp,2017
5,LONG,2017-01-12 12:15:00,18877.65,18641.679375000003,2017-01-13 09:15:00,18851.45,-26.200000000000728,3.772910000000001,420,-29.972910000000727,-12588.622200000305,-0.2517724440000061,0 days 21:00:00,MA Cross Opp,2017
6,SHORT,2017-01-13 09:15:00,18851.45,19087.093125,2017-01-13 13:15:00,18899.3,-47.849999999998545,3.775075,420,-51.625074999998546,-21682.53149999939,-0.43365062999998777,0 days 04:00:00,MA Cross Opp,2017
7,LONG,2017-01-13 13:15:00,18899.3,18663.05875,2017-01-17 11:45:00,19048.65,149.35000000000218,3.7947949999999997,420,145.5552050000022,61133.18610000092,1.2226637220000185,3 days 22:30:00,MA Cross Opp,2017
8,SHORT,2017-01-17 11:45:00,19048.65,19286.758125,2017-01-18 09:15:00,19079.7,-31.049999999999272,3.8128350000000006,420,-34.86283499999927,-14642.390699999694,-0.2928478139999939,0 days 21:30:00,MA Cross Opp,2017
9,LONG,2017-01-18 09:15:00,19079.7,18841.20375,2017-01-18 13:45:00,19155.55,75.84999999999854,3.823525,390,72.02647499999854,28090.32524999943,0.5618065049999886,0 days 04:30:00,MA Cross Opp,2017
10,SHORT,2017-01-18 13:45:00,19155.55,19394.994375,2017-01-19 13:45:00,19146.1,9.450000000000728,3.8301649999999996,390,5.619835000000728,2191.7356500002843,0.04383471300000569,1 days 00:00:00,MA Cross Opp,2017
