Trade Type,Entry Time,Entry Price,Initial SL,Exit Time,Exit Price,Points Captured,Slippage,Qty,Final Points,PnL,ROI%,Trade Duration,Remarks,Trade Year
LONG,2017-01-24 12:15:00,18977.75,18787.9725,2017-01-30 11:15:00,19636.2,658.4500000000007,3.861395,1560,654.5886050000007,1021158.2238000011,10.21158223800001,5 days 23:00:00,MA Cross Opp,2017
SHORT,2017-01-30 11:15:00,19636.2,19832.562,2017-02-01 09:15:00,19543.45,92.75,3.917965,1500,88.832035,133248.05250000002,1.3324805250000002,1 days 22:00:00,MA Cross Opp,2017
LONG,2017-02-01 09:15:00,19543.45,19348.0155,2017-02-01 11:15:00,19531.9,-11.549999999999272,3.9075350000000006,1530,-15.457534999999273,-23650.02854999889,-0.2365002854999889,0 days 02:00:00,MA Cross Opp,2017
SHORT,2017-02-01 11:15:00,19531.9,19727.219,2017-02-01 12:15:00,19727.219,-195.3189999999995,3.925911900000001,1530,-199.2449118999995,-304844.7152069992,-3.0484471520699925,0 days 01:00:00,ISL Hit,2017
LONG,2017-02-01 13:15:00,19941.7,19742.283,2017-02-07 09:15:00,20359.1,417.3999999999978,4.030080000000001,1500,413.3699199999978,620054.8799999967,6.200548799999967,5 days 20:00:00,MA Cross Opp,2017
SHORT,2017-02-07 09:15:00,20359.1,20562.691,2017-02-08 09:15:00,20342.35,16.75,4.070145,1470,12.679855,18639.38685,0.1863938685,1 days 00:00:00,MA Cross Opp,2017
LONG,2017-02-08 09:15:00,20342.35,20138.926499999998,2017-02-08 12:15:00,20282.3,-60.04999999999927,4.0624649999999995,1470,-64.11246499999928,-94245.32354999894,-0.9424532354999894,0 days 03:00:00,MA Cross Opp,2017
SHORT,2017-02-08 12:15:00,20282.3,20485.123,2017-02-09 09:15:00,20360.4,-78.10000000000218,4.06427,1470,-82.16427000000218,-120781.4769000032,-1.207814769000032,0 days 21:00:00,MA Cross Opp,2017
LONG,2017-02-09 09:15:00,20360.4,20156.796000000002,2017-02-09 10:15:00,20275.7,-84.70000000000073,4.063610000000001,1470,-88.76361000000072,-130482.50670000106,-1.3048250670000106,0 days 01:00:00,MA Cross Opp,2017
SHORT,2017-02-09 10:15:00,20275.7,20478.457000000002,2017-02-10 09:15:00,20175.15,100.54999999999927,4.045085000000001,1470,96.50491499999927,141862.22504999893,1.4186222504999892,0 days 23:00:00,MA Cross Opp,2017
LONG,2017-02-10 10:15:00,20304.55,20101.5045,2017-02-10 15:15:00,20190.6,-113.95000000000073,4.0495149999999995,1470,-117.99951500000073,-173459.28705000106,-1.7345928705000107,0 days 05:00:00,MA Cross Opp,2017
SHORT,2017-02-10 15:15:00,20190.6,20392.505999999998,2017-02-14 09:15:00,20277.15,-86.55000000000291,4.046775,1470,-90.5967750000029,-133177.25925000428,-1.3317725925000428,3 days 18:00:00,MA Cross Opp,2017
SHORT,2017-02-14 12:15:00,20181.6,20383.415999999997,2017-02-15 09:15:00,20275.25,-93.65000000000146,4.045685,1470,-97.69568500000146,-143612.65695000216,-1.4361265695000216,0 days 21:00:00,MA Cross Opp,2017
SHORT,2017-02-15 15:15:00,20146.45,20347.914500000003,2017-02-16 13:15:00,20271.65,-125.20000000000073,4.041810000000001,1470,-129.24181000000073,-189985.46070000107,-1.8998546070000109,0 days 22:00:00,MA Cross Opp,2017
