,Trade Type,Entry Time,Entry Price,Initial SL,Exit Time,Exit Price,Points Captured,Slippage,Qty,Final Points,PnL,ROI%,Trade Duration,Remarks,Trade Year
0,LONG,2021-12-01 14:15:00,36233.55,35961.798375000006,2021-12-02 12:30:00,36261.85,28.299999999995634,7.24954,90,21.050459999995635,1894.5413999996072,0.18945413999996072,0 days 22:15:00,MA Cross Opp,2021
1,SHORT,2021-12-02 12:30:00,36261.85,36533.813875,2021-12-02 14:30:00,36401.0,-139.15000000000146,7.266285000000001,90,-146.41628500000147,-13177.465650000131,-1.317746565000013,0 days 02:00:00,MA Cross Opp,2021
2,LONG,2021-12-02 14:30:00,36401.0,36127.9925,2021-12-03 12:45:00,36399.1,-1.9000000000014552,7.280010000000001,90,-9.180010000001456,-826.200900000131,-0.0826200900000131,0 days 22:15:00,MA Cross Opp,2021
3,SHORT,2021-12-03 12:45:00,36399.1,36672.09325,2021-12-07 10:00:00,36380.2,18.900000000001455,7.27793,90,11.622070000001456,1045.986300000131,0.10459863000001308,3 days 21:15:00,MA Cross Opp,2021
4,LONG,2021-12-07 10:00:00,36380.2,36107.3485,2021-12-09 09:45:00,37050.5,670.3000000000029,7.34307,90,662.9569300000029,59666.12370000026,5.966612370000026,1 days 23:45:00,MA Cross Opp,2021
5,SHORT,2021-12-09 09:45:00,37050.5,37328.37875,2021-12-09 13:00:00,37225.85,-175.34999999999854,7.427635000000001,90,-182.77763499999855,-16449.98714999987,-1.644998714999987,0 days 03:15:00,MA Cross Opp,2021
6,LONG,2021-12-09 13:00:00,37225.85,36946.656125,2021-12-09 15:15:00,37051.75,-174.09999999999854,7.427760000000001,90,-181.52775999999855,-16337.49839999987,-1.6337498399999868,0 days 02:15:00,MA Cross Opp,2021
7,SHORT,2021-12-09 15:15:00,37051.75,37329.638125000005,2021-12-10 14:30:00,36968.9,82.84999999999854,7.4020649999999995,90,75.44793499999855,6790.314149999869,0.6790314149999869,0 days 23:15:00,MA Cross Opp,2021
8,LONG,2021-12-10 14:30:00,36968.9,36691.633250000006,2021-12-13 12:45:00,37170.0,201.09999999999854,7.413889999999999,90,193.68610999999854,17431.749899999868,1.7431749899999869,2 days 22:15:00,MA Cross Opp,2021
9,SHORT,2021-12-13 12:45:00,37170.0,37448.775,2021-12-14 12:45:00,36933.8,236.1999999999971,7.410380000000001,90,228.7896199999971,20591.06579999974,2.0591065799999737,1 days 00:00:00,MA Cross Opp,2021
10,LONG,2021-12-14 12:45:00,36933.8,36656.796500000004,2021-12-15 15:15:00,36784.4,-149.40000000000146,7.371820000000001,90,-156.77182000000147,-14109.463800000132,-1.4109463800000133,1 days 02:30:00,MA Cross Opp,2021
