Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Trade Month,Index,Portfolio,Allocation,Qty apAlloc,PnL apAlloc,ROI% PF
2017-01-02 12:15:00,LONG,2017-01-02 13:15:00,8166.55,8112.65077,8223.091250000001,2017-01-09 14:15:00,8235.2,68.65000000000055,65.36965000000055,400389.1062500033,MACD Reversal,6125,5,4.003891062500033,2017,1,NIFTY,60000000,30000000.0,18375.0,1201167.31875001,2.001945531250017
2017-01-03 13:15:00,LONG,2017-01-03 14:15:00,7324.75,7266.152,7266.152,2017-01-03 15:15:00,7317.05,-7.699999999999818,-10.628359999999818,-72538.55699999875,MACD Reversal,6825,5,-0.7253855699999875,2017,1,FINNIFTY,60000000,30000000.0,20475.0,-217615.67099999628,-0.3626927849999938
2017-01-05 12:15:00,LONG,2017-01-05 13:15:00,7331.1,7272.4512,7538.6469230769235,2017-01-19 15:15:00,7624.05,292.9499999999998,289.9589699999998,1978969.9702499984,MACD Reversal,6825,5,19.789699702499984,2017,1,FINNIFTY,60000000,30000000.0,20475.0,5936909.910749996,9.894849851249992
2017-01-10 12:15:00,LONG,2017-01-10 13:15:00,8274.9,8220.28566,8410.596249999999,2017-01-20 10:15:00,8407.6,132.70000000000073,129.36350000000073,782649.1750000044,TSL Hit,6050,5,7.826491750000043,2017,1,NIFTY,60000000,30000000.0,18150.0,2347947.5250000134,3.9132458750000225
2017-01-20 10:15:00,LONG,2017-01-20 11:15:00,8411.9,8356.381459999999,8356.381459999999,2017-01-20 11:15:00,8413.1,1.2000000000007276,-2.1649999999992726,-12881.749999995673,MACD Reversal,5950,5,-0.1288174999999567,2017,1,NIFTY,60000000,30000000.0,17850.0,-38645.24999998702,-0.06440874999997837
2017-01-24 09:15:00,LONG,2017-01-24 10:15:00,8434.35,8378.683289999999,8528.711249999998,2017-01-31 11:15:00,8561.7,127.35000000000036,123.95079000000035,734408.4307500022,MACD Reversal,5925,5,7.344084307500022,2017,1,NIFTY,60000000,30000000.0,17775.0,2203225.2922500065,3.6720421537500108
2017-01-24 11:15:00,LONG,2017-01-24 12:15:00,7595.25,7534.488,8067.249230769232,2017-02-08 13:15:00,8178.65,583.3999999999996,580.2452199999997,3815112.3214999977,MACD Reversal,6575,5,38.15112321499998,2017,1,FINNIFTY,60000000,30000000.0,19725.0,11445336.964499993,19.07556160749999
2017-02-01 13:15:00,LONG,2017-02-01 14:15:00,8692.8,8635.42752,8755.213749999999,2017-02-09 10:15:00,8742.1,49.30000000000109,45.81302000000109,263424.8650000063,TSL Hit,5750,5,2.6342486500000626,2017,2,NIFTY,60000000,30000000.0,17250.0,790274.5950000188,1.3171243250000313
2017-02-09 14:15:00,LONG,2017-02-09 15:15:00,8782.0,8724.0388,8780.695,2017-02-13 11:15:00,8770.25,-11.75,-15.26045,-86984.565,TSL Hit,5700,5,-0.86984565,2017,2,NIFTY,60000000,30000000.0,17100.0,-260953.695,-0.434922825
2017-02-13 13:15:00,LONG,2017-02-13 14:15:00,8803.8,8745.694919999998,8782.68625,2017-02-15 10:15:00,8764.05,-39.75,-43.26357,-245520.75975,TSL Hit,5675,5,-2.4552075975,2017,2,NIFTY,60000000,30000000.0,17025.0,-736562.27925,-1.22760379875
2017-02-14 15:15:00,LONG,2017-02-15 09:15:00,8168.85,8103.4992,8165.169230769231,2017-02-15 10:15:00,8161.55,-7.300000000000182,-10.566080000000182,-64717.24000000112,TSL Hit,6125,5,-0.6471724000000112,2017,2,FINNIFTY,60000000,30000000.0,18375.0,-194151.72000000335,-0.3235862000000056
2017-02-16 12:15:00,LONG,2017-02-16 13:15:00,8177.4,8111.980799999999,8261.872307692307,2017-02-27 09:15:00,8326.05,148.64999999999964,145.34930999999963,890264.5237499977,MACD Reversal,6125,5,8.902645237499977,2017,2,FINNIFTY,60000000,30000000.0,18375.0,2670793.571249993,4.451322618749988
2017-02-17 10:15:00,LONG,2017-02-17 11:15:00,8836.8,8778.47712,8896.12125,2017-02-27 14:15:00,8899.15,62.35000000000037,58.80281000000036,332235.87650000205,MACD Reversal,5650,5,3.3223587650000206,2017,2,NIFTY,60000000,30000000.0,16950.0,996707.6295000062,1.6611793825000103
2017-03-01 11:15:00,LONG,2017-03-01 12:15:00,8936.75,8877.76745,8930.06875,2017-03-02 14:15:00,8889.7,-47.04999999999927,-50.61528999999927,-283445.62399999594,TSL Hit,5600,5,-2.8344562399999598,2017,3,NIFTY,60000000,30000000.0,16800.0,-850336.8719999878,-1.4172281199999797
2017-03-01 11:15:00,LONG,2017-03-01 12:15:00,8373.55,8306.561599999999,8338.82923076923,2017-03-02 14:15:00,8306.561599999999,-66.98840000000018,-70.32442232000018,-420188.4233620011,Initial SL hit,5975,5,-4.201884233620011,2017,3,FINNIFTY,60000000,30000000.0,17925.0,-1260565.2700860032,-2.1009421168100055
2017-03-06 09:15:00,LONG,2017-03-06 10:15:00,8960.25,8901.11235,8927.73125,2017-03-08 10:15:00,8901.11235,-59.137650000000576,-62.70992247000058,-349607.8177702532,Initial SL hit,5575,5,-3.496078177702532,2017,3,NIFTY,60000000,30000000.0,16725.0,-1048823.4533107597,-1.748039088851266
2017-03-08 15:15:00,LONG,2017-03-09 09:15:00,8308.85,8242.3792,8309.073846153846,2017-03-10 13:15:00,8296.75,-12.100000000000364,-15.421120000000364,-92912.2480000022,TSL Hit,6025,5,-0.929122480000022,2017,3,FINNIFTY,60000000,30000000.0,18075.0,-278736.7440000066,-0.464561240000011
2017-03-10 11:15:00,LONG,2017-03-10 12:15:00,8941.8,8882.784119999998,8924.05875,2017-03-10 13:15:00,8912.05,-29.75,-33.32077,-186596.312,TSL Hit,5600,5,-1.86596312,2017,3,NIFTY,60000000,30000000.0,16800.0,-559788.9360000001,-0.9329815600000001
2017-03-10 13:15:00,LONG,2017-03-10 14:15:00,8940.9,8881.89006,9106.367499999998,2017-03-21 10:15:00,9113.95,173.0500000000011,169.43903000000108,948858.568000006,MACD Reversal,5600,5,9.48858568000006,2017,3,NIFTY,60000000,30000000.0,16800.0,2846575.704000018,4.74429284000003
2017-03-10 14:15:00,LONG,2017-03-10 15:15:00,8326.45,8259.8384,8454.196923076925,2017-03-21 11:15:00,8548.25,221.79999999999927,218.4250599999993,1310550.3599999957,MACD Reversal,6000,5,13.105503599999956,2017,3,FINNIFTY,60000000,30000000.0,18000.0,3931651.079999987,6.552751799999978
2017-03-24 09:15:00,LONG,2017-03-24 10:15:00,8600.0,8531.2,8551.316923076925,2017-03-27 11:15:00,8542.7,-57.29999999999927,-60.72853999999927,-353743.74549999577,TSL Hit,5825,5,-3.537437454999957,2017,3,FINNIFTY,60000000,30000000.0,17475.0,-1061231.2364999873,-1.7687187274999787
2017-03-24 11:15:00,LONG,2017-03-24 12:15:00,9120.5,9060.3047,9101.46,2017-03-24 15:15:00,9100.4,-20.100000000000364,-23.74418000000036,-129999.38550000198,TSL Hit,5475,5,-1.2999938550000198,2017,3,NIFTY,60000000,30000000.0,16425.0,-389998.1565000059,-0.6499969275000099
2017-03-27 12:15:00,LONG,2017-03-27 13:15:00,8548.25,8479.864,8693.41923076923,2017-04-06 11:15:00,8775.4,227.14999999999964,223.68526999999963,1308558.829499998,MACD Reversal,5850,5,13.085588294999978,2017,3,FINNIFTY,60000000,30000000.0,17550.0,3925676.4884999935,6.54279414749999
2017-03-28 11:15:00,LONG,2017-03-28 12:15:00,9107.55,9047.440169999998,9213.715,2017-04-07 14:15:00,9193.75,86.20000000000073,82.53974000000073,453968.570000004,TSL Hit,5500,5,4.539685700000041,2017,3,NIFTY,60000000,30000000.0,16500.0,1361905.710000012,2.26984285000002
2017-04-07 13:15:00,LONG,2017-04-07 14:15:00,8793.85,8723.4992,8729.570000000002,2017-04-07 14:15:00,8733.25,-60.60000000000037,-64.10542000000036,-363798.2585000021,MACD Reversal,5675,5,-3.637982585000021,2017,4,FINNIFTY,60000000,30000000.0,17025.0,-1091394.7755000063,-1.8189912925000105
2017-04-11 10:15:00,LONG,2017-04-11 11:15:00,8814.0,8743.488,8791.577692307692,2017-04-17 14:15:00,8802.45,-11.549999999999272,-15.073289999999272,-85540.92074999587,MACD Reversal,5675,5,-0.8554092074999587,2017,4,FINNIFTY,60000000,30000000.0,17025.0,-256622.7622499876,-0.4277046037499794
