Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Trade Month,Index,Allocation,Portfolio,ROI% PF
2017-01-09 10:15:00,LONG,2017-01-09 11:15:00,8246.55,8227.75,8410.596249999999,2017-01-20 10:15:00,8407.6,161.0500000000011,157.7191700000011,906885.2275000064,TSL Hit,5750,6.333,12.091803033333418,2017,1,NIFTY,7500000,22500000.0,4.030601011111139
2017-01-11 10:15:00,LONG,2017-01-11 11:15:00,18670.85,18612.35,19125.236111111117,2017-01-19 09:15:00,19071.85,401.0,397.22573,810340.4892,TSL Hit,2040,5.066,10.804539856,2017,1,BANKNIFTY,7500000,22500000.0,3.6015132853333336
2017-01-16 11:15:00,LONG,2017-01-16 12:15:00,27284.29,27245.95,27245.95,2017-01-17 10:15:00,27245.95,-38.34000000000015,-43.79302400000015,-84082.60608000027,Initial SL hit,1920,7.0,-1.1211014144000035,2017,1,SENSEX,7500000,22500000.0,-0.37370047146666785
2017-01-17 13:15:00,LONG,2017-01-17 14:15:00,27239.94,27197.43,27197.43,2017-01-17 14:15:00,27197.43,-42.5099999999984,-47.9537369999984,-92550.71240999692,Initial SL hit,1930,7.0,-1.2340094987999588,2017,1,SENSEX,7500000,22500000.0,-0.41133649959998636
2017-01-18 15:15:00,LONG,2017-01-19 09:15:00,27281.86,27223.92,27223.92,2017-01-19 09:15:00,27223.92,-57.94000000000233,-63.39057800000233,-121709.90976000448,Initial SL hit,1920,7.0,-1.6227987968000597,2017,1,SENSEX,7500000,22500000.0,-0.5409329322666865
2017-01-19 10:15:00,LONG,2017-01-19 11:15:00,19108.4,19063.75,19063.75,2017-01-20 09:15:00,18996.65,-111.75,-115.560505,-230543.207475,Gap Open Outside ISL,1995,5.066,-3.0739094330000003,2017,1,BANKNIFTY,7500000,22500000.0,-1.0246364776666665
2017-01-19 10:15:00,LONG,2017-01-19 11:15:00,27301.11,27244.71,27246.72270833333,2017-01-20 09:15:00,27238.21,-62.900000000001455,-68.35393200000145,-131239.5494400028,Gap Open Outside ISL,1920,7.0,-1.7498606592000372,2017,1,SENSEX,7500000,22500000.0,-0.5832868864000125
2017-01-20 10:15:00,LONG,2017-01-20 11:15:00,27229.13,27176.32,27176.32,2017-01-20 12:15:00,27176.32,-52.81000000000131,-58.25054500000131,-112423.55185000252,Initial SL Hit,1930,7.0,-1.498980691333367,2017,1,SENSEX,7500000,22500000.0,-0.4996602304444556
2017-01-20 10:15:00,LONG,2017-01-20 11:15:00,19010.5,18959.0,18959.0,2017-01-20 12:15:00,18959.0,-51.5,-55.29695,-110317.41525,Initial SL Hit,1995,5.066,-1.47089887,2017,1,BANKNIFTY,7500000,22500000.0,-0.4902996233333333
2017-01-20 15:15:00,LONG,2017-01-23 09:15:00,27039.24,27009.81,28322.39625,2017-02-13 11:15:00,28265.36,1226.119999999999,1220.589539999999,2367943.707599998,TSL Hit,1940,7.0,31.57258276799997,2017,1,SENSEX,7500000,22500000.0,10.524194255999992
