Trade No.,Portfolio,Date,Entry Price,Exit Price,Points,Qty,Slippage,PnL,ROI%,Index,Trade Year,Allocation,Qty apAlloc,PnL apAlloc,ROI% PF
0,1000000,2018-01-01,25562.65,25271.55,-291.1000000000022,45,5.108725,-13329.3926250001,-1.33293926250001,BANKNIFTY,2018,333333.0,14.999984999999999,-4443.126431869157,-0.4443126431869157
1,1000000,2018-01-04,25423.95,25478.4,54.45000000000073,45,1.7033100000000063,2373.6010500000325,0.2373601050000032,BANKNIFTY,2018,333333.0,14.999984999999999,791.1995587996607,0.07911995587996608
1,1000000,2018-01-05,25478.4,25619.9,141.5,45,1.7033100000000063,6290.851049999999,0.629085105,BANKNIFTY,2018,333333.0,14.999984999999999,2096.94825304965,0.20969482530496497
1,1000000,2018-01-08,25619.9,25670.0,50.09999999999855,45,1.7033100000000063,2177.8510499999343,0.2177851049999934,BANKNIFTY,2018,333333.0,14.999984999999999,725.9496240496281,0.07259496240496281
2,1000000,2018-01-09,25688.85,25688.0,-0.8499999999985448,45,2.5668325000000003,-153.75746249993452,-0.0153757462499934,BANKNIFTY,2018,333333.0,14.999984999999999,-51.25243624749067,-0.0051252436247490665
2,1000000,2018-01-10,25688.0,25590.15,-97.84999999999854,45,2.5668325000000003,-4518.757462499934,-0.4518757462499934,BANKNIFTY,2018,333333.0,14.999984999999999,-1506.2509812474907,-0.15062509812474906
3,1000000,2018-01-11,25682.15,25658.4,-23.75,45,2.5623574999999903,-1184.0560874999996,-0.1184056087499999,BANKNIFTY,2018,333333.0,14.999984999999999,-394.68496781463733,-0.03946849678146373
3,1000000,2018-01-12,25658.4,25721.9,63.5,45,2.5623574999999903,2742.1939125000004,0.27421939125,BANKNIFTY,2018,333333.0,14.999984999999999,914.0637234353626,0.09140637234353627
4,1000000,2018-01-12,25713.4,25721.9,8.5,45,1.7232650000000074,304.95307499999967,0.0304953074999999,BANKNIFTY,2018,333333.0,14.999984999999999,101.65092334897487,0.010165092334897487
4,1000000,2018-01-15,25721.9,26053.45,331.5499999999993,45,1.7232650000000074,14842.203074999969,1.484220307499997,BANKNIFTY,2018,333333.0,14.999984999999999,4947.3960775989635,0.4947396077598964
4,1000000,2018-01-16,26053.45,25969.4,-84.04999999999927,45,1.7232650000000074,-3859.796924999968,-0.3859796924999968,BANKNIFTY,2018,333333.0,14.999984999999999,-1286.5976884010142,-0.12865976884010144
5,1000000,2018-01-16,26036.8,25969.4,-67.39999999999782,45,1.7544183333333194,-3111.9488249999013,-0.3111948824999901,BANKNIFTY,2018,333333.0,14.999984999999999,-1037.315237683692,-0.1037315237683692
5,1000000,2018-01-17,25969.4,26330.35,360.9499999999971,45,1.7544183333333194,16163.80117499987,1.616380117499987,BANKNIFTY,2018,333333.0,14.999984999999999,5387.9283370662315,0.5387928337066232
5,1000000,2018-01-18,26330.35,26561.4,231.0500000000029,45,1.7544183333333194,10318.301175000131,1.0318301175000133,BANKNIFTY,2018,333333.0,14.999984999999999,3439.4302855663186,0.3439430285566319
6,1000000,2018-01-19,26594.1,26893.6,299.5,45,1.078979000000004,13428.945945,1.3428945945,BANKNIFTY,2018,333333.0,14.999984999999999,4476.310838684684,0.4476310838684684
6,1000000,2018-01-22,26893.6,27034.5,140.90000000000146,45,1.078979000000004,6291.945945000065,0.6291945945000065,BANKNIFTY,2018,333333.0,14.999984999999999,2097.3132176847066,0.20973132176847067
6,1000000,2018-01-23,27034.5,27382.6,348.09999999999854,45,1.078979000000004,15615.945944999934,1.5615945944999934,BANKNIFTY,2018,333333.0,14.999984999999999,5205.310109684663,0.5205310109684663
6,1000000,2018-01-24,27382.6,27418.2,35.60000000000218,45,1.078979000000004,1553.4459450000982,0.1553445945000098,BANKNIFTY,2018,333333.0,14.999984999999999,517.8147971847177,0.051781479718471767
6,1000000,2018-01-25,27418.2,27381.4,-36.79999999999927,45,1.078979000000004,-1704.554054999967,-0.1704554054999967,BANKNIFTY,2018,333333.0,14.999984999999999,-568.1841168153042,-0.056818411681530415
7,1000000,2018-01-25,27372.0,27381.4,9.400000000001455,30,5.455685000000017,118.32945000004317,0.0118329450000043,BANKNIFTY,2018,333333.0,9.99999,39.44311055686438,0.003944311055686439
8,1000000,2018-01-29,27486.25,27475.2,-11.049999999999272,30,5.498435,-496.4530499999782,-0.0496453049999978,BANKNIFTY,2018,333333.0,9.99999,-165.48418451564274,-0.016548418451564274
9,1000000,2018-02-01,27398.85,27189.35,-209.5,30,5.457245,-6448.71735,-0.644871735,BANKNIFTY,2018,333333.0,9.99999,-2149.57030042755,-0.21495703004275502
10,1000000,2018-02-01,27414.1,27189.35,-224.75,30,5.478384999999996,-6906.85155,-0.690685155,BANKNIFTY,2018,333333.0,9.99999,-2302.2815477161503,-0.230228154771615
11,1000000,2018-02-07,25957.15,25619.3,-337.8500000000022,45,5.171040000000005,-15435.946800000098,-1.5435946800000098,BANKNIFTY,2018,333333.0,14.999984999999999,-5145.310454684432,-0.5145310454684432
12,1000000,2018-02-08,26021.5,25929.05,-92.45000000000071,45,2.572135000000003,-4275.996075000033,-0.4275996075000033,BANKNIFTY,2018,333333.0,14.999984999999999,-1425.3305996679856,-0.14253305996679855
12,1000000,2018-02-09,25929.05,25494.7,-434.34999999999854,45,2.572135000000003,-19661.496074999934,-1.9661496074999931,BANKNIFTY,2018,333333.0,14.999984999999999,-6553.825471167953,-0.6553825471167953
13,1000000,2018-02-12,25692.4,25723.55,31.149999999997817,45,2.5626125,1286.432437499902,0.1286432437499902,BANKNIFTY,2018,333333.0,14.999984999999999,428.8103836891547,0.04288103836891547
13,1000000,2018-02-14,25723.55,25253.2,-470.34999999999854,45,2.5626125,-21281.06756249993,-2.1281067562499936,BANKNIFTY,2018,333333.0,14.999984999999999,-7093.68209381079,-0.709368209381079
14,1000000,2018-02-23,24978.3,25318.6,340.2999999999993,45,1.6836633333333186,15237.73514999997,1.523773514999997,BANKNIFTY,2018,333333.0,14.999984999999999,5079.239970754939,0.507923997075494
14,1000000,2018-02-26,25318.6,25652.15,333.5500000000029,45,1.6836633333333186,14933.985150000131,1.4933985150000133,BANKNIFTY,2018,333333.0,14.999984999999999,4977.990072004994,0.49779900720049935
14,1000000,2018-02-27,25652.15,25383.85,-268.3000000000029,45,1.6836633333333186,-12149.264850000129,-1.214926485000013,BANKNIFTY,2018,333333.0,14.999984999999999,-4049.750900245093,-0.40497509002450927
15,1000000,2018-02-27,25497.55,25383.85,-113.70000000000071,45,5.091555,-5345.619975000032,-0.5345619975000032,BANKNIFTY,2018,333333.0,14.999984999999999,-1781.8715431266855,-0.17818715431266854
16,1000000,2018-03-09,24488.25,24290.25,-198.0,45,4.887860000000003,-9129.9537,-0.91299537,BANKNIFTY,2018,333333.0,14.999984999999999,-3043.3148566820996,-0.30433148566820994
17,1000000,2018-03-09,24471.75,24290.25,-181.5,45,4.875654999999966,-8386.904475,-0.8386904474999999,BANKNIFTY,2018,333333.0,14.999984999999999,-2795.6320293651743,-0.27956320293651743
18,1000000,2018-03-12,24417.45,24679.6,262.1499999999978,45,2.452840000000009,11686.3721999999,1.16863721999999,BANKNIFTY,2018,333333.0,14.999984999999999,3895.4535045425664,0.38954535045425664
18,1000000,2018-03-13,24679.6,24732.75,53.150000000001455,45,2.452840000000009,2281.3722000000653,0.2281372200000065,BANKNIFTY,2018,333333.0,14.999984999999999,760.4566395426216,0.07604566395426215
19,1000000,2018-03-13,24721.65,24732.75,11.099999999998545,45,2.4634525000000025,388.6446374999344,0.0388644637499934,BANKNIFTY,2018,333333.0,14.999984999999999,129.54808295176562,0.012954808295176562
19,1000000,2018-03-14,24732.75,24862.1,129.34999999999854,45,2.4634525000000025,5709.894637499934,0.5709894637499934,BANKNIFTY,2018,333333.0,14.999984999999999,1903.2963092017656,0.19032963092017657
20,1000000,2018-03-14,24720.0,24862.1,142.09999999999854,45,2.4756849999999986,6283.094174999935,0.6283094174999935,BANKNIFTY,2018,333333.0,14.999984999999999,2094.362630635253,0.2094362630635253
20,1000000,2018-03-15,24862.1,24745.8,-116.29999999999929,45,2.4756849999999986,-5344.905824999967,-0.5344905824999968,BANKNIFTY,2018,333333.0,14.999984999999999,-1781.6334933647142,-0.17816334933647143
21,1000000,2018-03-15,24905.35,24745.8,-159.54999999999927,45,2.4816325000000035,-7291.423462499967,-0.7291423462499966,BANKNIFTY,2018,333333.0,14.999984999999999,-2430.4720570255013,-0.24304720570255012
